Offense charged,Number of persons arrested Total all ages 2008.0,2017.0,"Percent
change",Under 18 years of age 2008.0,2017.0,"Percent
change",18 years of age and over 2008.0,2017.0,"Percent
change",,,
Murder and nonnegligent manslaughter,7544.0,7342.0,-2.7,716.0,530.0,-26.0,6828.0,6812.0,-0.2,,,
Rape2,13598.0,14759.0,-,2042.0,2482.0,-,11556.0,12277.0,-,,,
Robbery,77452.0,57018.0,-26.4,20608.0,11152.0,-45.9,56844.0,45866.0,-19.3,,,
Aggravated assault,279149.0,254485.0,-8.8,35805.0,18621.0,-48.0,243344.0,235864.0,-3.1,,,
Burglary,202929.0,130615.0,-35.6,55319.0,20461.0,-63.0,147610.0,110154.0,-25.4,,,
Larceny-theft,835771.0,643853.0,-23.0,218758.0,80944.0,-63.0,617013.0,562909.0,-8.8,,,
Motor vehicle theft,58356.0,57203.0,-2.0,14442.0,9507.0,-34.2,43914.0,47696.0,8.6,,,
Arson,9447.0,6102.0,-35.4,4541.0,1586.0,-65.1,4906.0,4516.0,-7.9,,,
Violent crime3,377743.0,333604.0,-11.7,59171.0,32785.0,-44.6,318572.0,300819.0,-5.6,,,
Property crime3,1106503.0,837773.0,-24.3,293060.0,112498.0,-61.6,813443.0,725275.0,-10.8,,,
Other assaults,825595.0,690444.0,-16.4,149218.0,81635.0,-45.3,676377.0,608809.0,-10.0,,,
Forgery and counterfeiting,59792.0,37230.0,-37.7,1803.0,834.0,-53.7,57989.0,36396.0,-37.2,,,
Fraud,155657.0,83654.0,-46.3,5139.0,2766.0,-46.2,150518.0,80888.0,-46.3,,,
Embezzlement,14477.0,10501.0,-27.5,863.0,372.0,-56.9,13614.0,10129.0,-25.6,,,
"Stolen property; buying, receiving, possessing",75402.0,66036.0,-12.4,14456.0,6902.0,-52.3,60946.0,59134.0,-3.0,,,
Vandalism,186293.0,127131.0,-31.8,70977.0,25822.0,-63.6,115316.0,101309.0,-12.1,,,
"Weapons; carrying, possessing, etc.",110133.0,102571.0,-6.9,24967.0,11639.0,-53.4,85166.0,90932.0,6.8,,,
Prostitution and commercialized vice,34487.0,18132.0,-47.4,749.0,148.0,-80.2,33738.0,17984.0,-46.7,,,
Sex offenses (except rape and prostitution),48889.0,31007.0,-36.6,9368.0,5746.0,-38.7,39521.0,25261.0,-36.1,,,
Drug abuse violations,1044058.0,1077640.0,3.2,112037.0,64203.0,-42.7,932021.0,1013437.0,8.7,,,
Gambling,2431.0,1440.0,-40.8,276.0,83.0,-69.9,2155.0,1357.0,-37.0,,,
Offenses against the family and children,74321.0,56777.0,-23.6,3568.0,2558.0,-28.3,70753.0,54219.0,-23.4,,,
Driving under the influence,974968.0,654775.0,-32.8,10664.0,4104.0,-61.5,964304.0,650671.0,-32.5,,,
Liquor laws,410755.0,137829.0,-66.4,90052.0,23943.0,-73.4,320703.0,113886.0,-64.5,,,
Drunkenness,410144.0,230361.0,-43.8,10984.0,2743.0,-75.0,399160.0,227618.0,-43.0,,,
Disorderly conduct,439410.0,232936.0,-47.0,123160.0,42305.0,-65.7,316250.0,190631.0,-39.7,,,
Vagrancy,16039.0,13953.0,-13.0,1088.0,407.0,-62.6,14951.0,13546.0,-9.4,,,
All other offenses (except traffic),2438997.0,2119016.0,-13.1,240241.0,100721.0,-58.1,2198756.0,2018295.0,-8.2,,,
Suspicion,805.0,201.0,-75.0,152.0,42.0,-72.4,653.0,159.0,-75.7,,,
Curfew and loitering law violations,61664.0,16119.0,-73.9,61664.0,16119.0,-73.9,-,-,-,,,
