Offense charged,Male Total 2016.0,2017.0,"Percent
change",Under 18 2016.0,2017.0,"Percent
change",Female Total 2016.0,2017.0,"Percent
change",Under 18 2016.0,2017.0,"Percent
change"
Murder and nonnegligent manslaughter,2321.0,2328.0,0.3,167.0,161.0,-3.6,349.0,352.0,0.9,20.0,10.0,-50.0
Rape3,6212.0,6107.0,-1.7,1017.0,1071.0,5.3,167.0,170.0,1.8,35.0,33.0,-5.7
Robbery,17143.0,16835.0,-1.8,3460.0,3447.0,-0.4,2993.0,2960.0,-1.1,373.0,374.0,0.3
Aggravated assault,76082.0,76968.0,1.2,5959.0,5941.0,-0.3,22345.0,22512.0,0.7,2063.0,2200.0,6.6
Burglary,47613.0,45221.0,-5.0,7770.0,7677.0,-1.2,10375.0,10108.0,-2.6,944.0,1000.0,5.9
Larceny-theft,177958.0,168630.0,-5.2,22906.0,22834.0,-0.3,129503.0,118219.0,-8.7,14904.0,12675.0,-15.0
Motor vehicle theft,16960.0,17848.0,5.2,2603.0,2775.0,6.6,4832.0,5190.0,7.4,636.0,676.0,6.3
Arson,2189.0,2098.0,-4.2,697.0,648.0,-7.0,546.0,463.0,-15.2,120.0,97.0,-19.2
Violent crime4,101758.0,102238.0,0.5,10603.0,10620.0,0.2,25854.0,25994.0,0.5,2491.0,2617.0,5.1
Property crime4,244720.0,233797.0,-4.5,33976.0,33934.0,-0.1,145256.0,133980.0,-7.8,16604.0,14448.0,-13.0
Other assaults,210654.0,206426.0,-2.0,25681.0,24439.0,-4.8,83869.0,83485.0,-0.5,14073.0,13681.0,-2.8
Forgery and counterfeiting,12106.0,12140.0,0.3,335.0,364.0,8.7,6462.0,6173.0,-4.5,137.0,103.0,-24.8
Fraud,26023.0,25601.0,-1.6,892.0,851.0,-4.6,15734.0,15229.0,-3.2,439.0,452.0,3.0
Embezzlement,2299.0,2308.0,0.4,78.0,74.0,-5.1,2143.0,2212.0,3.2,59.0,71.0,20.3
"Stolen property; buying, receiving, possessing",22443.0,23510.0,4.8,2362.0,2366.0,0.2,6415.0,6840.0,6.6,424.0,499.0,17.7
Vandalism,42673.0,41758.0,-2.1,9954.0,9756.0,-2.0,11419.0,11467.0,0.4,1974.0,2050.0,3.9
"Weapons; carrying, possessing, etc.",36100.0,37664.0,4.3,4460.0,4289.0,-3.8,4369.0,4590.0,5.1,681.0,609.0,-10.6
Prostitution and commercialized vice,2283.0,2523.0,10.5,38.0,38.0,0.0,2997.0,2616.0,-12.7,56.0,28.0,-50.0
Sex offenses (except rape and prostitution),13845.0,13494.0,-2.5,2336.0,2541.0,8.8,1174.0,1039.0,-11.5,364.0,327.0,-10.2
Drug abuse violations,374194.0,390791.0,4.4,25981.0,25707.0,-1.1,122142.0,133095.0,9.0,8018.0,8262.0,3.0
Gambling,562.0,483.0,-14.1,30.0,38.0,26.7,410.0,228.0,-44.4,16.0,33.0,106.3
Offenses against the family and children,25042.0,24989.0,-0.2,567.0,638.0,12.5,8495.0,8824.0,3.9,392.0,341.0,-13.0
Driving under the influence,265855.0,255930.0,-3.7,1578.0,1499.0,-5.0,93335.0,90525.0,-3.0,547.0,487.0,-11.0
Liquor laws,49928.0,44275.0,-11.3,7999.0,7476.0,-6.5,23401.0,21412.0,-8.5,5303.0,5103.0,-3.8
Drunkenness,70900.0,66287.0,-6.5,1053.0,906.0,-14.0,19255.0,18978.0,-1.4,460.0,423.0,-8.0
Disorderly conduct,78037.0,74410.0,-4.6,13986.0,13741.0,-1.8,32300.0,31782.0,-1.6,7363.0,7209.0,-2.1
Vagrancy,3868.0,3221.0,-16.7,185.0,196.0,5.9,1114.0,999.0,-10.3,50.0,48.0,-4.0
All other offenses (except traffic),747471.0,751253.0,0.5,34138.0,33197.0,-2.8,273451.0,277246.0,1.4,13180.0,12752.0,-3.2
Suspicion,256.0,249.0,-2.7,39.0,28.0,-28.2,78.0,89.0,14.1,11.0,10.0,-9.1
Curfew and loitering law violations,4516.0,4174.0,-7.6,4516.0,4174.0,-7.6,2121.0,2096.0,-1.2,2121.0,2096.0,-1.2
