col_0,col_1
Murder and nonnegligent manslaughter,13480.0
Forcible rape,23307.0
Robbery,126715.0
Aggravated assault,433945.0
Burglary,303853.0
Larceny-theft,1172762.0
Motor vehicle theft,118231.0
Arson,15242.0
Violent crime2,597447.0
Property crime2,1610088.0
Other assaults,1305693.0
Forgery and counterfeiting,103448.0
Fraud,252873.0
Embezzlement,22381.0
"Stolen property; buying, receiving, possessing",122061.0
Vandalism,291575.0
"Weapons; carrying, possessing, etc.",188891.0
Prostitution and commercialized vice,77607.0
Sex offenses (except forcible rape and prostitution),83979.0
Drug abuse violations,1841182.0
Gambling,12161.0
Offenses against the family and children,122812.0
Driving under the influence,1427494.0
Liquor laws,633654.0
Drunkenness,589402.0
Disorderly conduct,709105.0
Vagrancy,33666.0
All other offenses,3931965.0
Suspicion,2176.0
Curfew and loitering law violations,143002.0
Runaways,108879.0
