col_0,col_1
Murder and nonnegligent manslaughter,12208.0
Rape2,23436.0
Robbery,94046.0
Aggravated assault,388927.0
Burglary,199266.0
Larceny-theft,950357.0
Motor vehicle theft,91023.0
Arson,9111.0
Violent crime3,518617.0
Property crime3,1249757.0
Other assaults,1062370.0
Forgery and counterfeiting,55604.0
Fraud,124232.0
Embezzlement,15967.0
"Stolen property; buying, receiving, possessing",98660.0
Vandalism,188350.0
"Weapons; carrying, possessing, etc.",164984.0
Prostitution and commercialized vice,36247.0
Sex offenses (except forcible rape and prostitution),48525.0
Drug abuse violations,1632921.0
Gambling,3237.0
Offenses against the family and children,94062.0
Driving under the influence,990678.0
Liquor laws,207332.0
Drunkenness,366824.0
Disorderly conduct,353151.0
Vagrancy,23321.0
All other offenses,3290015.0
Suspicion,885.0
Curfew and loitering law violations,30131.0
