Population group,,Forcible rape Rape by force,Assault to rape-attempts,Robbery Firearm,Knife or cutting instrument,Other weapon,Strongarm,Aggravated assault Firearm,Knife or cutting instrument,Other weapon,"Hands, fists, feet, etc.",Burglary Forcible entry,Unlawful entry,Attempted forcible entry,Motor vehicle theft Autos,"Trucks 
and 
buses",Other vehicles,Arson1 Structure,Mobile,Other,"Number 
of 
agencies",2007 estimated population
"GROUP I (250,000 and over)",Offenses known,15451.0,1870.0,68219.0,11801.0,12301.0,56481.0,57741.0,38222.0,67890.0,29610.0,295915.0,111067.0,27365.0,245603.0,76346.0,16908.0,6462.0,5582.0,3610.0,63.0,39428308.0
,Percent cleared by arrest,40.3,41.4,18.5,25.7,23.5,26.4,32.4,56.7,48.8,50.4,8.4,10.8,9.3,10.1,7.1,8.1,19.5,5.5,17.6,,
"1,000,000 and over (Group I subset)",Offenses known,4558.0,770.0,25832.0,5266.0,4559.0,21516.0,19444.0,12987.0,19915.0,8559.0,98510.0,35794.0,7302.0,80390.0,37273.0,7473.0,1931.0,2311.0,1362.0,8.0,14175600.0
,Percent cleared by arrest,46.4,46.6,18.4,25.1,25.6,28.9,28.9,52.5,46.9,52.1,7.4,9.2,10.4,11.0,5.3,7.5,18.0,4.8,13.7,,
"500,000 to 999,999 (Group I subset)",Offenses known,5459.0,604.0,23858.0,3700.0,4497.0,17185.0,21728.0,14226.0,26073.0,10621.0,110828.0,37402.0,12320.0,89303.0,20933.0,5560.0,2261.0,1578.0,1079.0,20.0,13096918.0
,Percent cleared by arrest,37.9,34.9,17.9,24.5,22.9,23.5,35.4,56.2,47.1,46.5,8.1,9.7,8.1,9.7,8.7,9.3,21.9,7.2,19.9,,
"250,000 to 499,999 (Group I subset)",Offenses known,5434.0,496.0,18529.0,2835.0,3245.0,17780.0,16569.0,11009.0,21902.0,10430.0,86577.0,37871.0,7743.0,75910.0,18140.0,3875.0,2270.0,1693.0,1169.0,35.0,12155790.0
,Percent cleared by arrest,37.5,41.1,19.3,28.2,21.3,26.1,32.7,62.1,52.6,52.8,10.0,13.4,10.2,9.6,9.0,7.4,18.5,5.0,19.9,,
"GROUP II (100,000 to 249,999)",Offenses known,8009.0,765.0,21107.0,4456.0,4696.0,21259.0,19520.0,17483.0,29240.0,16012.0,133598.0,68286.0,14455.0,102382.0,19229.0,7538.0,3035.0,1694.0,1781.0,158.0,23724578.0
,Percent cleared by arrest,37.3,45.0,21.1,28.3,28.8,29.9,35.3,61.2,52.1,61.6,10.3,13.3,9.9,9.9,9.7,8.4,20.9,7.8,19.5,,
"GROUP III (50,000 to 99,999)",Offenses known,8028.0,625.0,14481.0,3673.0,3802.0,17962.0,13974.0,15027.0,24793.0,19884.0,120817.0,74093.0,14859.0,82908.0,13837.0,7458.0,2850.0,1692.0,2229.0,410.0,28281097.0
,Percent cleared by arrest,33.2,41.0,21.9,29.7,30.6,31.3,38.4,60.8,55.4,59.6,11.9,14.6,10.1,11.6,11.5,9.4,19.3,8.3,19.8,,
"GROUP IV (25,000 to 49,999)",Offenses known,6673.0,450.0,8693.0,2321.0,2767.0,11482.0,8687.0,10844.0,17775.0,16598.0,91504.0,56658.0,11820.0,51946.0,7504.0,6276.0,1979.0,1018.0,1952.0,713.0,24562182.0
,Percent cleared by arrest,35.3,38.7,24.5,33.0,31.7,33.6,43.4,62.3,56.7,62.6,11.9,13.8,10.4,13.6,13.7,11.0,24.2,12.7,21.2,,
"GROUP V (10,000 to 24,999)",Offenses known,6166.0,408.0,7133.0,1689.0,1848.0,7950.0,7315.0,9485.0,15126.0,18068.0,84652.0,55219.0,10123.0,40975.0,6089.0,5125.0,2143.0,767.0,1447.0,1557.0,24705932.0
,Percent cleared by arrest,39.0,42.6,26.7,37.2,35.7,37.9,47.9,64.3,58.9,64.1,14.3,16.1,11.8,19.1,16.3,12.5,25.7,14.9,25.3,,
"GROUP VI (under 10,000)",Offenses known,5153.0,465.0,3761.0,991.0,1093.0,5090.0,5898.0,7855.0,12261.0,22390.0,70173.0,51670.0,8773.0,28015.0,4540.0,4878.0,2199.0,609.0,1430.0,6775.0,21167496.0
,Percent cleared by arrest,38.5,41.9,27.4,39.1,35.7,37.2,51.5,66.5,59.9,65.8,16.2,16.6,11.8,24.4,21.4,17.2,28.3,17.1,25.9,,
METROPOLITAN COUNTIES,Offenses known,11315.0,762.0,17218.0,3036.0,3608.0,12919.0,20399.0,18492.0,38395.0,34559.0,189461.0,107197.0,17620.0,100871.0,25474.0,18776.0,4114.0,3931.0,3352.0,1552.0,55508270.0
,Percent cleared by arrest,40.7,47.1,19.1,29.4,27.7,32.8,45.1,63.3,58.1,62.7,12.3,14.2,10.9,15.0,13.1,11.8,22.6,7.9,20.5,,
NONMETROPOLITAN COUNTIES,Offenses known,5674.0,337.0,1608.0,336.0,539.0,1337.0,6672.0,5621.0,11634.0,16561.0,81413.0,42023.0,5778.0,20493.0,4846.0,6889.0,1769.0,831.0,1158.0,2283.0,24805788.0
,Percent cleared by arrest,43.7,43.0,36.3,39.3,37.7,41.7,59.7,65.8,59.8,58.9,15.3,14.8,12.5,25.0,22.9,17.1,26.8,17.8,21.0,,
SUBURBAN AREA2,Offenses known,21341.0,1479.0,30186.0,6172.0,7213.0,28966.0,32177.0,33778.0,64926.0,66615.0,332281.0,208251.0,37095.0,188486.0,38087.0,29328.0,7578.0,5400.0,6625.0,7008.0,104399866.0
,Percent cleared by arrest,39.5,45.6,21.1,32.1,30.7,34.6,45.7,64.1,58.8,64.2,12.8,14.8,11.0,15.3,13.5,11.9,24.3,9.6,22.0,,
