City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
Arnegard,161.0,2.0,2.0,0.0
Belfield,1055.0,4.0,3.0,1.0
Berthold,502.0,1.0,1.0,0.0
Beulah,3420.0,6.0,5.0,1.0
Bismarck,74397.0,151.0,121.0,30.0
Bowman,1724.0,4.0,4.0,0.0
Burlington,1215.0,2.0,2.0,0.0
Carrington,2039.0,5.0,5.0,0.0
Cavalier,1231.0,3.0,3.0,0.0
Devils Lake,7344.0,18.0,16.0,2.0
Dickinson,23967.0,55.0,36.0,19.0
Ellendale,1269.0,2.0,2.0,0.0
Emerado,430.0,1.0,1.0,0.0
Fargo,123430.0,197.0,174.0,23.0
Fessenden,462.0,1.0,1.0,0.0
Grafton,4240.0,10.0,9.0,1.0
Grand Forks,58090.0,103.0,88.0,15.0
Harvey,1737.0,3.0,3.0,0.0
Hazen,2424.0,4.0,4.0,0.0
Hillsboro,1584.0,1.0,1.0,0.0
Jamestown,15439.0,36.0,31.0,5.0
Kenmare,1053.0,2.0,2.0,0.0
Killdeer,1268.0,5.0,5.0,0.0
Lamoure,913.0,6.0,5.0,1.0
Lincoln,3935.0,4.0,4.0,0.0
Lisbon,2121.0,3.0,3.0,0.0
Mandan,22369.0,40.0,34.0,6.0
Medora,136.0,2.0,2.0,0.0
Minot,50118.0,109.0,81.0,28.0
Napoleon,786.0,1.0,1.0,0.0
New Town,2642.0,7.0,6.0,1.0
Northwood,913.0,2.0,2.0,0.0
Oakes,1769.0,2.0,2.0,0.0
Powers Lake,296.0,2.0,2.0,0.0
Ray,838.0,1.0,1.0,0.0
Rolla,1331.0,3.0,3.0,0.0
Rugby,2806.0,5.0,5.0,0.0
Sherwood,250.0,1.0,1.0,0.0
South Heart,448.0,3.0,3.0,0.0
Stanley,2974.0,4.0,4.0,0.0
Steele,707.0,1.0,1.0,0.0
Surrey,1453.0,4.0,4.0,0.0
Thompson,1016.0,1.0,1.0,0.0
Tioga,1607.0,8.0,6.0,2.0
Valley City,6558.0,13.0,12.0,1.0
Wahpeton,7841.0,16.0,14.0,2.0
Watford City,8015.0,27.0,23.0,4.0
West Fargo,36624.0,68.0,54.0,14.0
Williston,28748.0,73.0,52.0,21.0
Wishek,945.0,2.0,2.0,0.0
