,2005 millions of chained (2002) dollars,2006 millions of chained (2002) dollars,2007 millions of chained (2002) dollars,2008 millions of chained (2002) dollars,2009 millions of chained (2002) dollars
Personal expenditure on consumer goods and services,"723,146","752,726","787,063","810,723","812,204"
  Durable goods,"102,178","109,621","117,998","124,617","121,071"
  Semi-durable goods,"63,467","67,925","71,702","74,345","72,215"
  Non-durable goods,"166,375","168,383","173,793","176,424","177,466"
  Services,"391,570","408,048","425,494","438,015","442,907"
Government current expenditure on goods and services,"239,471","246,594","254,740","264,142","272,170"
Government gross fixed capital formation,"35,677","37,637","39,893","44,764","50,524"
Government inventories,24,-33,14,25,-2
Business gross fixed capital formation,"246,045","263,590","272,580","270,369","232,304"
  Residential structures,"76,716","78,217","80,468","78,320","72,502"
  Non-residential structures and equipment,"170,230","187,277","194,176","194,622","160,695"
    Non-residential structures,"63,124","68,984","71,068","71,011","59,960"
    Machinery and equipment,"107,581","118,882","124,092","124,660","100,709"
Business investment in inventories,"14,223","12,122","14,990","12,240","-4,900"
  Non-farm,"11,706","11,236","14,054","7,367","-7,745"
  Farm,"2,020",-97,-159,"3,734","1,710"
Exports of goods and services,"500,988","504,951","510,323","486,255","418,176"
  Goods,"435,277","439,120","444,647","422,340","357,785"
  Services,"65,692","65,818","65,688","63,964","60,458"
Deduct: Imports of goods and services,"516,269","540,766","572,078","576,905","499,782"
  Goods,"429,124","450,749","475,278","480,202","409,393"
  Services,"87,210","90,113","96,807","96,743","89,974"
Statistical discrepancy,519,756,-765,"-1,165","1,184"
Final domestic demand,"1,243,631","1,299,576","1,353,135","1,388,959","1,365,646"
