,Total Expenditure on Health,Private Funded. Per cent,Public funded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health, 217 162,15.8,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.1 Service of curative care, 101 576,14.7,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HC.1.1, 1.2 In-patient curative care and day cases of curative care",61 654,0.4,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.1.3-1.4 Out-patient curative care,39 922,36.9,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.2 Services of rehabilitative care,3 112,6.3,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.3 Service og long term nursing care,55 388,10.4,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.4 Ancillary services to health care,13 230,5.8,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.5 Medical goods dispensed to out-patients,25 338,43.8,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.6 Prevention and public health services,4 207,11.5,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.7 Health administration and health insurance,1 723,..., 100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total current expenditure on health, 204 574,16.3,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC R.1 Capital formation of health care provider institutions,12 588,8.3,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
