Faculty characteristic,Total,2-year institution Public,Private,4-year institution Public,Private
     Total,"1,212,00","362,000","8,600","494,000","347,000"
  Male,57.5,50.7,52.4,60.7,60.1
  Female,42.5,49.3,47.6,39.3,39.9
  White,82.5,82.7,95.2,80.6,84.6
  Black,5.5,6.8,2.0,5.1,4.8
  Hispanic,3.5,4.9,0.4,3.2,2.6
  Asian,6.3,2.9,1.0,9.0,6.1
  Pacific Islander,0.1,0.2,#,0.1,0.1
  American Indian/Alaska Native,0.4,0.6,#,0.4,0.2
  More than one race,1.7,1.8,1.4,1.7,1.6
  Full-time,56.3,33.3,58.3,71.7,58.2
  Part-time,43.7,66.7,41.7,28.3,41.8
  Less than bachelor’s,4.2,11.9,6.7,0.9,0.9
  Bachelor’s,9.3,18.5,18.2,5.2,5.5
  Master’s,37.4,55.1,52.3,26.3,34.3
  First-professional,7.8,2.9,2.6,9.2,11.0
  Doctorate,41.3,11.6,20.3,58.4,48.4
  Teaching,73.8,89.3,79.7,63.4,72.1
  Research,8.8,0.1,#,15.3,9.0
  Administration,6.7,3.1,11.9,8.5,7.6
  Other,10.8,7.5,8.3,12.8,11.4
