,2009 Both sexes %,Men %,Women %
Total,61.7,65.2,58.3
15 to 24 years,55.3,53.6,57.1
25 to 44 years,80.4,83.8,77.1
45 and over,51,56.1,46.3
Less than Grade 9,20,27.1,13.7
  15 to 24 years,23.3,26,19.4
  25 to 44 years,51.2,59.1,40.8
  45 and over,16.1,22.7,10.8
Some secondary school,41.2,47,35
  15 to 24 years,39,37.6,40.5
  25 to 44 years,63.4,71,52
  45 and over,35.2,44.8,26.4
High school graduate,61.8,67.7,56.2
  15 to 24 years,65,64.9,65.1
  25 to 44 years,75.9,81.3,69.6
  45 and over,52.7,59.3,47.7
Some postsecondary,60.9,62.9,59.1
  15 to 24 years,57.2,55.5,58.7
  25 to 44 years,74.2,79.1,68.7
  45 and over,54.2,56.7,52
Postsecondary certificate or diploma1,71.3,73.5,69.2
  15 to 24 years,75.1,73,77.2
  25 to 44 years,84.5,86.8,82.1
  45 and over,59.9,62.6,57.3
Bachelor's degree,75.8,77.9,74
  15 to 24 years,73.6,73.8,73.5
  25 to 44 years,85.1,88.5,82.5
  45 and over,64.8,67.2,62.4
Above bachelor's degree,76.4,76.3,76.6
  15 to 24 years,74,73.9,74.1
  25 to 44 years,85.8,88.1,83.6
  45 and over,68.1,67.7,68.7
