,2003 (% Enterprises that use electronic mail),2004 (% Enterprises that use electronic mail),2005 (% Enterprises that use electronic mail),2006 (% Enterprises that use electronic mail),2007 (% Enterprises that use electronic mail)
Private sector,73.89,76.6,76.24,77.5,81.14
"Agriculture, forestry, fishing and hunting1",57.67,70.59,72.47,56.97,62.78
Mining and oil and gas extraction,88.93,87.34,88.07,86.15,94.77
Utilities,91.76,96.69,90.15,95.82,95.49
Construction,65.11,70.11,66.55,67.9,75.96
Manufacturing,89.32,89.8,87.87,90.44,90.68
Wholesale trade,86.58,87.58,88.38,87.37,91.22
Retail trade,69.03,74.72,76.13,78.87,82.15
Transportation and warehousing,58.69,62.68,63.62,58.14,60.93
Information and cultural industries,96.14,93.87,94.66,99.01,96.48
Finance and insurance,80.47,87.24,86.82,84.16,81.95
Real estate and rental and leasing,61.83,67.97,66.49,72.71,72.44
"Professional, scientific and technical services",93.13,92.73,92.47,95.38,95.66
Management of companies and enterprises,70.47,58.25,60.41,72.74,63.36
"Administrative and support, waste management and remediation services",73.93,73.15,78.77,79.84,86.18
Educational services,90.52,92.56,92.57,91.68,100
Health care and social assistance,72.11,75.38,76.63,74.93,79.96
"Arts, entertainment and recreation",86.34,87.45,85.27,87.68,86.23
Accommodation and food services,52.13,56.4,55.02,58.2,71.04
Other services (except public administration),62.3,67.18,70.02,68.9,73.23
Public sector,99.81,99.89,99.6,99.88,100
Public administration,99.32,99.62,100,99.58,100
Educational services public,100,100,99.66,100,100
Health care and social assistance public,100,100,99.23,100,100
