,Total. NOK million,Central government,Local government,Social security fund,Privat sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health,94 004,7.6,59.4,14.2,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.1 Service of curative care,46 271,10.5,63.4,8.2,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.1.1 In-patient curative care,25 231,15.7,83.0,0.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.1.2 Day cases of curative care,2 134,28.2,64.9,1.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.1.3-1.4 Out-patient curative care,18 906,1.6,37.0,19.4,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.2 Services of rehabilitative care,1 415,19.8,44.5,28.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.3 Service og long term nursing care,19 517,0.0,85.7,0.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.3.1 In-patient long-term nursing care,13 780,0.0,81.1,0.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.3.3 Long-term nursing care: home care,5 737,0.0,96.6,0.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.4 Ancillary services to health care,5 497,0.0,69.8,25.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.4.1 Clinical laboratory and diagnostic imaging,3 265,0.0,82.5,9.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.4.3 Patient transport and emergency rescue,2 232,0.0,51.3,48.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.5 Medical goods dispensed to out-patients,13 123,0.0,0.0,59.6,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.5.1 Pharmaceuticals and other medical non-durables,8 513,0.0,0.0,58.5,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC.5.2 Therapeutic appliances and medical equipment (durables),4 610,0.0,0.0,61.7,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HC.6:7 Prevention, public health service and health administration",2 546,37.6,49.2,0.0,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total current expenditure on health,88 369,6.9,58.6,15.2,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC R.1 Capital formation of health care provider institutions,5 635,18.9,72.9,0.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
