State,Compulsory age of attendance 2000,2002,2004,2006,2007,"Kindergarten education, 2008 Attendance
required","School districts
required to offer Half day",Full day
Alabama,7 to 16,7 to 16,7 to 16,7 to 16,7 to 16,,,X
Alaska,7 to 16,7 to 16,7 to 16,7 to 16,7 to 16,,,
Arizona,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,X,
Arkansas,5 to 17,5 to 17,5 to 17,5 to 17,5 to 17,X,,X
California,6 to 18,6 to 18,6 to 18,6 to 18,6 to 18,,X,
Colorado,—,—,7 to 16,7 to 16,6 to 17,,X,
Connecticut,7 to 16,7 to 18,7 to 18,5 to 18,5 to 18,X,X,
Delaware,5 to 16,5 to 16,5 to 16,5 to 16,5 to 16,X,X,X
District of Columbia,—,5 to 18,5 to 18,5 to 18,5 to 18,X,X,
Florida,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,X,X,
Georgia,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,,X
Hawaii,6 to 18,6 to 18,6 to 18,6 to 18,6 to 18,,X,
Idaho,7 to 16,7 to 16,7 to 16,7 to 16,7 to 16,,,
Illinois,7 to 16,7 to 16,7 to 17,7 to 17,7 to 17,,X,
Indiana,7 to 16,7 to 16,7 to 16,7 to 18,7 to 18,,X,
Iowa,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,X,
Kansas,7 to 18,7 to 18,7 to 18,7 to 18,7 to 18,,X,
Kentucky,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,X,
Louisiana,7 to 17,7 to 17,7 to 17,7 to 18,7 to 18,X,,X
Maine,7 to 17,7 to 17,7 to 17,7 to 17,7 to 17,,X,
Maryland,5 to 16,5 to 16,5 to 16,5 to 16,5 to 16,X,,X
Massachusetts,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,X,
Michigan,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,X,
Minnesota,7 to 18,7 to 16,7 to 16,7 to 16,7 to 16,,X,
Mississippi,6 to 17,6 to 17,6 to 16,6 to 16,6 to 17,,,X
Missouri,7 to 16,7 to 16,7 to 16,7 to 16,7 to 16,,X,
Montana,7 to 16,7 to 16,7 to 16,7 to 16,7 to 16,,X,
Nebraska,7 to 16,7 to 16,7 to 16,6 to 18,6 to 18,,X,
Nevada,7 to 17,7 to 17,7 to 17,7 to 17,7 to 17,X,X,
New Hampshire,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,,
New Jersey,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,,
New Mexico,5 to 18,5 to 18,5 to 18,5 to 18,5 to 18,X,X,
New York,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,,
North Carolina,7 to 16,7 to 16,7 to 16,7 to 16,7 to 16,,,X
North Dakota,7 to 16,7 to 16,7 to 16,7 to 16,7 to 16,,,
Ohio,6 to 18,6 to 18,6 to 18,6 to 18,6 to 18,X,X,
Oklahoma,5 to 18,5 to 18,5 to 18,5 to 18,5 to 18,X,X,X
Oregon,7 to 18,7 to 18,7 to 18,7 to 18,7 to 18,,X,
Pennsylvania,8 to 17,8 to 17,8 to 17,8 to 17,8 to 17,,,
Rhode Island,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,X,X,
South Carolina,5 to 16,5 to 16,5 to 16,5 to 17,5 to 17,X,X,X
South Dakota,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,X,X,
Tennessee,6 to 17,6 to 17,6 to 17,6 to 17,6 to 17,X,X,
Texas,6 to 18,6 to 18,6 to 18,6 to 18,6 to 18,,X,
Utah,6 to 18,6 to 18,6 to 18,6 to 18,6 to 18,,X,
Vermont,7 to 16,6 to 16,6 to 16,6 to 16,6 to 16,,X,
Virginia,5 to 18,5 to 18,5 to 18,5 to 18,5 to 18,X,X,
Washington,8 to 17,8 to 17,8 to 16,8 to 18,8 to 18,,X,
West Virginia,6 to 16,6 to 16,6 to 16,6 to 16,6 to 16,X,,X
Wisconsin,6 to 18,6 to 18,6 to 18,6 to 18,6 to 18,,X,
Wyoming,6 to 16,6 to 16,7 to 16,7 to 16,7 to 16,,X,
