"Table 911. Total Electric Net Summer Capacity, All Sectors",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,(Million kilowatts),,,,,,,,,,,,,,,,,,
"Net summer capacity, total",721.797008,734.121844,739.870417,746.506755,754.581735,763.966856,769.463315,775.88953,778.649296,775.868273,785.926835,811.719238,848.25389,905.30109,948.44647,962.94195,978.01985,986.21493,994.8866
"Fossil fuels, total",519.392172,527.77175,531.398326,536.733054,541.778483,549.99848,554.150013,561.698699,564.083352,563.875609,572.593052,598.882883,634.89539,689.52072,731.18445,745.44646,757.05264,761.60314,763.9938
Coal \1,303.108184,307.361483,307.438253,309.371939,310.147606,311.415104,311.385781,313.382058,313.624215,315.785973,315.495796,315.113744,314.23044,315.35008,313.01888,313.02026,313.38046,312.9559,312.7382
Petroleum \2,79.060596,77.92096,74.247587,73.114458,71.102037,71.710103,66.621868,72.517878,72.463449,66.281637,60.068906,61.837084,66.16234,59.65079,60.72976,59.11892,58.54752,58.09716,56.0675
Natural gas \3,135.677661,140.848524,147.609514,152.177384,158.597605,164.779879,174.48167,174.134609,176.470563,180.287756,195.118879,219.590357,252.83243,312.51225,355.44179,371.01112,383.0612,388.29375,392.8755
Dual fired \4,111.818239,113.582105,113.725053,118.913182,120.157211,123.109752,121.958118,128.569775,129.383687,130.398942,146.038676,149.832806,153.48206,162.28905,171.29503,172.17048,174.69088,(NA),(NA)
Other gases \5,1.545731,1.640783,2.102972,2.069273,1.931235,2.093394,1.660694,1.664154,1.525125,1.520243,1.909471,2.341698,1.67018,2.0076,1.99402,2.29616,2.06346,2.25633,2.3126
Nuclear electric power,98.16061,99.62358,99.58888,98.98538,99.04108,99.14825,99.51486,100.78439,99.71564,97.06968,97.41061,97.85973,98.1589,98.657,99.20886,99.6281,99.98804,100.33377,100.2657
Hydroelectric pumped storage,18.094424,19.462024,18.413574,21.189744,21.146398,21.207898,21.386568,21.110218,19.310098,19.518498,19.565298,19.522388,19.66398,20.3714,20.52179,20.76444,21.34662,21.46134,21.8863
"Renewable energy, total",85.679102,86.763016,89.931135,89.053364,92.065943,93.062397,93.862043,91.746392,94.765771,94.594526,95.33461,94.930765,95.01705,96.06553,96.8474,96.35726,98.74556,101.93432,107.9529
Conventional hydroelectric power,74.110934,73.923046,76.036306,74.772696,77.410411,78.040935,78.561734,76.437422,79.414569,79.150644,79.393068,79.359079,78.91578,79.3559,78.69391,77.6405,77.54087,77.82096,77.8845
"Biomass, total",7.273854999999999,8.060711,9.064868,9.242618,9.574652,9.971435,10.268519,10.40537,10.514537,10.495432,10.454497,10.016148000000001,9.629819999999999,9.64414,9.62805,9.711079999999999,9.80218,10.09979,10.8386
Wood \6,5.22242,5.549341,6.136746,6.212967,6.452972,6.683036,6.749572,6.807817,6.924362,6.80155,6.794632,6.147427,5.88158,5.8441,5.8705,6.1818,6.19324,6.37235,6.7042
Waste \7,2.051435,2.51137,2.928122,3.029651,3.12168,3.288399,3.518947,3.597553,3.590175,3.693882,3.659865,3.868721,3.74824,3.80004,3.75755,3.52928,3.60894,3.72744,4.1344
Geothermal,2.576626,2.665823,2.621936,2.876793,2.944799,2.97241,2.967738,2.892928,2.892728,2.893268,2.84605,2.792594,2.21621,2.25225,2.13325,2.15208,2.2853,2.27398,2.2142
Solar \8,0.189951,0.313992,0.322651,0.338751,0.339743,0.332951,0.332951,0.333044,0.334244,0.335174,0.389188,0.386265,0.3916,0.3966,0.397,0.3978,0.4108,0.4108,0.5005
Wind,1.527736,1.799444,1.885374,1.822506,1.796338,1.744666,1.731101,1.677628,1.609693,1.720008,2.251807,2.376679,3.86364,4.41664,5.99519,6.4558,8.70641,11.32879,16.5151
Other \9,0.4707,0.501474,0.538502,0.545213,0.549831,0.549831,0.549831,0.549831,0.774435,0.80996,1.023265,0.523472,0.51857,0.68644,0.68397,0.74569,0.88699,0.88236,0.7879
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Source: U.S. Energy Information Administration, Annual Energy Review.",,,,,,,,,,,,,,,,,,,
