"Development Assistance, by Country: 2005 and 2006",,,,,
,,,,,
"[2,128 represents $2,128,000,000]",,,,,
,,,,,
Country,Official development aid (ODA),,,Multilateral aid,Grants by NGOs \3
,Million U.S. dollars,Percent of GNI \2,Percent of total DAC ODA \3,Percent of ODA,Percent of GNI
,2006 \1,,,2005.0,
Australia,2128.0,0.3,2.0,13.8,0.12
Austria,1513.0,0.48,1.5,21.7,0.05
Belgium,1968.0,0.5,1.9,33.4,0.07
Canada,3713.0,0.3,3.6,24.6,0.09
Denmark,2234.0,0.8,2.1,35.6,0.03
Finland,826.0,0.39,0.8,33.8,0.01
France,10448.0,0.47,10.1,27.8,(NA)
Germany,10351.0,0.36,10.0,26.1,0.05
Greece,384.0,0.16,0.4,46.3,0.0
Ireland,997.0,0.53,1.0,32.9,0.18
Italy,3672.0,0.2,3.5,55.4,0.01
Japan,11608.0,0.25,11.2,20.8,0.01
Luxembourg,291.0,0.89,0.3,27.1,0.03
Netherlands,5452.0,0.81,5.2,28.0,0.07
New Zealand,257.0,0.27,0.2,18.2,0.09
Norway,2946.0,0.89,2.8,27.0,(NA)
Portugal,391.0,0.21,0.4,42.1,0.0
Spain,3801.0,0.32,3.7,38.3,(NA)
Sweden,3967.0,1.03,3.8,32.9,0.01
Switzerland,1647.0,0.39,1.6,20.8,0.08
United Kingdom,12607.0,0.52,12.1,24.2,0.03
United States,22739.0,0.17,21.9,8.5,0.07
EU-15 \4,58902.0,0.43,56.7,30.9,0.03
DAC total,103940.0,0.3,100.0,23.1,0.05
,,,,,
SYMBOLS,,,,,
NA Not available.,,,,,
,,,,,
FOOTNOTES,,,,,
\1 Preliminary.,,,,,
"\2 Gross national income. See headnote, Table 1305.",,,,,
\3 DAC: OECD Development Assistance Committee.,,,,,
\4 NGO: Non-governmental organizations.,,,,,
"\5 See footnote 2, Table 1327.",,,,,
,,,,,
"Source: Organization for Economic Cooperation and Development, Paris, France, OECD in Figures, 2007",,,,,
"(copyright). See also <http://www.oecd.org/document/19/0,3343,en_2649_34489_39503891_1_1_1_1,00.html>.",,,,,
