"Table 11. Resident Population Projections by Race, Hispanic Origin Status, and Age",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
See Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Age group,Unit,Total,,White alone,,Black or African American alone,,American Indian and Alaska Native alone,,Asian alone,,Native Hawaiian and Other Pacific Islander alone,,Two or more races,,Hispanic or Latino origin \1,,Not Hispanic or Latino White alone,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2010.0,2015.0,2010.0,2015.0,2010.0,2015.0,2010.0,2015.0,2010.0,2015.0,2010.0,2015.0,2010.0,2015.0,2010.0,2015.0,2010.0,2015.0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Total,1000.0,310232.8629999999,325539.79000000004,246630.456,256306.08199999997,39909.206,42137.253000000004,3187.528,3471.6569999999997,14414.623,16527.486,591.8770000000001,662.0569999999999,5499.1730000000025,6435.254999999998,49725.79299999999,57711.39100000001,200852.525,203208.41900000002
,,,,,,,,,,,,,,,,,,,
Five-Year Age Groups,,,,,,,,,,,,,,,,,,,
Under 5 years,1000.0,21099.521,22076.258,15944.062,16562.568,3033.813,3190.607,286.488,311.286,942.825,1003.974,52.773,56.365,839.56,951.458,5053.202,5621.514,11374.52,11486.831
5 to 9 years,1000.0,20885.755,21707.273,15888.361,16412.458,3011.416,3084.107,263.502,292.205,927.207,1018.458,49.226,54.792,746.043,845.253,4887.786,5452.439,11447.854,11464.586
10 to 14 years,1000.0,20395.334,21657.676,15559.975,16466.802,3020.799,3080.233,244.262,270.987,893.857,1034.075,45.266,51.929,631.175,753.65,4513.13,5401.07,11439.501,11540.241
15 to 19 years,1000.0,21769.824,21208.512,16570.338,16142.608,3409.758,3096.388,268.387,251.739,931.873,1030.368,48.41,48.268,541.058,639.141,4473.094,5040.16,12471.543,11523.504
20 to 24 years,1000.0,21779.48,22341.633,16730.647,16976.297,3329.957,3449.054,274.922,272.804,938.416,1047.17,46.616,50.462,458.922,545.846,4010.387,4872.911,13049.379,12498.785
25 to 29 years,1000.0,21418.049,22400.342,16543.915,17124.998,3107.133,3374.331,260.543,278.818,1062.912,1106.319,48.268,49.318,395.278,466.558,3886.982,4311.188,12959.213,13160.422
30 to 34 years,1000.0,20399.556,22098.959,15710.914,16915.363,2845.267,3157.631,227.936,264.253,1244.566,1305.434,51.926,51.775,318.947,404.503,4038.787,4165.874,11973.545,13067.688
35 to 39 years,1000.0,20267.395,20840.753,15674.474,15946.478,2691.382,2871.782,209.921,230.178,1375.5,1412.993,46.93,54.256,269.188,325.066,3867.965,4235.867,12078.113,12022.763
40 to 44 years,1000.0,21009.66,20460.477,16610.13,15763.391,2712.724,2690.259,205.055,210.61,1199.145,1475.63,41.94,48.267,240.666,272.32,3430.991,3978.651,13422.72,12062.073
45 to 49 years,1000.0,22595.715,21000.638,18201.935,16560.812,2838.406,2679.47,216.05,204.352,1064.097,1271.584,39.645,42.766,235.582,241.654,3002.043,3491.295,15415.141,13315.703
