"Table 1054. Bridge Inventory--Total, Deficient, and Obsolete, and by State",,,,,,,,,,
,,,,,,,,,,
See notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Deficient and obsolete,,,
,,,,,,,,,,
,,Number,,,,,Structurally deficient \1,,Functionally obsolete \2,
State and year,FIPS,of,Total,,,,,,,
,Code,bridges,number,ADD,Percent,add,,,,
,,,,,,,Number,Percent,Number,Percent
,,,,,,,,,,
1996.0,,581862.0,182726.0,0.0,31.4,0.0,101518.0,17.4,81208.0,14.0
1997.0,,582751.0,175885.0,0.0,30.2,0.0,98475.0,16.9,77410.0,13.3
1998.0,,582984.0,172582.0,0.0,29.6,0.0,93076.0,16.0,79506.0,13.6
1999.0,,585542.0,170050.0,0.0,29.0,0.10000000000000142,88150.0,15.1,81900.0,14.0
2000.0,,587755.0,167993.0,0.0,28.6,0.0,87106.0,14.8,80887.0,13.8
2001.0,,590066.0,165099.0,0.0,28.0,0.0,83630.0,14.2,81469.0,13.8
2002.0,,591220.0,163010.0,0.0,27.6,0.0,81437.0,13.8,81573.0,13.8
2003.0,,592246.0,160819.0,0.0,27.2,0.0,79811.0,13.5,81008.0,13.7
2004.0,,593885.0,158318.0,0.0,26.7,0.0,77758.0,13.1,80560.0,13.6
2005.0,,594616.0,156177.0,0.0,26.3,0.0,75871.0,12.8,80306.0,13.5
2006.0,,596842.0,153990.0,0.0,25.800798201198976,0.0,73764.0,12.359049798774215,80226.0,13.441748402424764
2007.0,,599766.0,152316.0,,25.39590440271706,0.0,72524.0,12.092049232534022,79792.0,13.303855170183038
"U.S. total, 2008",00000,601411.0,151391.0,,25.172635685080586,0.0,71469.0,11.883553842546943,79922.0,13.289081842533642
Alabama,01000,15909.0,3927.0,,24.684141052234583,0.0,1783.0,11.20749261424351,2144.0,13.476648437991074
Alaska,02000,1201.0,321.0,,26.72772689425479,0.0,143.0,11.906744379683596,178.0,14.82098251457119
Arizona,04000,7374.0,828.0,,11.228641171684297,0.0,204.0,2.7664768104149715,624.0,8.462164361269323
Arkansas,05000,12539.0,2846.0,,22.697184783475556,0.0,944.0,7.528511045537922,1902.0,15.168673737937635
California,06000,24411.0,7085.0,,29.023800745565527,0.0,3199.0,13.104747859571505,3886.0,15.91905288599402
Colorado,08000,8408.0,1411.0,,16.78163653663178,0.0,597.0,7.1003805899143675,814.0,9.681255946717412
Connecticut,09000,4180.0,1409.0,,33.708133971291865,0.0,368.0,8.803827751196172,1041.0,24.90430622009569
Delaware,10000,857.0,133.0,,15.519253208868145,0.0,22.0,2.5670945157526255,111.0,12.95215869311552
District of Columbia,11000,243.0,147.0,,60.49382716049383,0.0,20.0,8.23045267489712,127.0,52.2633744855967
Florida,12000,11678.0,1920.0,,16.441171433464635,0.0,292.0,2.50042815550608,1628.0,13.940743277958553
Georgia,13000,14578.0,2869.0,,19.680340238715875,0.0,991.0,6.797914665934971,1878.0,12.882425572780903
Hawaii,15000,1120.0,487.0,,43.48214285714286,0.0,136.0,12.142857142857142,351.0,31.339285714285715
Idaho,16000,4125.0,792.0,,19.2,0.0,344.0,8.33939393939394,448.0,10.860606060606061
Illinois,17000,26102.0,4269.0,,16.355068577120527,0.0,2454.0,9.40157842310934,1815.0,6.953490154011186
Indiana,18000,18543.0,4177.0,,22.526020600765786,0.0,2005.0,10.81270560319258,2172.0,11.713314997573208
Iowa,19000,24798.0,6545.0,,26.393257520767804,0.0,5164.0,20.824260020969433,1381.0,5.56899749979837
Kansas,20000,25514.0,5196.0,,20.365289644900837,0.0,2877.0,11.276162107078466,2319.0,9.089127537822373
Kentucky,21000,13630.0,4412.0,,32.36977256052825,0.0,1310.0,9.611151870873075,3102.0,22.758620689655174
Louisiana,22000,13320.0,3909.0,,29.346846846846848,0.0,1748.0,13.123123123123124,2161.0,16.223723723723722
Maine,23000,2392.0,789.0,,32.98494983277592,0.0,345.0,14.423076923076922,444.0,18.561872909698995
Maryland,24000,5166.0,1357.0,,26.26790553619822,0.0,396.0,7.665505226480835,961.0,18.602400309717382
Massachusetts,25000,5042.0,2581.0,,51.19000396667989,0.0,604.0,11.979373264577548,1977.0,39.21063070210234
Michigan,26000,10937.0,2830.0,,25.87546859284996,0.0,1520.0,13.897778184145562,1310.0,11.977690408704397
Minnesota,27000,13125.0,1568.0,,11.946666666666667,0.0,1163.0,8.86095238095238,405.0,3.085714285714286
Mississippi,28000,17024.0,4201.0,,24.676926691729324,0.0,2891.0,16.981907894736842,1310.0,7.695018796992481
Missouri,29000,24204.0,7396.0,,30.556932738390348,0.0,4333.0,17.90199966947612,3063.0,12.654933068914229
Montana,30000,4968.0,942.0,,18.96135265700483,0.0,403.0,8.111916264090176,539.0,10.849436392914653
Nebraska,31000,15471.0,3564.0,,23.036649214659686,0.0,2397.0,15.493503975179369,1167.0,7.543145239480318
Nevada,32000,1735.0,215.0,,12.39193083573487,0.0,49.0,2.824207492795389,166.0,9.56772334293948
New Hampshire,33000,2371.0,751.0,,31.674398987768875,0.0,382.0,16.111345423871786,369.0,15.563053563897089
New Jersey,34000,6474.0,2172.0,,33.549582947173306,0.0,710.0,10.966944701884461,1462.0,22.582638245288848
New Mexico,35000,3866.0,702.0,,18.158303155716503,0.0,401.0,10.372478013450595,301.0,7.7858251422659075
New York,36000,17366.0,6525.0,,37.573419325118046,0.0,2135.0,12.294137970747437,4390.0,25.27928135437061
North Carolina,37000,17889.0,5131.0,,28.682430543909664,0.0,2448.0,13.684387053496563,2683.0,14.998043490413105
North Dakota,38000,4451.0,966.0,,21.70298809256347,0.0,716.0,16.086272747697148,250.0,5.616715344866322
Ohio,39000,28065.0,6761.0,,24.090504186709424,0.0,2809.0,10.00890789239266,3952.0,14.081596294316764
Oklahoma,40000,23587.0,7223.0,,30.62280069529826,0.0,5566.0,23.597744520286597,1657.0,7.025056175011659
Oregon,41000,7292.0,1633.0,,22.394404827207897,0.0,466.0,6.390565002742732,1167.0,16.003839824465167
Pennsylvania,42000,22349.0,10403.0,,46.547943979596404,0.0,6106.0,27.321132936596715,4297.0,19.226811042999685
Rhode Island,44000,741.0,397.0,,53.57624831309041,0.0,165.0,22.267206477732792,232.0,31.309041835357625
South Carolina,45000,9221.0,2027.0,,21.982431406571955,0.0,1231.0,13.349962043162348,796.0,8.632469363409609
South Dakota,46000,5920.0,1473.0,,24.881756756756758,0.0,1224.0,20.675675675675677,249.0,4.206081081081081
Tennessee,47000,19880.0,4007.0,,20.155935613682093,0.0,1274.0,6.408450704225352,2733.0,13.74748490945674
Texas,48000,50599.0,9819.0,,19.40552184825787,0.0,1873.0,3.70165418288899,7946.0,15.70386766536888
Utah,49000,2853.0,450.0,,15.772870662460567,0.0,184.0,6.449351559761654,266.0,9.323519102698913
Vermont,50000,2715.0,969.0,,35.690607734806626,0.0,498.0,18.34254143646409,471.0,17.34806629834254
Virginia,51000,13447.0,3490.0,,25.953744329590243,0.0,1231.0,9.15445824347438,2259.0,16.79928608611586
Washington,53000,7656.0,2024.0,,26.436781609195403,0.0,422.0,5.512016718913271,1602.0,20.924764890282134
West Virginia,54000,7038.0,2592.0,,36.828644501278774,0.0,1064.0,15.1179312304632,1528.0,21.710713270815575
Wisconsin,55000,13831.0,2021.0,,14.612103246330706,0.0,1256.0,9.081049815631552,765.0,5.531053430699154
Wyoming,56000,3036.0,658.0,,21.673254281949934,0.0,381.0,12.549407114624506,277.0,9.12384716732543
,,,,,,,,,,
Puerto Rico,72000,2170.0,1071.0,,49.354838709677416,0.0,225.0,10.368663594470046,846.0,38.986175115207374
,,,,,,,,,,
"Source: U.S. Federal Highway Administration, Office of Bridge Technology, ""National Bridge Inventory"".",,,,,,,,,,
