"Table 387. Democratic and Republican Percentages of Two-Party Presidential Vote, by Selected Characteristics of Voters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,1948.0,,1952.0,,1956.0,,1960.0,,1964.0,,1968.0,,1972.0,,1976.0,,1980.0,,1984.0,,1988.0,,1992.0,,1996.0,,2000.0,,2004.0,,2008.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican,Democratic,Republican
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit indicator,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),,(percent),
Total \1,54.0,46.0,42.0,58.0,40.0,60.0,49.0,51.0,68.0,32.0,46.0,54.0,36.0,64.0,51.0,49.0,44.0,56.0,42.0,58.0,47.0,53.0,59.0,42.0,58.0,42.0,52.0,48.0,50.0,50.0,55.0,45.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year of birth:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975 or later,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),56.0,44.0,61.0,39.0,63.0,37.0,66.0,34.0,65.0,35.0
1959 to 1974,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),52.0,48.0,42.0,58.0,48.0,52.0,58.0,42.0,58.0,42.0,46.0,54.0,45.0,55.0,56.0,44.0
1943 to 1958,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),70.0,30.0,49.0,51.0,47.0,53.0,53.0,47.0,41.0,59.0,41.0,59.0,47.0,53.0,58.0,42.0,58.0,42.0,53.0,47.0,44.0,56.0,54.0,46.0
1927 to 1942,70.0,30.0,43.0,57.0,42.0,58.0,51.0,49.0,70.0,30.0,50.0,50.0,35.0,65.0,47.0,53.0,38.0,62.0,40.0,60.0,49.0,51.0,56.0,44.0,56.0,44.0,48.0,52.0,51.0,49.0,41.0,59.0
1911 to 1926,61.0,39.0,47.0,53.0,41.0,59.0,51.0,49.0,69.0,31.0,43.0,57.0,30.0,70.0,53.0,47.0,47.0,53.0,44.0,56.0,44.0,56.0,62.0,38.0,64.0,36.0,64.0,36.0,52.0,48.0,52.0,48.0
1895 to 1910,55.0,45.0,39.0,61.0,39.0,61.0,49.0,51.0,66.0,34.0,46.0,54.0,32.0,68.0,52.0,48.0,50.0,50.0,42.0,58.0,47.0,53.0,58.0,42.0,57.0,43.0,0.0,100.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,56.0,44.0,43.0,57.0,44.0,56.0,52.0,48.0,65.0,35.0,45.0,55.0,32.0,68.0,51.0,48.0,39.0,61.0,38.0,63.0,44.0,56.0,55.0,45.0,51.0,49.0,47.0,53.0,46.0,54.0,52.0,48.0
Female,53.0,47.0,41.0,59.0,37.0,63.0,47.0,53.0,69.0,31.0,47.0,53.0,39.0,61.0,51.0,49.0,47.0,53.0,45.0,55.0,50.0,50.0,61.0,39.0,65.0,35.0,56.0,44.0,53.0,47.0,57.0,43.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,53.0,47.0,40.0,60.0,39.0,61.0,48.0,52.0,65.0,36.0,41.0,59.0,30.0,70.0,49.0,54.0,37.0,63.0,36.0,64.0,39.0,61.0,52.0,48.0,51.0,49.0,46.0,54.0,42.0,58.0,44.0,56.0
Black,65.0,35.0,80.0,20.0,64.0,36.0,71.0,29.0,100.0,0.0,97.0,3.0,87.0,13.0,95.0,5.0,93.0,7.0,89.0,11.0,92.0,8.0,94.0,6.0,99.0,1.0,92.0,8.0,90.0,10.0,99.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than high school,68.0,32.0,49.0,51.0,43.0,57.0,52.0,48.0,77.0,23.0,56.0,44.0,36.0,64.0,64.0,36.0,65.0,35.0,57.0,43.0,59.0,41.0,68.0,32.0,82.0,18.0,65.0,35.0,69.0,31.0,72.0,28.0
High school diploma/equivalent,54.0,46.0,37.0,63.0,43.0,57.0,54.0,46.0,67.0,33.0,46.0,54.0,34.0,66.0,52.0,48.0,38.0,62.0,39.0,61.0,50.0,50.0,62.0,38.0,60.0,40.0,53.0,47.0,46.0,54.0,57.0,43.0
"Some college, no degree",24.0,76.0,24.0,76.0,31.0,69.0,33.0,67.0,58.0,42.0,36.0,64.0,35.0,65.0,48.0,52.0,38.0,62.0,36.0,64.0,42.0,58.0,58.0,42.0,56.0,44.0,50.0,50.0,47.0,53.0,53.0,47.0
College or advanced degree,(NA),(NA),29.0,71.0,31.0,69.0,40.0,60.0,50.0,50.0,37.0,63.0,39.0,61.0,38.0,62.0,35.0,65.0,41.0,59.0,42.0,58.0,52.0,48.0,49.0,51.0,50.0,50.0,50.0,50.0,51.0,49.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union household,81.0,19.0,56.0,44.0,53.0,47.0,64.0,36.0,83.0,17.0,56.0,44.0,43.0,57.0,64.0,36.0,55.0,45.0,57.0,43.0,59.0,41.0,68.0,32.0,75.0,25.0,61.0,39.0,64.0,36.0,60.0,40.0
Nonunion household,44.0,56.0,36.0,64.0,36.0,64.0,44.0,56.0,62.0,38.0,43.0,57.0,33.0,67.0,47.0,53.0,40.0,60.0,37.0,63.0,44.0,56.0,57.0,43.0,54.0,46.0,50.0,50.0,46.0,54.0,54.0,46.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: American National Election Studies; <http://www.electionstudies.org/>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
