Table 1073. Fatalities by Highest Driver Blood Alcohol Concentration (BAC)in the Crash,,,,,,,,,,
,,,,,,,,,,
See notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Item,1990.0,1995.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
,,,,,,,,,,
Total Fatalities,44599.0,41817.0,41945.0,42196.0,43005.0,42884.0,42836.0,43510.0,42708.0,41059.0
BAC=.00,,,,,,,,,,
Number,23823.0,25768.0,26082.0,26334.0,27080.0,27328.0,27413.0,27423.0,26633.0,25555.0
Percent,53.4,61.6,62.2,62.4,63.0,63.7,64.0,63.0,62.4,62.2
BAC=.01-.07,,,,,,,,,,
Number,2901.0,2416.0,2422.0,2441.0,2321.0,2327.0,2212.0,2404.0,2479.0,2388.0
Percent,6.5,5.8,5.8,5.8,5.4,5.4,5.2,5.5,5.8,5.8
Alcohol-Impaired-Driving Fatalities,,,,,,,,,,
BAC=.08+,,,,,,,,,,
Number,17705.0,13478.0,13324.0,13290.0,13472.0,13096.0,13099.0,13582.0,13491.0,12998.0
Percent,39.7,32.2,31.8,31.5,31.3,30.5,30.6,31.2,31.6,31.7
,,,,,,,,,,
"Source: U.S. National Highway Traffic Safety Administration,",,,,,,,,,,
"Traffic Safety Facts, annual; and unpublished data.",,,,,,,,,,
