"U.S. Supply, Disposition, and Ending Stocks of Crude Oil and Petroleum Products: 2007",,,,,,,,,
,,,,,,,,,
"[In thousands of barrels (1,848.5 represents 1,848,500,000). Minus sign (-) indicates decrease]",,,,,,,,,
,,,,,,,,,
Commodity,Supply,,,,Disposition,,,,Ending stocks
,Field production,Refinery and blender net production,Imports,Adjustments \1,Stock change,Refinery and blender net inputs,Exports,Products supplied \2,
Crude oil,1848.45,(X),3661.404,14.414,-17.835,5532.097,10.006,0.0,983.046
Commercial,1848.45,(X),3658.701,14.414,-26.171,(X),10.006,(X),286.105
Alaskan,263.595,(X),(X),(X),(X),(X),(X),(X),(X)
Lower 48 states,1584.855,(X),(X),(X),(X),(X),(X),(X),(X)
SPR,(X),(X),2.703,(X),8.336,(X),(X),(X),696.941
Imports by SPR,(X),(X),0.0,(X),(X),(X),(X),(X),(X)
Imports into SPR by others,(X),(X),2.703,(X),(X),(X),(X),(X),(X)
Natural gas liquids and LRGs,650.794,238.904,100.863,(X),-19.239,184.383,25.584,799.833,105.87
Pentanes plus,95.899,(X),10.564,(X),-1.739,64.603,4.776,38.823,10.278
Liquefied petroleum gases,554.895,238.904,90.299,(X),-17.5,119.78,20.809,761.009,95.592
Ethane/ethylene,258.682,7.323,0.118,(X),-5.417,0.0,0.0,271.54,14.869
Propane/propylene,185.099,205.179,66.357,(X),-9.592,0.0,15.501,450.726,52.007
Normal butane/butylene,46.833,24.285,16.428,(X),-2.973,48.292,5.308,36.919,21.862
Isobutane/isobutylene,64.281,2.117,7.396,(X),0.482,71.488,0.0,1.824,6.854
Finished motor gasoline,(X),3050.614,150.617,229.736,-4.671,(X),46.369,3389.269,111.426
Kerosene-type jet fuel,(X),528.476,79.034,(X),0.329,(X),15.01,592.171,39.458
Distillate fuel oil \3,(X),1508.53,110.997,0.0,-9.707,(X),97.726,1531.508,133.944
,,,,,,,,,
,,,,,,,,,
SYMBOLS,,,,,,,,,
X Not applicable.,,,,,,,,,
,,,,,,,,,
FOOTNOTES,,,,,,,,,
"\1 Includes an adjustment for crude oil, previously referred to as ""Unaccounted For Crude Oil."" Also",,,,,,,,,
"included is an adjustment for motor gasoline blending components, fuel ethanol, and distillate fuel oil. See",,,,,,,,,
Appendix B of source for more details.,,,,,,,,,
"\2 Products supplied is equal to field production, plus refinery and blender net production, plus imports,",,,,,,,,,
"plus adjustments, minus stock change, minus refinery and blender net imputs, minus exports.",,,,,,,,,
"\3 Distillate stocks located in the ""Northeast Heating Oil Reserve"" are not included. For details, see",,,,,,,,,
Appendix C of source.,,,,,,,,,
,,,,,,,,,
"Source: U.S. Energy Information Administration, ""Petroleum Supply Annual, Volume 1"".",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
INTERNET LINK,,,,,,,,,
http://www.eia.doe.gov/oil_gas/petroleum/data_publications/petroleum_supply_annual/psa_volume1/psa_volume1.html,,,,,,,,,
