"Table 1125. Gross Domestic Product in Finance, Insurance, Real Estate, Rental and Leasing in Current and Chained (2000) Dollars",,,,,,,,,,,,
,,,,,,,,,,,,
See notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,CHAINED (2000) DOLLARS \1,,,,
,,,,,,,,,,,,
Industry,1997 NAICS code,Unit,2000.0,2005.0,2006.0,2007.0,2008.0,2000.0,2005.0,2006.0,2007.0,2008.0
,,,,,,,,,,,,
CURRENT DOLLARS,,,,,,,,,,,,
"Finance & insurance, total",52,Billion dollars,740.5,989.0,1061.0,1091.0,1065.0,740.5,890.0,946.0,946.0,917.0
Percent of gross domestic product,,Percent,7.5,8.0,8.1,7.9,7.5,7.543037587857798,8.1,8.5,8.2,7.9
,,,,,,,,,,,,
"Federal Reserve banks, credit intermediation, and related activities",521522.0,Billion dollars,319.0,496.0,519.0,504.0,(NA),319.0,428.0,433.0,412.0,(NA)
"Security, commodity contracts, & investments",523,Billion dollars,167.7,189.0,212.0,238.0,(NA),167.7,231.0,269.0,292.0,(NA)
Insurance carriers & related activities,524,Billion dollars,238.3,280.0,312.0,332.0,(NA),238.3,221.0,244.0,254.0,(NA)
"Funds, trusts, & other financial vehicles (part)",525,Billion dollars,15.5,25.0,18.0,17.0,(NA),15.5,18.0,15.0,12.0,(NA)
,,,,,,,,,,,,
"Real estate & rental & leasing, total",53.0,Billion dollars,1190.5,1538.0,1625.0,1720.0,1784.0,1190.5,1333.0,1369.0,1414.0,1440.0
Percent of gross domestic product,,Percent,12.126922685138025,12.4,12.6,12.5,12.5,12.1,12.1,12.4,12.3,12.4
Real estate,531.0,Billion dollars,1082.1,1428.0,1498.0,1587.0,(NA),1082.1,1233.0,1258.0,1300.0,(NA)
Rental & leasing services and lessors of other nonfinancial intangible assets,532533.0,Billion dollars,108.3,110.0,127.0,133.0,(NA),108.3,98.0,110.0,113.0,(NA)
,,,,,,,,,,,,
"Source: U.S. Bureau of Economic Analysis,",,,,,,,,,,,,
"Survey of Current Business, May 2009.",,,,,,,,,,,,
