Table 137. Medicare Disbursements by Type of Beneficiary,,,,,,,,
,,,,,,,,
See notes.,,,,,,,,
,,,,,,,,
,,,,,,,,
Selected type of beneficiary,1990.0,1995.0,2000.0,2004.0,2005.0,2006.0,2007.0,2008 \1
,,,,,,,,
Total disbursements,109709.0,180096.0,219276.40055769,301487.87927772,336876.0,380457.0,434829.0,455076.0
Hospital insurance (Part A) disbursements \2,66687.0,114883.0,130284.0,166997.62900000002,184142.0,184901.0,202827.0,230240.0
Benefits,65722.0,113394.0,125992.0,163764.092,181934.0,185100.0,203990.0,226275.0
Aged,58503.0,100107.0,110260.63900570753,140703.85618813016,155925.0,157273.0,172748.0,184267.0
Disabled,7218.0,13288.0,15731.360994292478,23060.23581186982,26009.0,27827.0,31242.0,33524.0
Transfer to Part B to correct assests,,,,,,,,
for accounting error,,,,,,,,8484.0
SMI Part B disbursements \2,43022.0,65213.0,88992.40055769,134274.16488177,151537.0,161647.0,179651.0,177709.0
Benefits,41498.0,63490.0,88875.39955768999,131356.88553508001,147449.0,154381.0,172698.0,174805.0
Aged,36837.0,54830.0,76340.35762397606,109890.11127861137,122905.0,127848.0,142839.0,151298.0
Disabled,4661.0,8660.0,12535.142933713947,21466.77425646864,24544.0,26534.0,29859.0,31991.0
Transfer to Part A to correct assests,,,,,,,,
for accounting error,,,,,,,,-8484.0
SMI Part D disbursements  \2,(X),(X),(X),216.08539595,1198.0,33909.0,52351.0,47126.0
Benefits,(X),(X),(X),0.0,73.0,33506.0,51336.0,46734.0
Transitional assistance benefit payments,(X),(X),(X),216.08539595,1125.0,229.0,10.0,0.0
,,,,,,,,
"Source: U.S. Centers for Medicare and Medicaid Services,",,,,,,,,
"Trustees Report and Trust Funds, and unpublished data.",,,,,,,,
