Table 262. High School Dropouts by Race and Hispanic Origin,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item,1975.0,1980.0,1985.0,1990.0,1995,1999,2000,2001,2002,2003.0,2004.0,2005.0,2006.0,2007.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
EVENT DROPOUTS \2,,,,,,,,,,,,,,
Total \3,5.8,6.0,5.2,4.5,5.4,4.7,4.5,4.7,3.3,3.8,4.4,3.6019575856443717,3.5,3.3
White \4,5.4,5.6,4.8,3.9,5.1,4.4,4.3,4.6,3.0,3.7,4.2,3.05908,3.5,2.8
Male,5.0,6.4,4.9,4.1,5.4,4.1,4.7,5.3,3.0,3.9,4.9,3.37566,3.9,2.8
Female,5.8,4.9,4.7,3.8,4.8,4.7,4.0,3.8,3.0,3.4,3.5,2.73601,3.1,2.7
Black \4,8.7,8.3,7.7,7.7,6.1,6.0,5.6,5.7,4.4,4.5,5.2,6.90758,3.7,4.3
Male,8.3,8.0,8.3,6.9,7.9,5.2,7.6,6.1,5.1,4.1,4.8,7.53145,3.2,4.9
Female,9.0,8.5,7.2,8.6,4.4,6.8,3.8,5.4,3.8,4.9,5.7,6.19054,4.3,3.6
Hispanic \5,10.9,11.5,9.7,7.7,11.6,7.1,6.8,8.1,5.3,6.5,8.0,4.73919,6.4,5.5
Male,10.1,16.9,9.3,7.6,10.9,6.9,7.1,7.6,6.2,7.7,11.5,5.5983,6.3,5.5
Female,11.6,6.9,9.8,7.7,12.5,7.3,6.5,8.7,4.4,5.4,4.6,3.87429,6.6,5.6
,,,,,,,,,,,,,,
STATUS DROPOUTS \6,,,,,,,,,,,,,,
Total \3,15.6,15.6,13.9,14.4,13.9,13.1,12.4,13.0,12.3,11.8,12.1,11.3,11.0,10.2
White \4,13.9,14.4,13.5,14.1,13.6,12.8,12.2,13.4,12.2,11.6,11.9,11.3,10.8,10.0
Male,13.5,15.7,14.7,15.4,14.3,13.9,13.5,15.3,13.7,13.3,13.7,13.2,12.4,11.7
Female,14.2,13.2,12.3,12.8,13.0,11.8,10.9,11.4,10.6,9.8,10.0,9.4,9.2,8.3
Black \4,27.3,23.5,17.6,16.4,14.4,16.0,15.3,13.8,14.6,14.2,15.1,12.9,13.0,10.2
Male,27.8,26.0,18.8,18.6,14.2,16.3,17.4,16.9,16.9,16.7,17.9,14.8,11.2,10.0
Female,26.9,21.5,16.6,14.5,14.6,15.7,13.5,11.0,12.5,12.0,12.7,11.2,14.7,10.3
Hispanic \5,34.9,40.3,31.5,37.7,34.7,33.9,32.3,31.7,30.1,28.4,28.0,27.3,26.2,25.3
Male,32.6,42.6,35.8,40.3,34.2,36.4,36.8,37.1,33.8,31.7,33.5,32.1,31.0,29.2
Female,36.8,38.1,27.0,35.0,35.4,31.1,27.3,25.5,25.6,24.7,21.7,21.8,21.0,21.1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population",,,,,,,,,,,,,,
"Reports, PPL-148; and earlier PPL and P-20 reports; and data published on the Internet.",,,,,,,,,,,,,,
