Table 803. Farms--Number and Acreage by Size of Farm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Size of farm,Number of farms,,,Land in farms,,,Cropland harvested,,,2002.0,,,2007.0,,
,,,,,,,,,,,,,,,
,"1997 (1,000)","2002 (1,000)","2007 (1,000)",1997  (million acres),2002  (million acres),2007  (million acres),1997  (million acres),2002  (million acres),2007  (million acres),Number of farms (percent),All land in farms (percent),Cropland harvested (percent),Number of farms (percent),All land in farms (percent),Cropland harvested (percent)
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total,2215.876,2128.982,2204.792,954.753,938.279,922.09584,318.937,302.697,309.607601,100.0,100.0,100.0,100.0,100.0,100.0
Under 10 acres,205.39,179.346,232.849,0.876,0.848,1.080019,0.278,0.249,0.291828,8.4,0.1,0.1,10.561041585782242,0.11712654511053862,0.09425737580648091
10 to 49 acres,530.902,563.772,620.283,14.018,14.712,15.918542,4.267,4.112,4.296973,26.5,1.6,1.4,28.13340215312828,1.7263435436385877,1.3878771018932448
50 to 69 acres,154.393,151.823,153.862,8.961,8.802,8.930361,2.682,2.469,2.451606,7.1,0.9,0.8,6.978526772593514,0.9684851197246481,0.7918429625376027
70 to 99 acres,200.168,190.728,192.043,16.464,15.672,15.783304,5.184,4.65,4.500846,9.0,1.7,1.5,8.710254754189965,1.71167717229914,1.4537259374326537
100 to 139 acres,187.076,174.524,175.146,21.709,20.238,20.313722,6.954,6.115,5.775871,8.2,2.2,2.0,7.943878606235871,2.202994647497813,1.8655456071958647
140 to 179 acres,152.852,141.63,139.479,24.058,22.29,21.95409,8.442,7.273,6.590706,6.7,2.4,2.4,6.32617498612114,2.3808902553990485,2.1287287452610055
180 to 219 acres,99.98,91.262,87.502,19.756,18.034,17.28357,7.186,6.218,5.588532,4.3,1.9,2.1,3.968719044699001,1.8743789148858974,1.8050370798228563
220 to 259 acres,78.854,71.842,68.313,18.762,17.093,16.258454,7.475,6.456,5.730418,3.4,1.8,2.1,3.098387512291409,1.7632065230876655,1.8508647660753008
260 to 499 acres,249.381,225.513,212.553,89.231,80.62,75.892077,40.112,34.089,30.444392,10.6,8.6,11.3,9.640501235490696,8.230389261923143,9.833218532641904
500 to 999 acres,179.447,161.552,149.713,124.589,112.444,104.140461,66.452,56.66,51.556447,7.6,12.0,18.7,6.790345755971538,11.293886869720616,16.652190331722508
"1,000 to 1,999 acres",103.007,99.02,92.656,140.745,135.676,127.595277,75.854,72.788,69.844694,4.7,14.5,24.0,4.202482592462237,13.837528754060965,22.55910183548756
"2,000 acres or more",74.426,77.97,80.393,475.582,491.85,496.945963,94.051,101.619,122.53528800000001,3.7,52.4,33.6,3.6462850010341117,53.893092392651944,39.57760972412302
,,,,,,,,,,,,,,,
"Source: U.S. Department of Agriculture, National Agricultural Statistics Service,",,,,,,,,,,,,,,,
"2007 Census of Agriculture, Volume 1.",,,,,,,,,,,,,,,
