"Table 7. Prevalence of organisational innovations by size category of personnel, 2006–2008, share of enterprises",,,,
,Organisational innovations %,New business practices %,New methods of organising work responsibilities and decision making %,New methods of organising external relations %
Total,25,19,18,10
"Manufacturing, total 1)",22,17,16,9
10 - 19,13,9,9,6
20 - 49,19,14,13,8
50 - 99,29,23,20,7
100 - 249,37,25,25,15
250 - 499,51,35,42,22
500 -,79,73,65,41
"Services, total",28,20,21,10
10 - 19,18,13,14,6
20 - 49,35,25,25,12
50 - 99,28,20,23,9
100 - 249,51,40,44,20
250 - 499,45,37,41,19
500 -,59,46,50,35
"1) Including mining and quarrying (05–09), electricity, gas, steam and air conditioning supply (35), water supply; sewerage, waste management and remediation activities (36–39).",,,,
,,,,
"Source: Innovation 2008, Statistics Finland",,,,
"Inquiries: Mervi Niemi (09) 1734 3263, tiede.teknologia@stat.fi",,,,
Director in charge: Leena Storgårds,,,,
