"3 Private ordinary kindergartens1. Monthly costs for a place in kindergarten, by hours of attendance per week, different age groups and county. 2008. NOK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monthly cost 0-8 hours per week,,,Monthly cost 9-16 hours per week,,,Monthly cost 17-24 hours per week,,,Monthly cost 25-32 hours per week,,,Monthly cost 33-40 hours per week,,,Monthly cost 41- hours per week,,,,,,,,,,,,,,,,,,,,,,,
,0-2 years,3 years,4-6 years,0-2 years,3 years,4-6 years,0-2 years,3 years,4-6 years,0-2 years,3 years,4-6 years,0-2 years,3 years,4-6 years,0-2 years,3 years,4-6 years,,,,,,,,,,,,,,,,,,,,,
"2008, total",1 835,1 377, 918,3 977,2 983,1 988,6 424,4 818,3 212,8 871,6 654,4 436,11 319,8 489,5 659,13 766,10 324,6 883,,,,,,,,,,,,,,,,,,,,,
Østfold,1 744,1 308, 872,3 778,2 834,1 889,6 103,4 577,3 051,8 428,6 321,4 214,10 753,8 065,5 376,13 078,9 808,6 539,,,,,,,,,,,,,,,,,,,,,
Akershus,1 841,1 381, 921,3 990,2 992,1 995,6 445,4 834,3 222,8 900,6 675,4 450,11 355,8 517,5 678,13 811,10 358,6 905,,,,,,,,,,,,,,,,,,,,,
Oslo,1 844,1 383, 922,3 996,2 997,1 998,6 455,4 841,3 227,8 914,6 685,4 457,11 372,8 529,5 686,13 831,10 373,6 916,,,,,,,,,,,,,,,,,,,,,
Hedmark,1 815,1 361, 908,3 933,2 949,1 966,6 353,4 765,3 176,8 773,6 580,4 386,11 193,8 395,5 596,13 613,10 210,6 806,,,,,,,,,,,,,,,,,,,,,
Oppland,1 768,1 326, 884,3 830,2 872,1 915,6 187,4 640,3 093,8 544,6 408,4 272,10 900,8 175,5 450,13 257,9 943,6 629,,,,,,,,,,,,,,,,,,,,,
Buskerud,1 815,1 361, 908,3 933,2 950,1 967,6 354,4 765,3 177,8 774,6 581,4 387,11 195,8 396,5 597,13 615,10 211,6 807,,,,,,,,,,,,,,,,,,,,,
Vestfold,1 888,1 416, 944,4 091,3 068,2 046,6 609,4 956,3 304,9 126,6 845,4 563,11 644,8 733,5 822,14 161,10 621,7 081,,,,,,,,,,,,,,,,,,,,,
Telemark,1 782,1 336, 891,3 860,2 895,1 930,6 236,4 677,3 118,8 612,6 459,4 306,10 988,8 241,5 494,13 363,10 022,6 682,,,,,,,,,,,,,,,,,,,,,
Aust-Agder,1 914,1 436, 957,4 148,3 111,2 074,6 700,5 025,3 350,9 253,6 940,4 626,11 805,8 854,5 903,14 358,10 768,7 179,,,,,,,,,,,,,,,,,,,,,
Vest-Agder,1 753,1 315, 876,3 798,2 848,1 899,6 135,4 601,3 068,8 472,6 354,4 236,10 810,8 107,5 405,13 147,9 860,6 573,,,,,,,,,,,,,,,,,,,,,
Rogaland,1 826,1 369, 913,3 956,2 967,1 978,6 390,4 793,3 195,8 825,6 618,4 412,11 259,8 444,5 629,13 693,10 270,6 847,,,,,,,,,,,,,,,,,,,,,
Hordaland,1 927,1 445, 963,4 174,3 131,2 087,6 743,5 057,3 372,9 312,6 984,4 656,11 881,8 911,5 941,14 450,10 837,7 225,,,,,,,,,,,,,,,,,,,,,
Sogn og Fjordane,1 719,1 290, 860,3 725,2 794,1 863,6 018,4 513,3 009,8 310,6 233,4 155,10 603,7 952,5 302,12 896,9 672,6 448,,,,,,,,,,,,,,,,,,,,,
Møre og Romsdal,1 802,1 351, 901,3 904,2 928,1 952,6 306,4 730,3 153,8 708,6 531,4 354,11 111,8 333,5 555,13 513,10 135,6 757,,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag,1 924,1 443, 962,4 169,3 127,2 085,6 735,5 051,3 367,9 300,6 975,4 650,11 866,8 899,5 933,14 432,10 824,7 216,,,,,,,,,,,,,,,,,,,,,
Nord-Trøndelag,1 752,1 314, 876,3 797,2 848,1 898,6 133,4 600,3 067,8 470,6 352,4 235,10 806,8 105,5 403,13 143,9 857,6 571,,,,,,,,,,,,,,,,,,,,,
Nordland,1 754,1 316, 877,3 801,2 851,1 901,6 140,4 605,3 070,8 480,6 360,4 240,10 819,8 114,5 409,13 158,9 868,6 579,,,,,,,,,,,,,,,,,,,,,
Troms Romsa,1 879,1 409, 940,4 072,3 054,2 036,6 577,4 933,3 289,9 083,6 812,4 541,11 589,8 691,5 794,14 094,10 571,7 047,,,,,,,,,,,,,,,,,,,,,
Finnmark Finnmárku,1 853,1 389, 926,4 014,3 011,2 007,6 484,4 863,3 242,8 954,6 716,4 477,11 425,8 569,5 712,13 895,10 421,6 947,,,,,,,,,,,,,,,,,,,,,
Svalbard,2 463,1 847,1 231,5 336,4 002,2 668,8 620,6 465,4 310,11 904,8 928,5 952,15 188,11 391,7 594,18 472,13 854,9 236,,,,,,,,,,,,,,,,,,,,,
1 ,Includes 2 220 ordinary private kindergartens in 2008.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explanation of symbols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
