"Health expenditure, key figures. 1999-2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,2000,2001,2002,2003,2004,2005,2006,2007*,2008*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health. NOK million, 115 711, 124 728, 135 266, 150 029, 159 572, 168 237, 176 984, 186 761, 202 928, 217 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on healt in current prices in per cent of GDP,9.3,8.4,8.8,9.8,10,9.7,9.1,8.6,8.9,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health in current prices in per cent of GDP Mainland Norway,11.1,11.2,11.5,12.3,12.5,12.4,12.2,11.8,11.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on healt in current prices per capita,25 933,27 773,29 968,33 059,34 957,36 638,38 281,40 072,43 092,45 544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
