"2 Waste in the manufacturing industries. By material. 1993, 1996, 1999, 2003-2005. 1 000 tonnes1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1993,1996,1999,2003,2004,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2 825,2 625,2 873,3 102,2 853,2 998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetorganic waste, 447, 432, 452, 564, 533, 551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Organic sludge, dry weight2", 174, 170, 166, 161, 152, 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood waste, 879, 839, 671, 774, 629, 639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper and board, 207, 173, 173, 201, 199, 196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glass,55,19,15,35,31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metals, 180, 253, 200, 159, 157, 178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrical/electronic waste,..,..,..,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastic,34,54,47,38,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber,2,5,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textile,16,5,6,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete and bricks3,76, 118, 166,45,40,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other mineral wastes,..,..,..,78,71,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inorganic sludge, dry weight",..,..,..,42,39,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cinders, dust and ashes", 364, 390, 750, 567, 543, 569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other4, 233,78,98, 264, 253, 278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed waste, 158,88, 124, 167, 162, 176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 ,Hazardous waste excluded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 ,Includes inorganic sludge until 1999.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 ,Includes other mineral wastes until 1999.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 ,Includes electric/electronical waste until 1999.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Statistics Norway.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
