Table 7B. Patents granted to finnish enterprises by European Patent Office by industry (TOL 2008) in 2008,,
Industry,Patents,Enterprises
Total,768,167
"C Manufacturing, total",641,110
10-12 Food industry,6,5
"13-15 Textile, clothing, leather and footwear industry",2,2
16-17 Wood and paper industry,14,6
19-22 Chemical industry,38,15
"24-25, 28-30 Metal and engineering industry",128,41
26-27 Electrical and electronics industry,432,28
Other manufacturing,25,15
"D,E Electricity, gas and water supply",1,1
F Construction,2,2
G Wholesale and retail trade,9,7
J Information and communication,32,13
72 Scientific research and development,22,15
"M Professional, scientific and technical activities (excl. 72)",23,15
Other industries,38,4
,,
Source: Patenting 2008. Statistics Finland,,
"Inquiries: Ari Leppälahti (09) 1734 3237, tiede.teknologia@stat.fi",,
Director in charge: Leena Storgårds,,
