4.1 Part-time vacancies by province 2009/IV - 2008/IV,,,,,,,
,Year/Quarter,,,,,Change 2009/IV - 2008/IV,Change (%) 2009/IV - 2008/IV
,   2009/IV,   2009/III,   2009/II,   2009/I,   2008/IV,,
Province,,,,,,,
Total,4 100,7 700,7 900,9 900,4 400,-200,-5
Uusimaa,1 500,3 700,2 600,3 600,800,700,86
Southern Finland (excl. Uusimaa),1 300,1 100,1 100,1 200,500,800,177
Western Finland,900,1 500,2 500,3 200,1 300,-400,-33
Eastern Finland,100,800,700,1 400,300,-200,-60
Oulu+Lapland,300,600,1 000,500,1 400,-1 100,-77
,,,,,,,
"Source: Job vacancy survey 2009, 4th quarter 2009. Statistics Finland.",,,,,,,
Inquiries: Juha Martikainen (09) 1734 3225,,,,,,,
Director in charge: Riitta Harala,,,,,,,
