"Table 1. Attendance of the theatre, a concert, the opera, ballet or a dance performance by gender (population aged 25 to 64), %",,,,,,
Gender,"Number of visits, %",,,,,
,No visits,1-3 times,4-6 times,7-12 times,More then 12 times,Total
Men,45,36,11,5,3,100
Women,28,42,18,8,5,100
,,,,,,
Source: Adult Education Survey 2006,,,,,,
"Inquiries: Timo Ruuskanen (09) 1734 3620, Irja Blomqvist (09) 1734 3221, aikuiskoulutus.tilastot@stat.fi",,,,,,
Director in charge: Riitta Harala,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
