4  ,"Primary and lower secondary schools pupils, by ownership and county. School year 2000/01. Per cent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Total,Of which private,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The whole country,590 471,10 053,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Østfold,31 406,633,"2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akershus,65 952,1 363,"2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oslo,49 750,2 177,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedmark,23 246,376,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oppland,22 520,230,"1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buskerud,30 431,318,"1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vestfold,28 568,752,"2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telemark,21 430,187,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aust-Agder,14 005,89,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vest-Agder,22 418,376,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogaland,55 292,730,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hordaland,60 572,1 644,"2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sogn og Fjordane,15 247,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Møre og Romsdal,33 306,157,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag,35 183,481,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nord-Trøndelag,17 785,107,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordland,32 494,92,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troms,20 662,292,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnmark,10 204,49,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: GSI/SSB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explanation of symbols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
