"Hard Coal Stocks, month-end, million tonnes",,,,
Month,Year,,,
,2006,2007,2008,2009
January,"5,0","4,4","3,6","4,2"
February,"4,6","4,1","3,6","4,1"
March,"4,1","4,2","3,7","4,0"
April,"3,9","4,4","3,7","4,2"
May,"3,8","4,8","3,9","4,5"
June,"3,7","4,8","4,0","4,9"
July,"3,4","4,9","4,1","5,2"
August,"3,2","5,0","4,3","5,5"
September,"3,3","4,7","4,1","5,5"
October,"3,5","4,5","3,9","5,4"
November,"3,8","4,1","4,1","5,2"
December,"4,4","3,7","4,4","4,8"
,,,,
"Source: Since 2005 Statistics Finland, 1997-2004 Coal User's Committee/Finergy, Statistics Finland",,,,
"Inquiries: Anssi Vuorio 09 1734 2685, energia@stat.fi",,,,
Director in charge: Leena Storgårds,,,,
