"Body mass index, self-reported, adult, by sex, provinces and territories ",,,,
(Number of persons),,,,
,2003 (number of persons),2005 (number of persons),2007 (number of persons),2008 (number of persons)
Canada,"11,476,904","11,897,306","12,132,327","12,389,673"
Males,"6,715,020","6,949,108","6,988,383","7,118,344"
Females,"4,761,883","4,948,198","5,143,944","5,271,329"
Newfoundland and Labrador,"239,766","247,225","238,457","240,811"
  Males,"135,287","136,409","124,313","128,418"
  Females,"104,480","110,816","114,144","112,393"
Prince Edward Island,"60,870","60,827","59,941","60,371"
  Males,"36,160","33,075","34,144","33,220"
  Females,"24,710","27,753","25,797","27,151"
Nova Scotia,"386,137","404,485","397,420","440,386"
  Males,"222,045","227,228","217,474","225,344"
  Females,"164,091","177,257","179,947","215,042"
New Brunswick,"318,908","339,083","321,175","333,792"
  Males,"177,072","187,652","172,701","186,995"
  Females,"141,836","151,431","148,474","146,796"
Quebec,"2,695,398","2,717,134","2,783,099","2,769,566"
  Males,"1,577,630","1,589,051","1,586,119","1,607,598"
  Females,"1,117,769","1,128,083","1,196,979","1,161,968"
Ontario,"4,444,943","4,594,865","4,793,763","4,896,191"
  Males,"2,583,604","2,685,163","2,756,781","2,811,907"
  Females,"1,861,339","1,909,702","2,036,982","2,084,284"
Manitoba,"431,026","443,188","442,605","437,919"
  Males,"249,956","252,892","252,007","248,586"
  Females,"181,070","190,296","190,598","189,332"
Saskatchewan,"386,358","392,035","371,165","402,034"
  Males,"219,342","230,169","213,251","230,427"
  Females,"167,016","161,865","157,914","171,607"
Alberta,"1,142,221","1,199,133","1,301,833","1,310,549"
  Males,"686,633","719,177","774,637","782,329"
  Females,"455,588","479,957","527,196","528,220"
British Columbia,"1,339,627","1,464,108","1,388,605","1,463,558"
  Males,"809,145","868,245","837,972","844,036"
  Females,"530,483","595,863","550,633","619,522"
Yukon Territory,"11,140","11,584","12,190","11,748"
  Males,"6,310","6,285","6,983","6,719"
  Females,"4,829","5,299","5,207","5,029"
Northwest Territories,"15,248","16,881","16,286","15,695"
  Males,"8,850","9,877","9,125","8,298"
  Females,"6,399","7,004","7,161","7,397"
Nunavut,"5,262","6,757","5,789","7,055"
  Males,"2,988","3,885","2,876","4,468"
  Females,"2,274","2,872","2,913","2,587"
Note: This indicator is measured out of 18 years and over only.,,,,
"Source: Statistics Canada, CANSIM, table 105-0501 and Catalogue no. 82-221-X.",,,,
Last modified: 2010-01-05.,,,,
,,,,
