"ESMV-- Elder Services of the Merrimack Valley, Inc.","Individual or Aggregate Tracking
Indicate with an I for individual or A for aggregate at what level the information will be recorded",Included in ADRC MIS? Part of existing MIS prior to ADRC,Added or enhanced through ADRC,Will be added or enhanced through ADRC,"Other, please describe",Software Program/ Vendor,Available directly to Consumers?,"Source of the Data 
(client report, provider submits, ADRC follow-up, electronic administrative data, MMIS)","Who maintains the IT system? (in-house agency, vendor …)","How Data Will Be Integrated?
(e.g., electronic interface that merges data from different sources, ADRC staff follow-up with customer, reports from __ system entered manually, etc.; or do not plan to integrate)"
Resource Information,,,,,,HOMIS -developed and provided by State,,,In-house at ESMV--IT Department and Administrator.  Support at State-level,
Website,,x,,possibly,,,Yes,,,
Customer Information/Use of ADRC Services,,,,,,,,,,System entered manually.  No plan to integrate with financial data from Medicaid.
Intake,I and A,x,,,,,,HOMIS,,
Referral to Services,I and A,x,,,,,,HOMIS,,
LTC Support Options,I and A,x,,,,,,HOMIS,,
Futures Planning,?,,,,,,,,,
Functional Screen/LOC Determination,,,,,,,,,,
Conducted,I and A,x,,,,,,HOMIS,,
Outcome (approved/denied),I and A,x,,,,,,HOMIS,,
Financial Eligibility,,,,,,,,,,
Conducted,,,,,,,,,,
Outcome (approved/denied),,,,,,,,,,
Needs Assessment1,,,,,,,,,,
Care Plan,I,,,,,,,HOMIS,,
Other Services Provided by ADRC2,,,,,,,,,,
All Programs Offered by ESMV,I and A,,,,,,,HOMIS,,
Medicaid,A,,,,,,,,,
HCBS,A,,,,,,,HOMIS,,
Institutional4,A,,,,,,,HOMIS,,
OAA,A,,,,,,,HOMIS,,
State Program,A,,,,,,,HOMIS,,
Other (please specify),,,,,,,,HOMIS,,
Medicaid,,,,,,,,,,
HCBS,A,,,,,Medicaid,,MMIS,,
Institutional4,A,,,,,Medicaid,,MMIS,,
OAA,A,,,,,,,HOMIS,,
State Program,A,,,,,,,HOMIS,,
Other (please specify),,,,,,,,,,
