,Democratic,Republican,Undeclared,Total,,#1
Atkinson,1321.0,1955.0,2480.0,5756.0,,201.0
Auburn,931.0,1432.0,1461.0,3824.0,,214.0
Brentwood,715.0,965.0,1037.0,2717.0,,114.0
Candia,865.0,1412.0,1070.0,3347.0,,170.0
Chester,661.0,1319.0,1475.0,3455.0,,243.0
Danville,751.0,945.0,1413.0,3109.0,,204.0
Deerfield,837.0,1322.0,1440.0,3599.0,,202.0
Derry,5696.0,6829.0,9510.0,22035.0,,1677.0
East Kingston,406.0,602.0,645.0,1653.0,,107.0
Epping,1134.0,1139.0,2524.0,4797.0,,283.0
Exeter,3817.0,3361.0,3538.0,10716.0,,680.0
Fremont,611.0,910.0,1488.0,3009.0,,191.0
Greenland,765.0,901.0,1223.0,2889.0,,181.0
Hampstead,1504.0,2201.0,2594.0,6299.0,,357.0
Hampton,4152.0,3696.0,5536.0,13384.0,,636.0
Hampton Falls,272.0,612.0,905.0,1789.0,,114.0
Kensington,413.0,521.0,819.0,1753.0,,83.0
Kingston,1069.0,1463.0,1493.0,4025.0,,267.0
Londonderry,5003.0,6429.0,5932.0,17364.0,,953.0
New Castle,198.0,286.0,401.0,885.0,,47.0
Newfields,289.0,338.0,601.0,1228.0,,65.0
Newington,156.0,247.0,326.0,729.0,,54.0
Newmarket*,2848.0,1634.0,2962.0,7444.0,,673.0
Newton,804.0,760.0,1516.0,3080.0,,220.0
North Hampton,1064.0,1389.0,1681.0,4134.0,,189.0
Northwood,721.0,811.0,1893.0,3425.0,,261.0
Nottingham,1030.0,1131.0,1349.0,3510.0,,236.0
Plaistow,1482.0,1809.0,3065.0,6356.0,,354.0
Portsmouth Ward 1,1388.0,567.0,1219.0,3174.0,,360.0
Portsmouth Ward 2,2084.0,676.0,1750.0,4510.0,,488.0
Portsmouth Ward 3,929.0,455.0,749.0,2133.0,,180.0
Portsmouth Ward 4,1713.0,1187.0,1794.0,4694.0,,378.0
Portsmouth Ward 5,1874.0,815.0,1703.0,4392.0,,381.0
Raymond,1672.0,2103.0,3665.0,7440.0,,564.0
Rye,1633.0,1777.0,1438.0,4848.0,,200.0
Salem,6554.0,6255.0,7845.0,20654.0,,1291.0
Sandown,955.0,1312.0,2023.0,4290.0,,312.0
Seabrook,1695.0,1672.0,2419.0,5786.0,,558.0
South Hampton,130.0,124.0,376.0,630.0,,26.0
Stratham,1685.0,2126.0,2631.0,6442.0,,344.0
Windham,2234.0,3909.0,3786.0,9929.0,,542.0
