Accident Year,Catastrophe Incurred Losses,Total Incurred Losses,,,,,,
1993-06-30 00:00:00,1322334,7660798,,,,,,
1994-06-30 00:00:00,5169659,14715568,,,,,,
1995-06-30 00:00:00,192841,8522980,,,,,,
1996-06-30 00:00:00,4187942,13242647,,,,,,
1997-06-30 00:00:00,232944,6580949,,,,,,
1998-06-30 00:00:00,1746321,7880167,,,,,,
1999-06-30 00:00:00,515243,7327550,,,,,,
2000-06-30 00:00:00,2304632,10688011,,,,,,
2001-06-30 00:00:00,492882,11239978,,,,,,
2002-06-30 00:00:00,171542,7704012,,,,,,
2003-06-30 00:00:00,1213881,9245100,,,,,,
2004-06-30 00:00:00,1690999,10361455,,,,,,
2005-06-30 00:00:00,1475897,10978157,,,,,,
2006-06-30 00:00:00,822768,10284692,,,,,,
2007-06-30 00:00:00,1302874,15190662,,,,,,
2008-06-30 00:00:00,527964,14377129,,,,,,
2009-06-30 00:00:00,1055661,18097050,,,,,,
2010-06-30 00:00:00,13458711,28342041,,,,,,
2011-06-30 00:00:00,5580008,24972609,,,,,,
2012-06-30 00:00:00,6826894,27870672,,,,,,
