Title,Editor
Tom Jones,H. Fielding
The Castle,F. Kafka
Saved,E. Bond
Women in Love,D.H. Lawrence
Uma Introducao a Vygotsky,
Penguin Dictionary of Quotations.,
Anthony Beal,D.H. Lawrence
War and Peace,Tolstoy
The New Rules of World,J. Pilger
From Camel to Kangaroo,A. Aziz Tadros
The Crack-up with Other Bits & Pieces,F. Scott Fitzgerald
The Poems of Byron,
Nietzsched,J. P. Stern
Tim and Mitten,
Sons and Lovers,D.H. Lawrence
Decorative Maps,R. Barron
Malaysia in colour,J. David Day
"Quatro séculos de arte sacra: a Igreja de São Francisco, o Convento de Santo Antônio e a Capela da Ordem Terceira",J. Pessoa
Creative Interiors,W. Loasby
Modernist Women and Visual Cultures,M.Humm
Getting Started with Functional Grammar,L. Droga S. Humphrey
Birmingham Memories,
The Oxford Dictionary of Modern Quotations,
Ardizzone's Hans Andersen: Fourteen Classic Tales,
A Brief History of Time,S. Hawkins
Cadogan Guides: Spain.,
The Minerva Collection of 20th Century Women's Fiction,J. Cooke
