,Democratic,Republican,Undeclared,Total,,1.0
Alstead,486.0,334.0,607.0,1427.0,,82.0
Chesterfield,871.0,795.0,1341.0,3007.0,,199.0
Dublin,394.0,421.0,451.0,1266.0,,77.0
Fitzwilliam,574.0,563.0,793.0,1930.0,,102.0
Gilsum,133.0,137.0,304.0,574.0,,33.0
Harrisville,418.0,143.0,325.0,886.0,,41.0
Hinsdale,901.0,572.0,1281.0,2754.0,,228.0
Jaffrey,1164.0,1203.0,1754.0,4121.0,,234.0
Keene Ward 1,1721.0,552.0,2255.0,4528.0,,1220.0
Keene Ward 2,1619.0,661.0,1715.0,3995.0,,543.0
Keene Ward 3,1114.0,637.0,1102.0,2853.0,,367.0
Keene Ward 4,1199.0,790.0,1132.0,3121.0,,331.0
Keene Ward 5,1484.0,988.0,1451.0,3923.0,,347.0
Marlborough,559.0,283.0,732.0,1574.0,,108.0
Marlow,154.0,136.0,297.0,587.0,,31.0
Nelson,195.0,126.0,255.0,576.0,,34.0
Richmond,208.0,219.0,422.0,849.0,,45.0
Rindge,893.0,1392.0,2509.0,4794.0,,503.0
Roxbury,63.0,30.0,101.0,194.0,,14.0
Stoddard,226.0,248.0,401.0,875.0,,66.0
Sullivan,136.0,109.0,265.0,510.0,,35.0
Surry,201.0,184.0,237.0,622.0,,39.0
Swanzey,1549.0,1241.0,2206.0,4996.0,,376.0
Troy,466.0,382.0,753.0,1601.0,,119.0
Walpole,761.0,636.0,1489.0,2886.0,,159.0
Westmoreland,299.0,278.0,721.0,1298.0,,70.0
Winchester,1067.0,656.0,1255.0,2978.0,,219.0
