Date,Counterparty,Trader,Deal #,Month,Month2,MW,Price,Days,Curve,P&L,Notes
2001-04-18 00:00:00,EPMI LT ERCOT,DGS,,2002-06-01 00:00:00,,0,71.25,20,30.45,0,
2001-04-24 00:00:00,EPMI LT ERCOT,DGS,,2002-07-01 00:00:00,,0,57.5,22,38.35,0,
2001-04-27 00:00:00,EPMI LT ERCOT,DGS,,2002-08-01 00:00:00,,0,55.5,22,38.35,0,
2001-05-01 00:00:00,EPMI LT ERCOT,DGS,,2002-09-01 00:00:00,,0,62.75,20,27.5,0,
2001-05-01 00:00:00,EPMI LT ERCOT,DGS,,2002-10-01 00:00:00,,0,53.75,23,27.63,0,
2001-10-31 00:00:00,EPMI LT ERCOT,King,,2001-12-01 00:00:00,,50,27.2,20,22.75,-71199.99999999999,
2001-10-31 00:00:00,EPMI LT ERCOT,King,,2001-12-01 00:00:00,,50,26.4,20,22.75,-58399.99999999998,
2001-11-02 00:00:00,EPMI LT ERCOT,King,,2001-12-01 00:00:00,,-50,27.3,20,22.75,72800.00000000001,
2001-11-02 00:00:00,EPMI LT ERCOT,King,,2001-12-01 00:00:00,,-50,24.75,20,22.75,32000,
2001-11-07 00:00:00,EPMI LT ERCOT,King,,2002-01-01 00:00:00,,50,26.05,22,25.32,-12848.000000000007,
2001-11-07 00:00:00,EPMI LT ERCOT,King,,2002-02-01 00:00:00,,50,26.05,20,24.57,-23680.000000000007,
2001-11-07 00:00:00,EPMI LT ERCOT,King,,2001-12-01 00:00:00,,-50,25.15,20,22.75,38399.99999999998,
2001-11-07 00:00:00,EPMI LT ERCOT,King,,2002-01-01 00:00:00,,50,26.7,22,25.32,-24287.99999999998,
2001-11-07 00:00:00,EPMI LT ERCOT,King,,2002-02-01 00:00:00,,50,26.7,20,24.57,-34079.999999999985,
2001-11-12 00:00:00,EPMI ST ERCOT,Paul,,2001-12-01 00:00:00,,50,23.45,20,22.75,-11199.999999999989,
2001-11-13 00:00:00,EPMI ST ERCOT,Paul,,2001-12-01 00:00:00,,-50,23.5,20,22.75,12000,
2001-11-15 00:00:00,EPMI LT ERCOT,King,,2002-01-01 00:00:00,,-50,23.9,22,25.32,-24992.00000000003,
2001-11-15 00:00:00,EPMI LT ERCOT,King,,2002-02-01 00:00:00,,-50,23.9,20,24.57,-10720.000000000027,
2001-11-16 00:00:00,EPMI ST ERCOT,Paul,,2001-12-01 00:00:00,,-50,21,20,22.75,-28000,
2001-11-16 00:00:00,EPMI ST ERCOT,Paul,,2001-12-01 00:00:00,,-50,21,20,22.75,-28000,
2001-11-16 00:00:00,EPMI ST ERCOT,Paul,,2001-12-01 00:00:00,,-50,20.85,20,22.75,-30399.999999999978,
2001-11-20 00:00:00,EPMI ST ERCOT,Paul,,2001-12-01 00:00:00,,50,22.75,20,22.75,0,
2001-11-20 00:00:00,EPMI ST ERCOT,Paul,,2001-12-01 00:00:00,,50,23,20,22.75,-4000,
2001-11-20 00:00:00,EPMI ST ERCOT,Paul,,2001-12-01 00:00:00,,50,23.25,20,22.75,-8000,
2001-11-20 00:00:00,EPMI ST ERCOT,Paul,,2001-12-01 00:00:00,,50,23.5,20,22.75,-12000,
2001-11-27 00:00:00,EPMI LT ERCOT,King,,2001-12-01 00:00:00,,-50,22.45,20,22.75,-4800.000000000011,
2001-11-28 00:00:00,EPMI LT ERCOT,King,,2001-12-01 00:00:00,,-50,22.25,20,22.75,-8000,
