Amount,Ex-date,Record Date,Pay Date,Type,Frequency
0.125,2007-12-12,2007-12-14,2007-12-28,Cash Dividend,quarterly
0.125,2007-09-12,2007-09-14,2007-09-28,Cash Dividend,quarterly
0.125,2007-06-13,2007-06-15,2007-06-29,Cash Dividend,quarterly
0.125,2007-03-14,2007-03-16,2007-03-30,Cash Dividend,quarterly
0.125,2006-12-13,2006-12-15,2006-12-29,Cash Dividend,quarterly
0.125,2006-09-13,2006-09-15,2006-09-29,Cash Dividend,quarterly
0.125,2006-06-13,2006-06-15,2006-06-30,Cash Dividend,quarterly
0.125,2006-03-13,2006-03-15,2006-03-31,Cash Dividend,quarterly
0.125,2005-12-13,2005-12-15,2005-12-30,Cash Dividend,quarterly
0.125,2005-09-13,2005-09-15,2005-09-30,Cash Dividend,quarterly
0.125,2005-06-13,2005-06-15,2005-06-30,Cash Dividend,quarterly
0.125,2005-03-16,2005-03-20,2005-03-31,Cash Dividend,quarterly
