Order of Difficulty (easy to hard),Location,Test / Session,Item No.,Point for CR Item,Item Type,Content Standard/ Subcontent Area,Benchmark,Benchmark Descriptor,DOK
1,431.97,G6 MA S2,32,1 of 2,CR,CS 4/5,4.4b,Draw a graph in quadrant 1 from a given scenario or table.,DOK 2
2,433.59,G6 MA S3,60,1 of 4,CR,CS 1 SA 1,1.1b,"Using physical materials or pictures to demonstrate the meaning and equivalence of fractions, decimals and/or percents (for example, write the fractions, decimal, and percent value for the shaded portion of a partially shaded circle).",DOK 2
3,435.37,G6 MA S1,20,1 of 4,CR,CS 2 SA 2,2.2a,"Solve problems by representing and analyzing patterns using tables, words, concrete objects, or pictures.",DOK 3
4,437.17,G6 MA S3,57,1 of 3,CR,CS 2 SA 2,2.5a,"Solve problems using tables, concrete objects, or pictures involving linear relationships with whole numbers.",DOK 3
5,447.94,G6 MA S1,2,,MC,CS 2,2.3a,"Predict and describe how a change in one quantity results in a change in another quantity in a linear relationship (for example, A creature gains 3 oz. a day, how much will it have gained over 10 days?).",DOK 2
6,449.29,G6 MA S2,40,1 of 4,CR,CS 3,3.4a,"Analyze data and draw conclusions to predict outcomes based on data displays such as line graphs, bar graphs, or frequency tables.",DOK 3
7,467.49,G6 MA S3,50,,MC,CS 6,6.2b,"Use and explain strategies to add/subtract decimals and fractions in problem-solving situations (common fractions with like and unlike denominators, mixed numbers, and decimals to thousandth).",DOK 1
8,474.36,G6 MA S2,35,,MC,CS 6,6.2d,Demonstrate proficiency with the four basic operations using whole numbers.,DOK 1
9,482.02,G6 MA S3,42,,MC,CS 6,6.2d,Demonstrate proficiency with the four basic operations using whole numbers.,DOK 1
10,483.83,G6 MA S2,24,,MC,CS 6 SA 1,6.2b,"Use and explain strategies to add/subtract decimals and fractions in problem-solving situations (common fractions with like and unlike denominators, mixed numbers, and decimals to thousandth).",DOK 2
11,487.45,G6 MA S2,23,1 of 2,CR,CS 3,3.7a,Determine the number of possible outcomes for simple events using a variety of methods such as: organized lists or tree diagrams.,DOK 2
12,488.05,G6 MA S2,31,,MC,CS 6,6.2b,"Use and explain strategies to add/subtract decimals and fractions in problem-solving situations (common fractions with like and unlike denominators, mixed numbers, and decimals to thousandth).",DOK 1
13,488.58,G6 MA S1,20,2 of 4,CR,CS 2 SA 2,2.2a,"Solve problems by representing and analyzing patterns using tables, words, concrete objects, or pictures.",DOK 3
14,490.64,G6 MA S1,7,,MC,CS 6,6.2d,Demonstrate proficiency with the four basic operations using whole numbers.,DOK 1
15,493.58,G6 MA S1,8,1 of 3,CR,CS 1 SA 1,1.1a,"Locate commonly used positive rational numbers including terminating decimals through hundredths, fractions (halves, thirds, fourths, eighths, and tenths), mixed numbers, and percents on a number line.",DOK 2
16,493.66,G6 MA S1,15,,MC,CS 4/5,5.1b,"Estimate and use standard and/or metric units for length, weight and temperature.",DOK 2
17,495.36,G6 MA S1,3,,MC,CS 6,6.2d,Demonstrate proficiency with the four basic operations using whole numbers.,DOK 1
18,500.23,G6 MA S1,5,,MC,CS 2 SA 2,2.1a,"Represent, describe, and analyze geometric and numeric patterns using tables, words, symbols, concrete objects, or pictures.",DOK 2
19,501.48,G6 MA S2,28,,MC,CS 3 SA 1,3.1b,"Read, interpret and draw conclusions from a line graph, bar graph, circle graph and frequency table.",DOK 2
20,508.14,G6 MA S3,57,2 of 3,CR,CS 2 SA 2,2.5a,"Solve problems using tables, concrete objects, or pictures involving linear relationships with whole numbers.",DOK 3
21,508.26,G6 MA S3,41,,MC,CS 2 SA 2,2.1a,"Represent, describe, and analyze geometric and numeric patterns using tables, words, symbols, concrete objects, or pictures.",DOK 2
22,511.23,G6 MA S3,60,2 of 4,CR,CS 1 SA 1,1.1b,"Using physical materials or pictures to demonstrate the meaning and equivalence of fractions, decimals and/or percents (for example, write the fractions, decimal, and percent value for the shaded portion of a partially shaded circle).",DOK 2
23,513.11,G6 MA S2,32,2 of 2,CR,CS 4/5,4.4b,Draw a graph in quadrant 1 from a given scenario or table.,DOK 2
