36837.0,"Johnson, r","Epstein, i",Scatter,
Albany,101.0,200.0,,
Bartlett,654.0,899.0,,
Brookfield,196.0,137.0,,
Center Harbor,389.0,180.0,1.0,
Chatham,67.0,70.0,,
Conway,1437.0,2527.0,,
Eaton,79.0,154.0,,
Effingham,265.0,302.0,,
Freedom,281.0,502.0,,
Hale's Location,22.0,28.0,,
Hart's Location,14.0,12.0,,
Jackson,208.0,331.0,,
Madison,243.0,780.0,,
Meredith,1953.0,832.0,,
Middleton,281.0,204.0,,
Milton,856.0,575.0,,
Moultonborough,1662.0,858.0,,
Ossipee,956.0,694.0,,
Sandwich,391.0,362.0,,
Tamworth,526.0,725.0,,
Tuftonboro,787.0,471.0,,
Wakefield,1174.0,576.0,,
Wolfeboro,2174.0,1115.0,,
