,,,PG&E,SoCal,Total 36906.0,,Total 36905.0,Change,Weekly Report 36902.0,,,,,,,,,,,,,
,California Production,,198300.0,326400.0,524700.0,,524900.0,-200.0,517100.0,,,,,,,,,,,,,
,Topock,,654900.0,545000.0,1199900.0,,1154800.0,45100.0,962200.0,,,,,,,,,,,,,
,Ehrenberg,,,1272400.0,1272400.0,,1273200.0,-800.0,1304300.0,,,,,,,,,,,,,
,Kern/Mojave,,15300.0,484100.0,499400.0,,517500.0,-18100.0,425400.0,,,,,,,,,,,,,
,PG&E-GT Northwest to PG&E,,1820400.0,,,,,,,,,,,,,,,,,,,
,PG&E to SoCal (KRS),,-347900.0,347900.0,,,,,,,,,,,,,,,,,,
,Total PG&E-GT Northwest,,1820400.0,,1820400.0,,1662800.0,157600.0,1706500.0,,,,,,,,,,,,,
,Transwestern **,,278700.0,770900.0,1049600.0,,1051700.0,-2100.0,1055600.0,,,,,,,,,,,,,
,Wild Goose-Net (Inj.)/Withdrawal,,42700.0,,42700.0,,21400.0,21300.0,84400.0,,,,,,,,,,,,,
,Storage-Net (Injection)/Withdrawal,,657000.0,570000.0,1227000.0,,522100.0,704900.0,1892000.0,,,,,,,,,,,,,
