,,,PG&E,SoCal,Total 36936.0,,Total 36935.0,Change,Weekly Report 36930.0,,,,,,,,,,,,,
,California Production,,186100.0,339700.0,525800.0,,529300.0,-3500.0,526000.0,,,,,,,,,,,,,
,Topock,,698700.0,523200.0,1221900.0,,1201700.0,20200.0,1262100.0,,,,,,,,,,,,,
,Ehrenberg,,,1212400.0,1212400.0,,1227900.0,-15500.0,1252300.0,,,,,,,,,,,,,
,Kern/Mojave,,18300.0,560100.0,578400.0,,557900.0,20500.0,550600.0,,,,,,,,,,,,,
,PG&E-GT Northwest to PG&E,,1837700.0,,,,,,,,,,,,,,,,,,,
,PG&E to SoCal (KRS),,-295900.0,295900.0,,,,,,,,,,,,,,,,,,
,Total PG&E-GT Northwest,,1837700.0,,1837700.0,,1853000.0,-15300.0,1842800.0,,,,,,,,,,,,,
,Transwestern **,,293900.0,785300.0,1079200.0,,1083100.0,-3900.0,1073700.0,,,,,,,,,,,,,
,Wild Goose-Net (Inj.)/Withdrawal,,37600.0,,37600.0,,61000.0,-23400.0,26400.0,,,,,,,,,,,,,
,Storage-Net (Injection)/Withdrawal,,238000.0,1465000.0,1703000.0,,1844200.0,-141200.0,1191500.0,,,,,,,,,,,,,
