PORTFOLIO_ID,BOOK_ID,PARENT_PORTFOLIO_ID
NG-X-OPT-WTI-P,NG-X-OPT-WTI-PRC,A_ZIPPER-II-CRD
NG-X-OPT-JV-B,NG-X-OPT-JV-BAS,A_ZIPPER-II-GAS
NG-X-OPT-JV-GD,NG-X-OPT-JV-GDL,A_ZIPPER-II-GAS
NG-X-OPT-JV-PR,NG-X-OPT-JV-PRC,A_ZIPPER-II-GAS
NG-X-OPT-NG-GD,NG-X-OPT-NG-GDL,A_ZIPPER-II-GAS
NG-X-OPT-NG-P,NG-X-OPT-NG-PRC,A_ZIPPER-II-GAS
NG-X-OPT-HO-P,NG-X-OPT-HO-PRC,A_ZIPPER-II-HO
EPMI-NG-X-OP-PW,EPMI-NG-X-OP-PW-PRC,A_ZIPPER-II-PWR
NG-X-OPT-PWR-P,NG-X-OPT-PWR-PRC,A_ZIPPER-II-PWR
NG-X-OPT-HU-P,NG-X-OPT-HU-PRC,A_ZIPPER-II-UNL
NG-PRC-CRUDE-P1,NG-PRICE-CRUDE-PRC,J_ARNOLD-II-CRD
CHASE-X-BAS,CHASE-X-BAS,J_ARNOLD-II-GAS
CHASE-XI-B,CHASE-XI-BAS,J_ARNOLD-II-GAS
CHASE-XI-P,CHASE-XI-PRC,J_ARNOLD-II-GAS
CHASE-X-PRC,CHASE-X-PRC,J_ARNOLD-II-GAS
CITIBANK-1-PR,CITIBANK-1-PRC,J_ARNOLD-II-GAS
FT-US/CAND-ER1,FT-US/CAND-ERMS-BAS,J_ARNOLD-II-GAS
FT-US/CAND-ER4,FT-US/CAND-ERMS-PRC,J_ARNOLD-II-GAS
GAS-APEA PREP3,GAS-APEA PREPAY-PRC,J_ARNOLD-II-GAS
GAS-CHA-MAH-P1,GAS-CHA-MAH-PRC,J_ARNOLD-II-GAS
GAS-CHASE1-PR1,GAS-CHASE1-PRC,J_ARNOLD-II-GAS
GAS-CHASE9A-B,GAS-CHASE9A-BAS,J_ARNOLD-II-GAS
GAS-CHASE9A-P,GAS-CHASE9A-PRC,J_ARNOLD-II-GAS
GAS-CHASE-MAH3,GAS-CHASE-MAHII-PRC,J_ARNOLD-II-GAS
GAS-CHASE-MAH6,GAS-CHASE-MAHIV-PRC,J_ARNOLD-II-GAS
GAS-CHASE-MAH9,GAS-CHASE-MAHV-PRC,J_ARNOLD-II-GAS
GAS-CHAS-MAH4-P,GAS-CHASE-MAHIV-BAS,J_ARNOLD-II-GAS
GAS-CHAS-MAH5-P,GAS-CHASE-MAHV-BAS,J_ARNOLD-II-GAS
NG-LTX-BAS0,NG-LTX-BAS,J_ARNOLD-II-GAS
NG-LTX-GDL0,NG-LTX-GDL,J_ARNOLD-II-GAS
NG-LTX-PRC0,NG-LTX-PRC,J_ARNOLD-II-GAS
NG-MM-PRC,NG-MM-PRC,J_ARNOLD-II-GAS
NG-PRICE-BA1,NG-PRICE-BAS,J_ARNOLD-II-GAS
NG-PRICE-GDL0,NG-PRICE-GDL,J_ARNOLD-II-GAS
NG-PRICE-PRC0,NG-PRICE-PRC,J_ARNOLD-II-GAS
NG-PR-P,NG-PR-CAN-PRC,J_ARNOLD-II-GAS
NG-OPT2-XL-B,NG-OPT2-XL-BAS,L_MAY-II-GAS
NG-OPT-XL-B,NG-OPT-XL-BAS,L_MAY-II-GAS
NG-OPT-XL-PRC0,NG-OPT-XL-PRC,L_MAY-II-GAS
OPT-EXOTIC-PRC,OPTIONS-EXOTIC-PRC,L_MAY-II-GAS
OPTIONS-BASIS1,OPTIONS-BASIS-PRC,L_MAY-II-GAS
OPTIONS-GDOPT1,OPTIONS-GDOPT-GDL,L_MAY-II-GAS
OPTIONS-GDOPT-Y,OPTIONS-GDOPT-GDI,L_MAY-II-GAS
OPTIONS-PRICE1,OPTIONS-PRICE-BAS,L_MAY-II-GAS
OPTIONS-PRICE2,OPTIONS-PRICE-PRC,L_MAY-II-GAS
NG-PR-SPRD-CRD,NG-PR-SPRD-CRD-PRC,M_MAGGI-II-CRD
NG-ERMS-XL-PR1,NG-ERMS-XL-PRC,M_MAGGI-II-GAS
NG-EXOTIC-PRC0,NG-EXOTIC-PRC,M_MAGGI-II-GAS
NG-PR-OPT-PR1,NG-PR-OPT-PRC,M_MAGGI-II-GAS
NG-PR-SPREAD-P,NG-PR-SPREAD-PRC,M_MAGGI-II-GAS
