SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,90750,49770,111250,1510,1370,-0.09269999999999999,36
11-2022,Sales Managers,BD+,102350,57850,124600,290,270,-0.069,6
11-3051,Industrial Production Managers,BD+,85390,53520,101320,340,290,-0.1471,12
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,,,,,,,
11-9021,Construction Managers,AD+,70980,50800,81080,260,290,0.1154,7
13-1022,Wholesale & Retail Buyers,LT OJT,44810,28260,53080,160,150,-0.0625,4
13-1023,Purchasing Agents,LT OJT,52310,37170,59870,630,580,-0.0794,13
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,65230,47200,74240,80,70,-0.125,2
13-1051,Cost Estimators,BD,47890,33230,55210,460,490,0.06520000000000001,13
13-1081,Logisticians,BD+,71860,46720,84440,70,70,,2
13-1111,Management Analysts,BD+,91160,50480,111500,690,690,,12
13-1151,Training & Development Specialists,BD,38340,17800,48600,,,,
13-1161,Market Research Analysts & Marketing Specialists,BD,52090,32740,61770,,,,
13-2011,Accountants & Auditors,BD,59820,37600,70920,1610,1700,0.0559,36
13-2072,Loan Officers,MT OJT,52750,36900,60670,580,550,-0.051699999999999996,6
15-1121,Computer Systems Analysts,BD,78420,46620,94320,,,,
15-1131,Computer Programmers,BD,57200,38790,66410,,,,
15-1132,"Software Developers, Applications",BD,77220,53700,88980,,,,
15-1133,"Software Developers, Systems Software",BD,78500,50140,92680,,,,
15-1142,Network & Computer Systems Administrators,BD,58400,39120,68040,,,,
15-1150,Computer Support Specialists,PS,43550,29100,50780,,,,
17-2051,Civil Engineers,BD,66780,50840,74750,580,600,0.0345,17
17-2112,Industrial Engineers,BD,66980,41610,79660,420,440,0.047599999999999996,12
17-2141,Mechanical Engineers,BD,74510,52210,85650,180,160,-0.11109999999999999,4
17-2151,Mining & Geological Engineers,BD,,,,30,40,0.3333,1
17-3011,Architectural & Civil Drafters,AD,42410,29840,48700,220,190,-0.1364,6
17-3013,Mechanical Drafters,AD,40630,28070,46900,200,170,-0.15,6
17-3023,Electrical & Electronic Engineering Technicians,AD,45240,30710,52500,440,420,-0.0455,9
17-3025,Environmental Engineering Technicians,AD,43550,27850,51400,30,30,,1
17-3026,Industrial Engineering Technicians,AD,44790,33120,50620,350,270,-0.2286,7
19-2042,Geoscientists,BD,70650,49190,81370,40,30,-0.25,1
