IRN,Name,Residence IRN,DOR Name,ADM Total,ADM Public,ADM NonPublic,December Child Count,December Child Count Adjustment,Adjusted December Child Count,Adjustment Year,Poverty Count,Poverty Base Rate,Poverty Amount,ADM Base Rate,ADM Amount,Public ADM Amount,NonPublic ADM Amount,Initial Base Rate,Initial Base Amount,Adjusted Base Rate,Adjusted Base Amount,NP Eligible Count,child count_2011 Child Count,NP Per Pupil Calc,Total NP Proportional Share,Total IDEA Allocation,
000125,Polly Fox Academy,,,282,282,0,0,21,21,2013,77,87.608,6745.816,106.168,29939.376,29939.376,0,522.882,10980.5219,,9367.1299,0,21,2192.96770952381,0,46052.3219,
000130,Phoenix Academy CS,,,1342,1342,0,0,104,104,2013,114,87.608,9987.312,106.168,142477.456,142477.456,0,522.882,54379.728,,46992.13,0,104,1917.8547884615386,0,199456.89800000002,
000131,Glass City Academy,,,386,386,0,0,15,15,2013,0,87.608,0,106.168,40980.848,40980.848,0,522.882,7843.23,,6602.15,0,15,3172.199866666667,0,47582.998,
000138,Pathway School of Discovery,,,1490,1490,0,0,48,48,2013,185,87.608,16207.48,106.168,158190.32,158190.32,0,522.882,25098.3359,,22538.91,0,48,4102.848125,0,196936.71000000002,
000139,Alliance Academy of Cincinnati,,,530,530,0,0,23,23,2013,121,87.608,10600.568,106.168,56269.04,56269.04,0,522.882,12026.2859,,10844.34,0,23,3378.867304347826,0,77713.948,
000162,Newark Digital Academy,,,532,532,0,0,43,43,2013,68,87.608,5957.344,106.168,56481.376,56481.376,0,522.882,22483.926,,19748.34,0,43,1911.326976744186,0,82187.06,
000195,Hope Academy East Campus,,,792,792,0,0,42,42,2013,219,87.608,19186.152,106.168,84085.056,84085.056,0,522.882,21961.0439,,19339.34,0,42,2919.2987619047617,0,122610.548,
000197,Hamilton Alternative Academy,,,172,172,0,0,3,3,2013,0,87.608,0,106.168,18260.896,18260.896,0,522.882,1568.6459,,1493.4,0,3,6584.765333333334,0,19754.296000000002,
000222,Wildwood Environmental Academy,,,588,588,0,0,88,88,2013,101,87.608,8848.408,106.168,62426.784,62426.784,0,522.882,46013.6159,,39292.99,0,91,1215.034967032967,0,110568.182,
000236,Ohio Connections Academy,,,5920,5920,0,0,297,297,2013,692,87.608,60624.736,106.168,628514.56,628514.56,0,522.882,155295.954,,146041.8599,0,301,2774.6882255813957,0,835181.1559000001,
000241,QDA,,,940,940,0,0,47,47,2013,114,87.608,9987.312,106.168,99797.92,99797.92,0,522.882,24575.4539,,23630.2599,0,47,2838.6274872340423,0,133415.4919,
000277,Scholarts Preparatory and Care,,,392,392,0,0,116,116,2013,82,87.608,7183.856,106.168,41617.856,41617.856,0,522.882,60654.3119,,52793.42,0,116,875.8201034482759,0,101595.132,
000282,Greater Ohio Virtual School,,,524,524,0,0,71,71,2013,59,87.608,5168.872,106.168,55632.032,55632.032,0,522.882,37124.6219,,34743.99,0,71,1345.7027323943662,0,95544.894,
000288,Auglaize County Educational,,,176,176,0,0,28,28,2013,12,87.608,1051.296,106.168,18685.568,18685.568,0,522.882,14640.6959,,14205.22,0,28,1212.2172857142857,0,33942.084,
000296,Summit Academy Columbus,,,104,104,0,0,38,38,2013,21,87.608,1839.768,106.168,11041.472,11041.472,0,522.882,19869.516,,17249.54,0,38,792.9152631578949,0,30130.780000000002,
000297,Summit Academy Dayton,,,208,208,0,0,77,77,2013,36,87.608,3153.888,106.168,22082.944,22082.944,0,522.882,40261.914,,35206.42,0,78,774.9134871794872,0,60443.252,
000298,Summit Academy Second Akron,,,118,118,0,0,55,55,2013,19,87.608,1664.552,106.168,12527.824,12527.824,0,522.882,28758.51,,25560.9,0,55,722.7868363636364,0,39753.276000000005,
000300,Summit Academy Second Canton,,,119,119,0,0,49,49,2013,20,87.608,1752.16,106.168,12633.992,12633.992,0,522.882,25621.2179,,24386.46,0,49,791.2777959183674,0,38772.612,
