Coop,LEA,Placements for Students Age 3 - 5 Majority of Services are in Regular Early Childhood Programs TM,UM,Majority of Services are in Other Programs TL,UL,Children not Attending a Regular Early Childhood Program In a SPED Program SP,SS,Not in a SPED Program HO,PL,3-5 Total,,Placements for Students Age 6 - 21 RC,RR,SC,SS,RF,HH,PP,CF,SRS JJA *,6-21 Total
202,202,0.27586206896551724,0.1206896551724138,0.10344827586206896,0.08620689655172414,0.39655172413793105,0,0.017241379310344827,0,1,,0.5694760820045558,0.3120728929384966,0.09567198177676538,0,0,0,0.022779043280182234,0,0,1
229,229,0.54,0.18571428571428572,0.12,0.09142857142857143,0.06285714285714286,0,0,0,1,,0.6548564447159438,0.22296884544899206,0.07025045815516189,0.011606597434331093,0.014660965180207697,0.0030543677458766036,0.022602321319486866,0,0,1
230,230,0.14285714285714285,0.2,0.08571428571428572,0.04285714285714286,0.5285714285714286,0,0,0,1,,0.7741935483870968,0.21370967741935484,0.004032258064516129,0.008064516129032258,0,0,0,0,0,1
231,231,0.5683453237410072,0.08633093525179857,0.02877697841726619,0.1510791366906475,0.16546762589928057,0,0,0,1,,0.7807692307692308,0.19423076923076923,0.01730769230769231,0.007692307692307693,0,0,0,0,0,1
232,232,0.3132530120481928,0.12048192771084337,0.27710843373493976,0.20481927710843373,0.08433734939759036,0,0,0,1,,0.7275064267352185,0.15938303341902313,0.06426735218508997,0,0,0,0.04884318766066838,0,0,1
233,233,0.4830188679245283,0.17547169811320754,0.03773584905660377,0.0509433962264151,0.2490566037735849,0,0,0.0037735849056603774,1,,0.7925731432858214,0.11702925731432859,0.06376594148537135,0.011627906976744186,0,0.003000750187546887,0.010127531882970742,0.0011252813203300824,0.0007501875468867217,1
234,234,0.32142857142857145,0,0.03571428571428571,0.39285714285714285,0.10714285714285714,0,0.14285714285714285,0,1,,0.8571428571428571,0.11038961038961038,0.01948051948051948,0,0,0,0.012987012987012988,0,0,1
244,243,0.06666666666666667,0.13333333333333333,0,0,0.8,0,0,0,1,,0.8461538461538461,0.13186813186813187,0.02197802197802198,0,0,0,0,0,0,1
,244,0.037037037037037035,0.2962962962962963,0.037037037037037035,0.14814814814814814,0.48148148148148145,0,0,0,1,,0.7074829931972789,0.22448979591836735,0.061224489795918366,0.006802721088435374,0,0,0,0,0,1
,245,0,0.16666666666666666,0,0.5,0.3333333333333333,0,0,0,1,,0.8292682926829268,0.14634146341463414,0.024390243902439025,0,0,0,0,0,0,1
244 Total,,0.041666666666666664,0.22916666666666666,0.020833333333333332,0.14583333333333334,0.5625,0,0,0,1,,0.7706093189964157,0.1827956989247312,0.043010752688172046,0.0035842293906810036,0,0,0,0,0,1
253,251,0.6923076923076923,0.23076923076923078,0,0,0.07692307692307693,0,0,0,1,,0.543859649122807,0.45614035087719296,0,0,0,0,0,0,0,1
,252,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.21428571428571427,0,0,0,1,,0.7763157894736842,0.14473684210526316,0.06578947368421052,0,0,0,0.013157894736842105,0,0,1
,253,0.28888888888888886,0.36666666666666664,0.1,0.1111111111111111,0.06666666666666667,0,0.06666666666666667,0,1,,0.5496828752642706,0.33192389006342493,0.11839323467230443,0,0,0,0,0,0,1
,284,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0,0,0,1,,0.7166666666666667,0.2,0.06666666666666667,0,0,0.016666666666666666,0,0,0,1
,386,0.5,0.16666666666666666,0,0,0.3333333333333333,0,0,0,1,,0.8095238095238095,0.19047619047619047,0,0,0,0,0,0,0,1
,390,0,0,0,0,0,0,0,0,0,,0.91,0.04,0.04,0,0,0,0,0,0,1
,417,0.2,0.4,0,0,0.2,0,0.2,0,1,,0.8297872340425532,0.14893617021276595,0.02127659574468085,0,0,0,0,0,0,1
253 Total,,0.3511450381679389,0.3282442748091603,0.07633587786259542,0.08396946564885496,0.10687022900763359,0,0.05343511450381679,0,1,,0.6375757575757576,0.2775757575757576,0.08242424242424243,0,0,0.0012121212121212121,0.0012121212121212121,0,0,1
259,259,0.4993045897079277,0.20305980528511822,0.02920723226703755,0.07093184979137691,0.1905424200278164,0.0027816411682892906,0.004172461752433936,0,1,,0.46304572017875556,0.3258851839119972,0.14850464077002407,0.029047782743210727,0,0.002750085940185631,0.015641113784805774,0.0015469233413544173,0.013578549329666552,1
260,260,0.012422360248447204,0.043478260869565216,0.043478260869565216,0.037267080745341616,0.84472049689441,0,0,0.018633540372670808,1,,0.6420798065296252,0.2478839177750907,0.08585247883917775,0.019347037484885126,0,0,0.0048367593712212815,0,0,1
261,261,0.5869565217391305,0.12318840579710146,0.10869565217391304,0.10869565217391304,0.057971014492753624,0,0,0.014492753623188406,1,,0.6635658914728683,0.2186046511627907,0.06511627906976744,0.034108527131782945,0,0,0.018604651162790697,0,0,1
263,263,0.42028985507246375,0.15942028985507245,0.15942028985507245,0.17391304347826086,0.08695652173913043,0,0,0,1,,0.6820512820512821,0.2564102564102564,0.03076923076923077,0.03076923076923077,0,0,0,0,0,1
273,107,0.2727272727272727,0,0,0,0.45454545454545453,0,0.2727272727272727,0,1,,0.6875,0.25,0.0625,0,0,0,0,0,0,1
,272,0.1875,0,0.25,0.25,0.1875,0,0.125,0,1,,0.7719298245614035,0.10526315789473684,0.10526315789473684,0,0,0,0.017543859649122806,0,0,1
,273,0.46875,0.15625,0,0.0625,0.25,0,0.0625,0,1,,0.41818181818181815,0.4090909090909091,0.07272727272727272,0,0,0,0.1,0,0,1
,298,0.09090909090909091,0.09090909090909091,0,0,0.36363636363636365,0,0.45454545454545453,0,1,,0.7708333333333334,0.14583333333333334,0.08333333333333333,0,0,0,0,0,0,1
,299,0,0,0,0.2,0.4,0,0.4,0,1,,0.918918918918919,0.08108108108108109,0,0,0,0,0,0,0,1
273 Total,,0.29333333333333333,0.08,0.05333333333333334,0.09333333333333334,0.29333333333333333,0,0.18666666666666668,0,1,,0.6443661971830986,0.24295774647887325,0.07042253521126761,0,0,0,0.04225352112676056,0,0,1
282,282,0,0.05555555555555555,0,0.05555555555555555,0.8888888888888888,0,0,0,1,,0.5964912280701754,0.38596491228070173,0.017543859649122806,0,0,0,0,0,0,1
,283,0,0,0,0,1,0,0,0,1,,0.6410256410256411,0.3076923076923077,0.05128205128205128,0,0,0,0,0,0,1
,286,0.2857142857142857,0,0,0,0.7142857142857143,0,0,0,1,,0.7407407407407407,0.2222222222222222,0.037037037037037035,0,0,0,0,0,0,1
282 Total,,0.06060606060606061,0.030303030303030304,0,0.030303030303030304,0.8787878787878788,0,0,0,1,,0.66,0.30666666666666664,0.03333333333333333,0,0,0,0,0,0,1
290,290,0.023255813953488372,0,0.023255813953488372,0.11627906976744186,0.8372093023255814,0,0,0,1,,0.7695035460992907,0.1453900709219858,0.028368794326241134,0.031914893617021274,0,0,0.024822695035460994,0,0,1
305,112,0.09090909090909091,0.45454545454545453,0,0,0.45454545454545453,0,0,0,1,,0.6538461538461539,0.28846153846153844,0.057692307692307696,0,0,0,0,0,0,1
,239,0.1875,0.1875,0.125,0.0625,0.25,0,0.1875,0,1,,0.6542056074766355,0.27102803738317754,0.056074766355140186,0.018691588785046728,0,0,0,0,0,1
,240,0.46153846153846156,0,0,0.15384615384615385,0.38461538461538464,0,0,0,1,,0.6081081081081081,0.3108108108108108,0.08108108108108109,0,0,0,0,0,0,1
,305,0.18023255813953487,0.18023255813953487,0.12209302325581395,0.1511627906976744,0.31976744186046513,0,0.046511627906976744,0,1,,0.5645320197044335,0.24334975369458128,0.10640394088669951,0.014778325123152709,0,0.003940886699507389,0.05517241379310345,0.008866995073891626,0.002955665024630542,1
,306,0,0.2857142857142857,0.2857142857142857,0,0.42857142857142855,0,0,0,1,,0.8311688311688312,0.11688311688311688,0.05194805194805195,0,0,0,0,0,0,1
,307,0,0,0,0.2,0.8,0,0,0,1,,0.8983050847457628,0.1016949152542373,0,0,0,0,0,0,0,1
,327,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.07692307692307693,0,0,0.3076923076923077,0,1,,0.4891304347826087,0.22826086956521738,0.05434782608695652,0,0,0,0,0.10869565217391304,0.11956521739130435,1
,393,0,0,0,0.6666666666666666,0.3333333333333333,0,0,0,1,,0.7441860465116279,0.23255813953488372,0,0.023255813953488372,0,0,0,0,0,1
,435,0.3333333333333333,0.18181818181818182,0.12121212121212122,0.06060606060606061,0.24242424242424243,0,0,0.06060606060606061,1,,0.5612648221343873,0.383399209486166,0.015810276679841896,0,0,0.003952569169960474,0.03557312252964427,0,0,1
,473,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.42105263157894735,0,0.21052631578947367,0,1,,0.7808219178082192,0.18493150684931506,0.02054794520547945,0,0,0.0136986301369863,0,0,0,1
,481,0.125,0.25,0,0,0.25,0,0.375,0,1,,0.75,0.21666666666666667,0.03333333333333333,0,0,0,0,0,0,1
,487,0.06666666666666667,0.5333333333333333,0,0,0.06666666666666667,0,0.3333333333333333,0,1,,0.6486486486486487,0.25675675675675674,0.08108108108108109,0,0,0.013513513513513514,0,0,0,1
305 Total,,0.1918238993710692,0.18867924528301888,0.10062893081761007,0.12264150943396226,0.3050314465408805,0,0.08490566037735849,0.006289308176100629,1,,0.6164717348927875,0.25146198830409355,0.07163742690058479,0.008771929824561403,0,0.003898635477582846,0.03167641325536062,0.01608187134502924,0,1
308,308,0.5297619047619048,0.13690476190476192,0.047619047619047616,0.24404761904761904,0.041666666666666664,0,0,0,1,,0.5042613636363636,0.35795454545454547,0.09375,0.011363636363636364,0,0.002840909090909091,0.028409090909090908,0,0.0014204545454545455,1
320,320,0.7872340425531915,0.0425531914893617,0.02127659574468085,0.0851063829787234,0.06382978723404255,0,0,0,1,,0.7616279069767442,0.18023255813953487,0.05232558139534884,0,0,0.005813953488372093,0,0,0,1
,323,0.7272727272727273,0.045454545454545456,0,0.09090909090909091,0.13636363636363635,0,0,0,1,,0.8297872340425532,0.10638297872340426,0.06382978723404255,0,0,0,0,0,0,1
,329,0.782608695652174,0.043478260869565216,0,0.08695652173913043,0.08695652173913043,0,0,0,1,,0.7205882352941176,0.20588235294117646,0.029411764705882353,0,0,0,0.04411764705882353,0,0,1
320 Total,,0.7717391304347826,0.043478260869565216,0.010869565217391304,0.08695652173913043,0.08695652173913043,0,0,0,1,,0.7724550898203593,0.16467065868263472,0.05089820359281437,0,0,0.0029940119760479044,0.008982035928143712,0,0,1
321,321,0.2857142857142857,0.5510204081632653,0,0.061224489795918366,0.061224489795918366,0,0,0.04081632653061224,1,,0.6684210526315789,0.19473684210526315,0.07894736842105263,0.005263157894736842,0,0.005263157894736842,0.04736842105263158,0,0,1
330,330,0.05555555555555555,0,0,0.05555555555555555,0.8888888888888888,0,0,0,1,,0.6790123456790124,0.2839506172839506,0.037037037037037035,0,0,0,0,0,0,1
333,108,0.75,0,0,0.0625,0.1875,0,0,0,1,,0.7213114754098361,0.18032786885245902,0.08196721311475409,0.01639344262295082,0,0,0,0,0,1
,109,0.6666666666666666,0,0,0.3333333333333333,0,0,0,0,1,,0.7741935483870968,0.1827956989247312,0.043010752688172046,0,0,0,0,0,0,1
,224,0.38461538461538464,0,0,0.6153846153846154,0,0,0,0,1,,0.875,0.10416666666666667,0.020833333333333332,0,0,0,0,0,0,1
,333,0.4074074074074074,0,0,0.5925925925925926,0,0,0,0,1,,0.7839506172839507,0.15432098765432098,0.05555555555555555,0,0,0.006172839506172839,0,0,0,1
,426,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,1,,0.9622641509433962,0.03773584905660377,0,0,0,0,0,0,0,1
333 Total,,0.5280898876404494,0,0,0.4044943820224719,0.06741573033707865,0,0,0,1,,0.8057553956834532,0.14388489208633093,0.045563549160671464,0.002398081534772182,0,0.002398081534772182,0,0,0,1
336,113,0.058823529411764705,0.4117647058823529,0,0.058823529411764705,0.47058823529411764,0,0,0,1,,0.6818181818181818,0.3,0.00909090909090909,0,0.00909090909090909,0,0,0,0,1
,322,0.1,0.3,0,0,0.6,0,0,0,1,,0.7758620689655172,0.1896551724137931,0.034482758620689655,0,0,0,0,0,0,1
,335,0.05263157894736842,0,0.05263157894736842,0,0.8947368421052632,0,0,0,1,,0.6964285714285714,0.30357142857142855,0,0,0,0,0,0,0,1
,336,0,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.6666666666666666,0,0,0,1,,0.7549019607843137,0.23529411764705882,0.00980392156862745,0,0,0,0,0,0,1
,337,0,1,0,0,0,0,0,0,1,,0.6875,0.2767857142857143,0.026785714285714284,0.008928571428571428,0,0,0,0,0,1
336 Total,,0.04285714285714286,0.2714285714285714,0.04285714285714286,0.02857142857142857,0.6142857142857143,0,0,0,1,,0.7146118721461188,0.2648401826484018,0.01598173515981735,0.00228310502283105,0.00228310502283105,0,0,0,0,1
337,337,0.1875,0.125,0.0625,0,0.625,0,0,0,1,,0,0,0,0,0,0,0,0,0,0
345,345,0.14545454545454545,0.24545454545454545,0.03636363636363636,0.06363636363636363,0.44545454545454544,0,0.06363636363636363,0,1,,0.6186046511627907,0.3,0.07441860465116279,0,0,0.002325581395348837,0.004651162790697674,0,0,1
353,353,0.2962962962962963,0.3148148148148148,0.12962962962962962,0.16666666666666666,0.05555555555555555,0,0.037037037037037035,0,1,,0.6337209302325582,0.29069767441860467,0.06686046511627906,0.005813953488372093,0,0.0029069767441860465,0,0,0,1
364,364,0.47058823529411764,0,0,0.23529411764705882,0.29411764705882354,0,0,0,1,,0.6636363636363637,0.15454545454545454,0.045454545454545456,0,0,0,0.13636363636363635,0,0,1
,498,0,0,0.16666666666666666,0.6666666666666666,0.08333333333333333,0,0.08333333333333333,0,1,,0.6363636363636364,0.34545454545454546,0,0,0,0,0.01818181818181818,0,0,1
364 Total,,0.27586206896551724,0,0.06896551724137931,0.41379310344827586,0.20689655172413793,0,0.034482758620689655,0,1,,0.6545454545454545,0.21818181818181817,0.030303030303030304,0,0,0,0.09696969696969697,0,0,1
368,288,0,0.14285714285714285,0,0,0.5714285714285714,0,0.2857142857142857,0,1,,0.5932203389830508,0.3220338983050847,0,0.06779661016949153,0,0,0,0,0.01694915254237288,1
,344,0,0.2857142857142857,0.07142857142857142,0,0.6428571428571429,0,0,0,1,,0.9491525423728814,0,0.01694915254237288,0.03389830508474576,0,0,0,0,0,1
