Date,Insider Percent Owned,Insider Shares Bought,Insider Shares Sold
2014-03-31,0.08,,
2014-02-28,0.08,,
2014-01-31,0.08,,
2013-11-30,0.08,42568.0,
2013-10-31,0.08,,
2013-09-30,0.08,,
2013-08-31,0.08,,
2013-07-31,0.08,16000.0,
2013-06-30,0.08,,
2013-05-31,0.08,,
2013-04-30,0.08,,
2013-03-31,0.08,,
2013-01-31,0.08,40000.0,40000.0
2012-11-30,0.08,,
2012-10-31,0.08,,
2012-09-30,0.08,10000.0,
2012-08-31,0.08,,
2012-07-31,0.08,60000.0,
2012-06-30,0.07,,
2012-05-31,0.07,,
2012-04-30,0.07,,
2012-03-31,0.07,,
2012-02-29,0.07,200000.0,
2012-01-31,0.07,,
2011-12-31,0.07,,100000.0
2011-11-30,0.07,,
2011-10-31,0.07,,10000.0
2011-09-30,0.07,,
2011-08-31,0.07,,10000.0
2011-07-31,0.07,,
2011-06-30,0.07,170000.0,78259.0
2011-05-31,0.07,20000.0,
2011-04-30,0.07,,
2011-03-31,0.07,,
2011-02-28,0.08,,
2011-01-31,0.08,,
2010-12-31,0.08,,48144.0
2010-11-30,0.08,100000.0,36857.0
2010-10-31,0.08,,
2010-09-30,0.08,,2200.0
2010-08-31,0.08,,
2010-07-31,0.08,,
2010-06-30,0.08,,
2010-05-31,0.08,,
2010-04-30,0.08,,
2010-03-31,0.08,,
2010-02-28,0.11,,
2010-01-31,0.11,125000.0,30812.0
2009-12-31,0.11,,
2009-11-30,0.11,,
2009-10-31,0.11,25000.0,11856.0
2009-09-30,0.11,,
2009-08-31,0.11,,
2009-07-31,0.11,,
2009-06-30,0.11,15000.0,
2009-05-31,0.11,,
2009-04-30,0.11,475000.0,366865.0
2009-03-31,0.11,,
2009-02-28,0.11,,
2009-01-31,0.11,,
2008-12-31,0.11,,
2008-11-30,0.11,,
2008-10-31,0.11,,
2008-09-30,0.11,10000.0,
2008-08-31,0.11,100000.0,89372.0
2008-07-31,0.12,,
2008-06-30,0.12,,
2008-05-31,0.12,,
2008-04-30,0.05,0.0,0.0
2008-03-31,0.05,0.0,0.0
2008-02-29,0.05,500000.0,0.0
2008-01-31,0.05,0.0,0.0
2007-12-31,0.03,0.0,0.0
2007-11-30,0.03,0.0,0.0
2007-10-31,0.03,0.0,0.0
2007-09-30,0.03,0.0,0.0
2007-08-31,0.03,0.0,0.0
2007-07-31,0.03,0.0,0.0
2007-06-30,0.03,0.0,0.0
2007-05-31,0.03,0.0,0.0
2007-04-30,0.03,120000.0,0.0
2007-03-31,0.03,0.0,0.0
2007-02-28,0.04,0.0,0.0
2007-01-31,0.04,0.0,0.0
2006-12-31,0.04,0.0,0.0
2006-11-30,0.04,0.0,0.0
2006-10-31,0.04,0.0,0.0
2006-09-30,0.04,0.0,0.0
2006-06-30,0.04,0.0,0.0
2006-05-31,0.04,25000.0,25300.0
2006-04-30,0.04,60000.0,56700.0
2006-03-31,0.04,50000.0,20000.0
2006-02-28,0.05,0.0,39600.0
2006-01-31,0.05,100000.0,48400.0
2005-12-31,0.05,0.0,100000.0
2005-11-30,0.05,100000.0,43000.0
2005-10-31,0.05,75000.0,112820.0
2005-09-30,0.06,0.0,0.0
2005-08-31,0.06,0.0,0.0
2005-07-31,0.06,0.0,0.0
2005-06-30,0.06,10000.0,10000.0
2005-05-31,0.06,50000.0,35979.0
2005-04-30,0.06,0.0,10500.0
2005-03-31,0.17,0.0,0.0
2005-02-28,0.17,0.0,17000.0
2005-01-31,0.17,0.0,0.0
2004-12-31,0.17,0.0,2500.0
2004-11-30,0.17,0.0,56700.0
2004-10-31,0.17,0.0,5000.0
2004-09-30,0.18,0.0,8000.0
2004-08-31,0.18,0.0,27044.0
2004-07-31,0.18,0.0,18000.0
2004-06-30,0.19,0.0,5000.0
2004-05-31,0.19,0.0,17000.0
2004-04-30,0.19,50000.0,84677.0
2004-03-31,0.2,0.0,10000.0
2004-02-29,0.2,0.0,0.0
