,Local Education Agencies,SUPPORT LEA Administrators  CACTUS Database,Classified Personnel Report,LEA Administrative Support Staff  Classified Personnel Report,School Administrators  CACTUS Database,School Administrative Support Staff  Classified Personnel Report,Student Support Services Staff Student Support Services CACTUS Database,Student Transportation Supervisors Classified Personnel Report,School Food Services Supervisors Classified Personnel Report,School Nurses Classified Personnel Report,Other Support Staff  Classified Personnel Report,TOTAL FTEs,
1.0,Alpine,22,1,101.12,107,214.45999999999998,75.15,4,5,0,835.81,4738.55,
2.0,Beaver,2.75,0,2.4299999999999997,2.78,5.89,0.75,0,0,0.2,27.78,163.64999999999998,
3.0,Box Elder,4.5,5,7,26.3,46,20.73,1,1,3,249,1084.6599999999999,
4.0,Cache,3.33,1,18.79,27.27,36.24,33.92,3.66,23,2.5,256.37,1375.5500000000002,
5.0,Carbon,6,3,16.919999999999998,11,15.52,4.5,1,0.5,0,66.95,399.65999999999997,
6.0,Daggett,0.88,0.85,1,0.76,1.5,0,0,0,0,8.7,34.800000000000004,
7.0,Davis,26,13,131.20999999999998,174.52,259.27,98.69,2,6.45,0,1057.92,6043.510000000001,
8.0,Duchesne,3,1,10.5,12.65,19.73,2,1,1,1,93.69,469.83000000000004,
9.0,Emery,4,1,3,9.49,11.88,2,1,1,0,56.95,257.7,
10.0,Garfield,2.47,2,2,5.44,7,1,1,1,0.5,20.57,144.60999999999999,
11.0,Grand,1,1,4,6,9,2,1,1,0,39.5,201.34,
12.0,Granite,37.71,1,102.6,136.23,306.25,146.08,2,34.56,20.83,1115.52,5789.719999999999,
13.0,Iron,3,1,14.2,18,34.2,8.85,1,1,2.8,153.39999999999998,910.3199999999999,
14.0,Jordan,19.86,1,44.36,163.58,384.01,168.3,5,1,11.5,1185.84,6552.26,
15.0,Juab,1,1,2.1399999999999997,6,7.33,1.22,0.25,5,0.48,37.31,210.83000000000004,
16.0,Kane,1,2,2.75,3.6,7.9,1,0.75,0.25,0,29.32,159.22,
39.0,Logan,5,1,10,9.9,19,11.7,0,1,1,91,611.47,
17.0,Millard,2,1,3.75,6.44,10,4,1,1,0,70.53,316.86,
18.0,Morgan,1,1,4.25,5.86,7,1,0.7,0.75,0,33.330000000000005,202.59999999999997,
40.0,Murray,3.5,1,13.75,14,22,12.3,0.4,3,2.35,100.9,588.1100000000001,
19.0,Nebo,13,1,24.2,54,110.11000000000001,61.88,2,1.6,0,482.28000000000003,2422.13,
20.0,North Sanpete,3,1,2,7,7.71,1,0,1,0,47.29,255.23999999999998,
21.0,North Summit,1,1,1,3.33,4.33,0,0.5,0.5,0.5,33.75,123.75,
37.0,Ogden,8,2,13.25,27,63.61,15.16,0,0,1.49,163.48000000000002,1108.4300000000003,
22.0,Park City,2,5,10,12.15,14,6,1,2,2,77.16,479.41,
23.0,Piute,1,1,1,1.32,0,0,0,1,0,11,55.75000000000001,
38.0,Provo,6,4,20.9,26,52.879999999999995,28.9,0,1,0.87,166.36,1177.23,
24.0,Rich,0.8,0.95,0.8,1.97,2.2,1,0.5,0.5,0,10.3,62.010000000000005,
36.0,Salt Lake,16.66,3,77.48,58.5,125.06,41.5,2,4,5.6,396.24,2485.7799999999997,
25.0,San Juan,4,1,7.63,14.97,18.26,5,1,0,2,96.53,398.36,
26.0,Sevier,2,0.1,11.150000000000002,10.68,11.86,2.27,1,1,1,92.86999999999999,443.19,
27.0,South Sanpete,4,3,2.25,11.62,24.5,2.35,0.5,0.75,1.25,66.25,406.91999999999996,
28.0,South Summit,1,1,2.5,4,5.5,1.6,0.5,1,1,32.29,158.20000000000002,
29.0,Tintic,1,0.88,0.88,1.31,2.1100000000000003,0,0.12,0.94,0,4.64,43.650000000000006,
30.0,Tooele,4,1,7.5,30.17,50.19,15.33,1,1,4.45,183.22000000000003,1157.1100000000001,
31.0,Uintah,3,2,9.280000000000001,14.86,22.73,1.81,1,1,4.37,140.21,580.8399999999999,
32.0,Wasatch,2,1.5,13,11,18.06,6.49,1,1,0.75,81.23,476.66999999999996,
33.0,Washington,12,2,24.759999999999998,55,126,20.04,2,1,11.5,358.84999999999997,2177.7099999999996,
34.0,Wayne,0.75,2,1.34,2.75,3.5,0,0.33,0.33,0,10.430000000000001,71.06,
35.0,Weber,21,1,47.7,61,93.78999999999999,45.02,2,3,14.33,450.40999999999997,2479.51,
