SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,100570,53420,124150,1750,1620,-0.07429999999999999,42
11-2022,Sales Managers,BD+,101960,56100,124900,480,470,-0.0208,11
11-3051,Industrial Production Managers,BD+,82550,57000,95320,330,310,-0.06060000000000001,11
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,,,,,,,
13-1022,Wholesale & Retail Buyers,LT OJT,56250,36330,66210,300,280,-0.0667,7
13-1023,Purchasing Agents,LT OJT,52300,36390,60250,490,470,-0.0408,10
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,49260,27870,59960,280,290,0.0357,8
13-1051,Cost Estimators,BD,57250,38360,66690,750,820,0.0933,22
13-1081,Logisticians,BD+,63490,47420,71530,90,100,0.11109999999999999,2
13-1111,Management Analysts,BD+,92800,60850,108770,460,430,-0.06520000000000001,8
13-1151,Training & Development Specialists,BD,49440,32350,57980,,,,
13-1161,Market Research Analysts & Marketing Specialists,BD,54890,32060,66300,,,,
13-2011,Accountants & Auditors,BD,61700,38950,73070,1780,1830,0.0281,36
13-2072,Loan Officers,MT OJT,59490,32200,73140,670,610,-0.08960000000000001,7
15-1061,Database Administrators,BD,,,,80,80,,2
15-1121,Computer Systems Analysts,BD,70210,47010,81800,,,,
15-1131,Computer Programmers,BD,63330,44560,72710,,,,
15-1132,"Software Developers, Applications",BD,72640,53520,82210,,,,
15-1133,"Software Developers, Systems Software",BD,81460,59070,92660,,,,
15-1142,Network & Computer Systems Administrators,BD,65920,43290,77230,,,,
15-1150,Computer Support Specialists,PS,45640,30480,53220,,,,
17-2051,Civil Engineers,BD,72100,52210,82050,460,430,-0.06520000000000001,12
17-2071,Electrical Engineers,BD,76210,48050,90290,60,50,-0.16670000000000001,1
17-2112,Industrial Engineers,BD,74110,53640,84350,380,420,0.10529999999999999,13
17-2141,Mechanical Engineers,BD,67900,51260,76220,230,220,-0.043500000000000004,5
17-3011,Architectural & Civil Drafters,AD,45240,33530,51090,300,240,-0.2,9
17-3013,Mechanical Drafters,AD,46740,32340,53930,200,180,-0.1,6
17-3024,Electro-Mechanical Technicians,AD,,,,10,10,,0
17-3026,Industrial Engineering Technicians,AD,46550,35950,51850,70,70,,1
19-1012,Food Scientists & Technologists,BD,54720,33670,65240,40,40,,1
19-4021,Biological Technicians,BD,37480,27620,42420,,,,
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,36420,28900,40190,150,200,0.3333,8
21-1014,Mental Health Counselors,MD,42160,29950,48270,330,370,0.12120000000000002,11
21-1015,Rehabilitation Counselors,MD,48310,27410,58760,140,150,0.0714,4
21-1021,"Child, Family & School Social Workers",BD,36250,25520,41610,420,460,0.09519999999999999,13
21-1022,Healthcare Social Workers,MD,44530,36990,48300,440,510,0.1591,16
21-1023,Mental Health & Substance Abuse Social Workers,BD,,,,120,140,0.16670000000000001,5
23-2011,Paralegals & Legal Assistants,AD,41480,26850,48800,240,250,0.0417,4
25-1011,"Business Teachers, Postsecondary",PhD,79490,45850,96300,80,90,0.125,2
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,77030,47210,91950,70,80,0.1429,2
25-1081,"Education Teachers, Postsecondary",PhD,61000,42700,70150,90,110,0.22219999999999998,4
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,56200,30930,68840,170,180,0.0588,4
25-2011,Preschool Teachers,AD,27120,18740,31310,510,550,0.0784,12
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,58950,45980,65440,,,,
25-2053,"Special Education Teachers, Middle School",BD,62550,44410,71630,,,,
25-2054,"Special Education Teachers, Secondary School",BD,57540,42790,64920,,,,
27-1024,Graphic Designers,BD,35820,25600,40920,490,470,-0.0408,13
27-2012,Producers & Directors,BD+,46210,23040,57800,120,130,0.0833,5
27-2022,Coaches & Scouts,LT OJT,32440,16660,40320,290,300,0.0345,9
27-4021,Photographers,LT OJT,35130,21160,42120,280,270,-0.0357,6
27-4031,"Camera Operators: TV, Video & Motion Picture",BD,,,,,,,
27-4032,Film & Video Editors,BD+,,,,10,10,,0
29-1031,Dietitians & Nutritionists,BD,48970,32250,57330,120,120,,3
29-1051,Pharmacists,PROF,112140,97060,119680,310,360,0.1613,11
29-1111,Registered Nurses,AD,63840,49240,71150,4050,4760,0.1753,138
29-1122,Occupational Therapists,MD,69170,48550,79490,170,200,0.17650000000000002,6
29-1126,Respiratory Therapists,AD,54650,43540,60210,150,180,0.2,4
29-1127,Speech-Language Pathologists,MD,72520,52870,82340,160,180,0.125,4
