[To view course data click on Subject Name below] Subject,AY07-08 SU07,FA07,SP08,AY08-09 SU08,FA08,SP09,AY09-10 SU09,FA09,SP10,AY10-11 SU10,FA10,SP11,AY11-12 SU11,FA11,SP12,AY12-13 SU12,FA12,SP13
Academic Year,AY07-08,,,AY08-09,,,AY09-10,,,AY10-11,,,AY11-12,,,AY12-13,,
Credit,5142.488,,,5662.409800000001,,,5792.778499999991,,,5117.701799999984,,,4754.177299999985,,,4430.632099999992,,
Non Credit,10.389800000000003,,,13.348800000000004,,,12.248700000000008,,,12.436800000000009,,,13.53570000000001,,,12.554300000000005,,
% Chg. vs. Yr. Ago,,,,,0.10147354940185083,,,0.022775563428647283,,,-0.11625933466771832,,,-0.07064635641617956,,,-0.0680675619526584,
Terms,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
Credit,398.9150999999995,2397.339500000003,2346.2333999999973,424.8656999999988,2634.2171000000026,2603.3269999999998,238.2962999999994,2847.040399999996,2707.441799999995,127.10820000000002,2488.0958999999934,2502.497699999991,11.229199999999995,2316.7275999999915,2426.220499999993,93.79390000000006,2165.8920999999946,2170.946099999997
Non Credit,1.5419999999999983,3.4933000000000014,5.354500000000003,1.4921,5.518400000000004,6.338300000000001,0,5.547200000000005,6.701500000000004,0,6.568200000000005,5.868600000000003,0,6.7893000000000026,6.746400000000007,0,6.029300000000002,6.525000000000002
% Chg. vs. Yr. Ago,,,,0.06467783939902527,0.09950826229964815,0.10974601459720157,-0.4410884473088095,0.08063387411352152,0.040035019050142395,-0.4665959983432376,-0.12547327205657177,-0.07581655692240163,-0.9116563683538906,-0.06860530842609336,-0.03005916639846329,7.352678730452757,-0.06524398423785827,-0.10501408794340639
Accounting,0,16.699999999999967,14.899999999999963,0,19.489700000000006,18.39999999999999,0,17.899999999999984,21.500000000000036,0,21.16,23.666100000000068,0,22.60000000000005,21.90000000000004,0,24.154400000000074,33.28700000000021
Alcohol/Drug Studies,0,0.244,0.9149999999999994,0,0.8747999999999997,2.6273999999999997,0,0.9149999999999994,3.492,2.6929000000000007,1.6250000000000007,9.599999999999982,0,8.699999999999985,5.399999999999997,0,3.2000000000000015,10.899999999999977
Allied Health,13.955200000000012,69.33750000000003,80.00199999999994,13.815900000000008,71.55560000000008,70.06790000000007,6.993000000000003,71.24370000000016,66.15250000000024,16.869900000000012,62.41670000000015,64.23040000000019,0,49.450900000000125,48.061100000000074,7.503400000000004,33.63599999999998,26.59159999999996
Administration of Justice,3.4986,14.407599999999972,18.104499999999984,0,17.17459999999999,18.838,3.5646000000000018,20.10130000000002,16.497999999999998,0,18.499999999999993,16.699999999999967,0,11.199999999999976,16.200299999999963,0,19.500000000000007,20.40000000000002
Anatomy & Physiology,22.968000000000004,69.20089999999973,71.8021999999996,20.128100000000014,71.90189999999957,74.07239999999959,17.38940000000001,71.40369999999959,70.78169999999972,18.9917,64.14509999999976,61.00809999999984,0,61.268499999999804,64.5048999999998,10.188800000000011,58.4999999999998,55.835299999999826
Anthropology,3.709399999999999,30.55840000000017,37.43200000000024,4.204400000000002,47.78930000000041,55.68480000000047,3.4732000000000016,61.82610000000054,57.61020000000054,0,51.100000000000456,50.80000000000045,0,45.70340000000038,48.80000000000042,0,44.50000000000036,46.2259000000004
Art,10.5884,99.60350000000045,101.18920000000024,22.1433,106.10510000000025,108.68060000000057,0,122.16280000000108,121.69650000000037,3.0514000000000006,125.41850000000105,126.94780000000071,0,121.29900000000056,122.99160000000077,0,125.23680000000051,116.83279999999998
American Sign Language,9.871200000000012,32.72589999999984,33.08829999999991,9.630100000000006,49.12169999999968,49.34079999999973,2.6818,48.68849999999966,50.9553999999997,0,42.32339999999975,45.35629999999972,0,42.690099999999774,44.78979999999976,0,43.68979999999974,37.991599999999806
Astronomy,0,11.199999999999992,13.199999999999983,0,12.399999999999988,15.499999999999979,0,12.399999999999988,14.999999999999973,0,13.999999999999982,16.499999999999975,0,16.599999999999973,17.99999999999998,0,12.599999999999987,11.299999999999994
Audio Technology,0.2058,0,1.2,0.4116,0,0.7999999999999999,0,1.2,0.7,0,3.0000000000000013,2.800000000000001,0,2.700000000000001,2.9000000000000012,0,2.600000000000001,2.1000000000000005
Automotive/Transportation,0,0,0,0,0,0,0,0,0,0,0.8603,1.0968,0,2.6049000000000007,0,0,0,0
Business Administration,0,13.967699999999967,19.271600000000003,0,17.40129999999998,15.706499999999982,0,14.699999999999964,24.40220000000009,0,15.510199999999971,18.799999999999997,0,20.900000000000027,19.60000000000001,0,19.500000000000007,22.800000000000054
Biology,18.730900000000002,93.2543000000001,95.83730000000001,17.191100000000006,110.32040000000012,97.96980000000012,14.173100000000007,103.98859999999976,100.99940000000048,0,94.00120000000017,89.33700000000012,0,85.80120000000011,85.33419999999987,7.5735,85.10049999999995,76.50280000000004
Computer Applications,3.5671999999999997,12.28449999999998,10.936199999999983,0.41159999999999997,14.998099999999969,17.434400000000018,0.34299999999999997,14.715199999999967,19.77280000000002,0,17.367200000000018,16.043499999999963,0,19.899999999999995,22.29660000000006,0,16.499999999999964,14.07249999999997
Childhood Development & Education,7.4088,48.40830000000037,43.38920000000024,5.941000000000005,58.89050000000045,47.370700000000205,4.0131000000000006,60.255100000000496,49.560300000000375,0,39.635600000000196,43.501300000000306,0,43.433500000000336,38.10240000000022,2.6506000000000003,44.17360000000014,44.978600000000235
Chemistry,19.553599999999992,66.801,65.3999999999998,12.023600000000007,64.89999999999998,68.79999999999986,19.202800000000007,71.09999999999995,73.89999999999998,14.024999999999995,68.3000000000001,70.66559999999994,0,71.09899999999989,71.4655999999999,12.96020000000001,68.56559999999996,67.63249999999995
Communication,14.406,81.12460000000009,79.79289999999982,14.167000000000018,88.4071999999992,91.07079999999927,2.6506000000000003,98.54649999999914,99.63189999999855,0,95.19999999999887,92.29999999999903,0,90.19139999999915,95.49999999999885,2.7597,82.79999999999957,84.97499999999955
Corrections,0,2.600000000000001,2.0000000000000004,0,2.400000000000001,3.700000000000002,0,3.800000000000002,4.000000000000002,0,0,3.600000000000002,0,3.700000000000002,0,0,3.900000000000002,3.4000000000000017
Computer Science/Informations Systems,7.6203,33.89350000000007,36.16180000000007,7.315800000000007,47.770900000000104,39.20130000000017,0,41.99660000000025,45.42550000000025,2.6054999999999993,34.43430000000019,38.473900000000164,0,34.110100000000216,32.7283000000002,0,37.69970000000022,32.6061000000002
Dance,4.105999999999999,22.32210000000005,21.740199999999994,4.9356000000000035,32.83490000000016,32.95700000000011,0,32.26740000000016,32.412500000000165,0,32.597200000000015,24.26080000000003,0,20.76610000000003,23.43540000000005,0,26.456400000000063,23.907100000000074
Diagnostic Medical Sonography,1.4628,3.1342,3.3009,5.746,14.917900000000003,4.807599999999999,5.144000000000001,16.834900000000008,14.869000000000021,5.135300000000001,16.41820000000001,14.652200000000008,4.629600000000001,9.772700000000002,9.143000000000002,0,3.9669000000000016,3.9641000000000006
Economics,7.3059,29.50000000000015,31.70000000000018,7.037800000000007,32.30000000000019,33.182000000000194,0,34.50000000000022,32.000000000000185,4.5276000000000005,23.800000000000068,18.499999999999993,0,22.700000000000053,25.30000000000009,0,28.10000000000013,25.900000000000098
Education/Teacher Preparation,0,1.7000000000000004,2.800000000000001,0,1.0999999999999999,3.6700000000000013,0,0,1.2700999999999998,0,0,0.6,0,0,0,0,0,0.4
