"Workplace Learning Achievements by Narrow Age Band, Gender, Learners with Learning Difficulties and/ or Disabilities and Ethnicity (2006/07 to 2011/12 – full year estimates)",,,,,,,,,,,,,,
Dimension,,Category,2006/07,,2007/08,,2008/09,,2009/10,,2010/11,,2011/12,
,,,Full Year,,Full Year,,Full Year,,Full Year,,Full Year,,"Full Year
(provisional)",
,,,,% of Total,,% of Total,,% of Total,,% of Total,,% of Total,,% of Total
Age Band,,Under 16,10,*,-,-,10,*,10,*,10,*,-,-
,,16,140,*,10,*,950,*,110,*,100,*,40,*
,,17,160,*,50,*,"1,670",*,150,*,100,*,60,*
,,18,310,*,110,*,"1,000",*,"3,610",0.5%,"7,360",1.3%,70,*
,,19-24,"8,510",9.3%,"21,990",11.7%,"82,980",14.2%,"107,250",15.9%,"105,710",18.1%,"38,650",14.8%
,,25-34,"18,520",20.3%,"47,200",25.2%,"151,710",26.0%,"173,220",25.6%,"149,180",25.5%,"72,200",27.6%
,,35-44,"22,910",25.1%,"58,640",31.3%,"171,960",29.5%,"188,280",27.9%,"154,110",26.3%,"70,230",26.8%
,,45-59,"20,440",22.4%,"53,520",28.5%,"156,760",26.9%,"185,380",27.4%,"153,950",26.3%,"71,840",27.5%
,,60+,"2,130",2.3%,"5,970",3.2%,"16,680",2.9%,"17,970",2.7%,"14,390",2.5%,"8,620",3.3%
,,Not Known,"18,000",19.8%,-,-,-,-,-,-,-,-,-,-
,,Grand Total,"91,100",100.0%,"187,500",100.0%,"583,700",100.0%,"676,000",100.0%,"584,900",100.0%,"261,700",100.0%
Gender,,Female,"31,930",35.0%,"85,670",45.7%,"261,420",44.8%,"305,020",45.1%,"248,000",42.4%,"99,990",38.2%
,,Male,"41,200",45.2%,"101,830",54.3%,"322,300",55.2%,"370,970",54.9%,"336,910",57.6%,"161,710",61.8%
,,Not Known,"18,000",19.8%,-,-,-,-,-,-,-,-,-,-
,,Grand Total,"91,100",100.0%,"187,500",100.0%,"583,700",100.0%,"676,000",100.0%,"584,900",100.0%,"261,700",100.0%
Learners with Learning Difficulties,,Learning Difficulty/Disability,"4,360",4.8%,"11,820",6.3%,"31,730",5.4%,"43,960",6.5%,"38,700",6.6%,"12,450",4.8%
and/ or Disabilities,,No Learning Difficulty/Disability,"64,500",70.8%,"167,360",89.3%,"530,260",90.8%,"616,710",91.2%,"534,260",91.3%,"244,760",93.5%
,,Not Known,"22,270",24.4%,"8,320",4.4%,"21,720",3.7%,"15,310",2.3%,"11,940",2.0%,"4,490",1.7%
,,Grand Total,"91,100",100.0%,"187,500",100.0%,"583,700",100.0%,"676,000",100.0%,"584,900",100.0%,"261,700",100.0%
Ethnicity,Asian / Asian British,,,,,,,,,,,,,
,,Bangladeshi,480,0.5%,"1,230",0.7%,"7,730",1.3%,"7,530",1.1%,"7,880",1.3%,"3,980",1.5%
,,Chinese,60,*,250,*,"1,220",*,"1,690",*,"1,330",*,330,*
,,Indian,"1,830",2.0%,"4,310",2.3%,"14,910",2.6%,"15,190",2.2%,"13,480",2.3%,"6,780",2.6%
,,Pakistani,670,0.7%,"2,780",1.5%,"19,080",3.3%,"17,460",2.6%,"18,430",3.2%,"9,440",3.6%
,,Any other Asian background,720,0.8%,"2,030",1.1%,"8,180",1.4%,"9,080",1.3%,"9,910",1.7%,"5,040",1.9%
,,Total Asian / Asian British,"3,750",4.1%,"10,610",5.7%,"51,120",8.8%,"50,940",7.5%,"51,030",8.7%,"25,560",9.8%
,Black / African / Caribbean / Black British,,,,,,,,,,,,,
,,African,"2,060",2.3%,"5,520",2.9%,"21,220",3.6%,"21,870",3.2%,"21,520",3.7%,"9,290",3.6%
,,Caribbean,910,1.0%,"2,490",1.3%,"8,850",1.5%,"11,030",1.6%,"9,000",1.5%,"3,460",1.3%
,,Any other Black / African / Caribbean background,400,*,"1,130",0.6%,"3,900",0.7%,"4,060",0.6%,"3,590",0.6%,"1,970",0.8%
,,Total Black / African / Caribbean / Black British,"3,370",3.7%,"9,140",4.9%,"33,970",5.8%,"36,960",5.5%,"34,100",5.8%,"14,730",5.6%
,Mixed / Multiple Ethnic Group,,,,,,,,,,,,,
,,White and Asian,100,*,300,*,"1,160",*,"1,430",*,"1,370",*,630,*
,,White and Black African,130,*,450,*,"1,800",*,"2,050",*,"1,790",*,960,*
,,White and Black Caribbean,180,*,590,*,"2,210",*,"2,960",*,"3,070",0.5%,"1,230",0.5%
,,Any Other Mixed / Multiple Ethnic background,210,*,650,*,"1,980",*,"2,390",*,"2,200",*,970,*
,,Total Mixed / Multiple Ethnic Group,610,0.7%,"1,980",1.1%,"7,150",1.2%,"8,830",1.3%,"8,430",1.4%,"3,790",1.4%
,White,,,,,,,,,,,,,
,,English / Welsh / Scottish / Northern Irish / British,"58,360",64.0%,"145,230",77.5%,"426,340",73.0%,"511,720",75.7%,"427,570",73.1%,"183,250",70.0%
,,Gypsy or Irish Traveller,-,-,-,-,-,-,-,-,-,-,40,*
,,Irish,770,0.8%,"1,560",0.8%,"4,220",0.7%,"4,220",0.6%,"3,750",0.6%,"1,780",0.7%
,,Any other White background,"3,700",4.1%,"11,820",6.3%,"39,360",6.7%,"40,860",6.0%,"41,650",7.1%,"25,930",9.9%
,,Total White,"62,830",68.9%,"158,600",84.6%,"469,920",80.5%,"556,810",82.4%,"472,970",80.9%,"211,000",80.6%
,Other Ethnic Group,,,,,,,,,,,,,
,,Arab,-,-,-,-,-,-,-,-,-,-,270,*
,,Any other ethnic group,"1,020",1.1%,"2,490",1.3%,"9,290",1.6%,"11,760",1.7%,"9,900",1.7%,"3,540",1.4%
,,Total Other Ethnic Group,"1,020",1.1%,"2,490",1.3%,"9,290",1.6%,"11,760",1.7%,"9,900",1.7%,"3,810",1.5%
,Not Known/ Not Provided,,,,,,,,,,,,,
,,Not Known/ Not Provided,"19,550",21.4%,"4,680",2.5%,"12,280",2.1%,"10,700",1.6%,"8,480",1.4%,"2,820",1.1%
,,Grand Total,"91,100",100.0%,"187,500",100.0%,"583,700",100.0%,"676,000",100.0%,"584,900",100.0%,"261,700",100.0%
Notes,,,,,,,,,,,,,,
"1) The following data sources have been used; Work based learning (WBL) – 2007/08 and earlier years (W13 final), 2008/09 (E13 final), 2009/10 (E13 final), 2010/11 (ER13 final), 2011/12 (R14).",,,,,,,,,,,,,,
2) Figures for 2008/09 onwards are not comparable with earlier years as from 2008/09 onwards NVQs delivered in the workplace changed from being funded by FE to be funded by Train to Gain.,,,,,,,,,,,,,,
3) This table shows full year estimates for 2011/12.  It is not possible to directly compare provisional 2011/12 estimates with figures for previous years.,,,,,,,,,,,,,,
4) Workplace Learning includes Train to Gain and other Employer Responsive provision (except Apprenticeships).,,,,,,,,,,,,,,
5) Volumes are rounded to the nearest ten except for dimension Grand Totals which are rounded to the nearest hundred.,,,,,,,,,,,,,,
6) '-' indicates a base value of less than five. '*' indicates a percentage of less than 0.5%.,,,,,,,,,,,,,,
7) Percentages are based on unrounded figures.,,,,,,,,,,,,,,
8) The full-year numbers are a count of the number of starts at any point during the year.  Learners starting more than one course will appear more than once.,,,,,,,,,,,,,,
9) Age is calculated based on age at start of the programme rather than based on 31 August.,,,,,,,,,,,,,,
