DAT,5-Feb-13,,,,,,,,,,
JH,Employer Perspectives 2012,,,,,,,,,,
TI,,,,,,,,,,,
TID,Table 78/ 1,,,,,,,,,,
TI,,,,,,,,,,,
VT,D17_3 - Features of vocational qualifications: Cover all skills needed by the company,,,,,,,,,,
BT,,,,,,,,,,,
BT,Base: All who have arranged training for vocational qualifications,,,,,,,,,,
COL1,,,Region (ONS),,,,,,,,
COL,,Total,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
UNR,Unweighted bases:,4061,397,503,456,199,507,719,500,375,405
PTR,Weighted bases:,399228,39587,47851,42460,22220,46830,72596,51338,37406,38941
PRC,Agree Strongly (5.00),139094,13909,16981,14342,*9289,15799,26220,16889,11620,14045
RTV,,35%,35%,35%,34%,42%,34%,36%,33%,31%,36%
PRC,Agree slightly (4.00),142278,15824,16502,13940,8034,*19582,23768,19013,12952,12663
RTV,,36%,40%,34%,33%,36%,42%,33%,37%,35%,33%
PRC,Neither agree nor disagree (3.00),34103,2903,3829,4633,1703,3187,6318,3603,4002,3924
RTV,,9%,7%,8%,11%,8%,7%,9%,7%,11%,10%
PRC,Disagree slightly (2.00),56146,4299,5585,6302,2374,6457,11523,8360,5717,5528
RTV,,14%,11%,12%,15%,11%,14%,16%,16%,15%,14%
PRC,Disagree Strongly (1.00),21375,2358,*3781,2672,795,*1449,3525,2629,2062,2105
RTV,,5%,6%,8%,6%,4%,3%,5%,5%,6%,5%
PRC,Don't know,6232,293,1173,571,25,356,1242,844,*1053,676
RTV,,2%,1%,2%,1%,*%,1%,2%,2%,3%,2%
PRC,AGREE,281373,*29732,33483,28282,*17323,*35382,49989,35902,*24572,26708
RTV,,70%,75%,70%,67%,78%,76%,69%,70%,66%,69%
PRC,DISAGREE,77521,6658,9366,8974,3169,7905,15048,10989,7779,7633
RTV,,19%,17%,20%,21%,14%,17%,21%,21%,21%,20%
AVG,Mean Score,3.8,3.9,3.8,3.7,4,3.9,3.8,3.8,3.7,3.8
