Table 1.2 Bolton Reported Road Casualty Data 1989-2009 (detailed),,,,,,,,,,,,,,,,,,,,,,
,,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0
All Casualties,,,,,,,,,,,,,,,,,,,,,,
Bolton Casualties,,1661.0,1712.0,1587.0,1632.0,1544.0,1640.0,1613.0,1667.0,1738.0,1708.0,1735.0,1882.0,1713.0,1558.0,1578.0,1440.0,1471.0,1306.0,1194.0,1045.0,997.0
Bolton KSI Casualties,,253.0,245.0,214.0,217.0,179.0,170.0,166.0,116.0,120.0,110.0,116.0,118.0,113.0,97.0,119.0,113.0,125.0,101.0,86.0,82.0,77.0
Greater Manchester Casualties,,16424.0,17173.0,16096.0,16505.0,16196.0,16900.0,16189.0,16476.0,16948.0,17025.0,16489.0,16990.0,15896.0,14832.0,14146.0,13543.0,12805.0,11795.0,10702.0,9881.0,9303.0
Casualty Type,,,,,,,,,,,,,,,,,,,,,,
TWPV Rider,,143.0,143.0,111.0,76.0,56.0,71.0,52.0,40.0,63.0,51.0,64.0,100.0,102.0,70.0,80.0,67.0,96.0,81.0,74.0,69.0,51.0
TWPV Pillion,,11.0,13.0,19.0,8.0,2.0,8.0,9.0,5.0,6.0,5.0,4.0,5.0,12.0,6.0,8.0,5.0,8.0,5.0,2.0,4.0,1.0
Car Driver,,458.0,505.0,500.0,549.0,562.0,586.0,612.0,696.0,714.0,713.0,696.0,778.0,662.0,632.0,622.0,578.0,577.0,535.0,462.0,380.0,390.0
Car Passenger,,341.0,373.0,361.0,357.0,387.0,394.0,421.0,371.0,450.0,425.0,409.0,492.0,390.0,403.0,370.0,389.0,365.0,289.0,313.0,238.0,294.0
Pedestrian,,468.0,436.0,402.0,413.0,347.0,377.0,310.0,288.0,315.0,319.0,303.0,282.0,324.0,295.0,284.0,255.0,266.0,235.0,204.0,205.0,150.0
Cyclist (Rider Only),,139.0,118.0,100.0,107.0,103.0,93.0,113.0,114.0,99.0,107.0,113.0,120.0,94.0,77.0,97.0,81.0,65.0,57.0,65.0,73.0,47.0
PCV Passenger,,41.0,40.0,29.0,42.0,38.0,47.0,28.0,81.0,42.0,26.0,64.0,35.0,67.0,25.0,57.0,25.0,46.0,42.0,34.0,46.0,25.0
Total Other Driver,,41.0,63.0,48.0,52.0,38.0,52.0,49.0,55.0,35.0,42.0,59.0,49.0,45.0,32.0,41.0,24.0,36.0,47.0,29.0,20.0,29.0
Total Other Passenger,,19.0,21.0,17.0,28.0,11.0,13.0,19.0,18.0,14.0,20.0,23.0,21.0,17.0,18.0,19.0,16.0,12.0,15.0,11.0,10.0,10.0
Child Casualties by Type,,,,,,,,,,,,,,,,,,,,,,
Driver/Rider,,72.0,46.0,57.0,50.0,53.0,50.0,53.0,62.0,49.0,38.0,49.0,57.0,47.0,33.0,48.0,38.0,29.0,15.0,23.0,19.0,14.0
Passenger,,84.0,72.0,84.0,85.0,81.0,132.0,109.0,117.0,115.0,83.0,118.0,114.0,99.0,73.0,82.0,71.0,77.0,68.0,63.0,45.0,51.0
Pedestrian,,229.0,203.0,183.0,209.0,174.0,194.0,154.0,137.0,172.0,165.0,150.0,144.0,171.0,143.0,135.0,130.0,134.0,109.0,75.0,77.0,68.0
All Classes,,385.0,321.0,324.0,344.0,308.0,376.0,316.0,316.0,336.0,286.0,317.0,315.0,317.0,249.0,265.0,239.0,240.0,192.0,161.0,141.0,133.0
Child Casualties by Age,,,,,,,,,,,,,,,,,,,,,,
  0 – 4,,66.0,61.0,49.0,66.0,39.0,63.0,53.0,40.0,46.0,38.0,41.0,36.0,29.0,26.0,37.0,23.0,23.0,33.0,24.0,26.0,14.0
  5 – 9 - pupil to/from school,,25.0,15.0,15.0,12.0,14.0,23.0,11.0,14.0,14.0,10.0,18.0,16.0,12.0,10.0,10.0,14.0,8.0,7.0,2.0,2.0,1.0
 5 - 9 pupil not to/from school,,125.0,108.0,104.0,113.0,99.0,120.0,85.0,95.0,112.0,86.0,86.0,77.0,88.0,69.0,77.0,52.0,61.0,45.0,33.0,36.0,44.0
10 – 15 - pupil to/from school,,47.0,32.0,41.0,37.0,39.0,51.0,38.0,53.0,38.0,37.0,38.0,40.0,43.0,32.0,39.0,32.0,41.0,18.0,12.0,3.0,4.0
10-15 - pupil not to/from school,,122.0,105.0,115.0,116.0,117.0,119.0,129.0,114.0,126.0,115.0,134.0,146.0,145.0,112.0,102.0,118.0,106.0,89.0,90.0,74.0,70.0
Drink Drive Casualties by Severity,,,,,,,,,,,,,,,,,,,,,,
Fatal,,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serious,,6.0,9.0,6.0,8.0,7.0,8.0,7.0,6.0,4.0,2.0,1.0,5.0,8.0,8.0,4.0,8.0,8.0,6.0,3.0,4.0,2.0
Slight,,57.0,70.0,42.0,22.0,39.0,22.0,38.0,48.0,25.0,40.0,53.0,52.0,49.0,36.0,43.0,46.0,42.0,44.0,36.0,31.0,67.0
Total ,,63.0,82.0,49.0,32.0,46.0,30.0,45.0,54.0,31.0,42.0,54.0,59.0,59.0,44.0,47.0,54.0,50.0,50.0,39.0,35.0,69.0
