"Annex N - Table 1B: Apprenticeship Starts by Age, Ethnicity and Region (2008/09 to 2012/13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Funded Learners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008/09,,,,,,,2009/10,,,,,,,2010/11,,,,,,,2011/12,,,,,,,2012/13,,,,,,
,,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All
Region,Ethnicity,Number,% of Ethnicity,Number,% of Ethnicity,Number,% of Ethnicity ,Number,Number,% of Ethnicity,Number,% of Ethnicity,Number,% of Ethnicity ,Number,Number,% of Ethnicity,Number,% of Ethnicity,Number,% of Ethnicity ,Number,Number,% of Ethnicity,Number,% of Ethnicity,Number,% of Ethnicity ,Number,Number,% of Ethnicity,Number,% of Ethnicity,Number,% of Ethnicity ,Number
North East,Asian/ Asian British,130,48.4%,60,22.9%,70,28.7%,260,90,43.7%,70,37.1%,40,19.3%,200,100,33.1%,70,22.7%,130,44.1%,300,70,18.8%,80,23.8%,200,57.4%,350,80,21.3%,80,21.9%,210,56.8%,370
,Black/ African/ Caribbean/ Black British,10,32.1%,10,25.0%,10,42.9%,30,20,38.3%,20,28.3%,20,33.3%,60,20,14.8%,20,15.6%,90,69.7%,120,20,9.7%,20,12.1%,130,78.2%,170,10,5.6%,20,12.1%,100,82.3%,120
,Mixed/ Multiple Ethnic Group,40,51.3%,20,28.9%,20,19.7%,80,40,44.2%,30,39.5%,10,16.3%,90,50,34.0%,40,26.1%,60,39.9%,150,40,20.9%,60,32.4%,90,46.7%,180,40,20.1%,50,28.7%,90,51.1%,170
,Other Ethnic Group,10,31.3%,10,18.8%,20,50.0%,30,10,28.0%,10,28.0%,10,44.0%,30,-,-,20,19.8%,60,77.8%,80,10,8.6%,10,17.3%,60,74.1%,80,10,13.3%,10,17.8%,30,68.9%,50
,Total BAME,180,46.4%,90,23.9%,120,29.7%,390,150,41.8%,130,35.6%,80,22.6%,370,170,26.1%,140,21.8%,340,52.1%,660,130,16.3%,180,22.6%,470,61.1%,770,130,17.8%,150,21.6%,430,60.6%,710
,White,"7,810",46.6%,"4,630",27.6%,"4,310",25.8%,"16,750","8,860",49.4%,"5,760",32.1%,"3,310",18.5%,"17,940","10,860",32.3%,"8,370",24.9%,"14,400",42.8%,"33,630","9,060",24.2%,"10,090",27.0%,"18,270",48.8%,"37,420","7,510",21.4%,"10,270",29.3%,"17,220",49.2%,"35,000"
,Not Known/Not Provided,40,42.7%,20,28.0%,20,29.3%,80,20,11.7%,40,17.5%,150,70.9%,210,40,14.7%,60,20.7%,170,64.7%,270,50,31.3%,40,26.0%,60,42.7%,150,30,16.6%,50,31.9%,80,51.5%,160
North East Total,,"8,030",46.6%,"4,750",27.6%,"4,460",25.9%,"17,230","9,040",48.8%,"5,930",32.0%,"3,540",19.1%,"18,510","11,070",32.0%,"8,570",24.8%,"14,910",43.2%,"34,550","9,230",24.1%,"10,310",26.9%,"18,800",49.0%,"38,340","7,660",21.4%,"10,480",29.2%,"17,740",49.4%,"35,870"
North West,Asian/ Asian British,470,40.0%,420,36.4%,270,23.6%,"1,160",370,31.1%,490,41.3%,320,27.6%,"1,180",500,24.1%,640,30.9%,940,45.0%,"2,080",400,17.2%,760,32.2%,"1,190",50.6%,"2,350",380,16.6%,750,32.6%,"1,170",50.8%,"2,310"
,Black/ African/ Caribbean/ Black British,70,30.3%,70,31.6%,90,38.1%,230,150,38.1%,140,36.3%,100,25.6%,390,270,26.0%,240,22.9%,530,51.1%,"1,030",180,16.8%,180,16.7%,700,66.4%,"1,050",90,8.7%,210,19.7%,750,71.6%,"1,050"
,Mixed/ Multiple Ethnic Group,170,45.0%,150,39.7%,60,15.3%,380,250,47.2%,210,39.2%,70,13.6%,530,410,40.5%,340,33.4%,260,26.0%,"1,010",410,33.8%,380,31.9%,410,34.4%,"1,210",280,24.5%,380,33.7%,470,41.8%,"1,130"
,Other Ethnic Group,30,28.7%,30,26.7%,50,44.6%,100,50,33.1%,40,29.5%,50,37.4%,140,90,23.2%,80,20.8%,210,56.1%,380,40,12.3%,80,24.1%,210,63.6%,330,40,11.2%,80,26.9%,190,61.9%,310
,Total BAME,730,39.2%,670,36.0%,470,24.8%,"1,870",810,36.2%,870,39.2%,550,24.5%,"2,230","1,270",28.1%,"1,300",28.8%,"1,940",43.1%,"4,500","1,030",20.9%,"1,400",28.3%,"2,510",50.8%,"4,930",790,16.4%,"1,420",29.6%,"2,590",54.0%,"4,800"
,White,"15,530",45.2%,"11,900",34.6%,"6,920",20.2%,"34,350","19,940",44.7%,"17,140",38.5%,"7,490",16.8%,"44,570","22,320",30.4%,"22,460",30.6%,"28,600",39.0%,"73,380","20,420",24.4%,"25,130",30.0%,"38,210",45.6%,"83,750","17,120",21.9%,"24,350",31.1%,"36,850",47.0%,"78,320"
,Not Known/Not Provided,100,31.8%,90,30.1%,120,38.1%,300,90,19.0%,130,26.9%,260,54.0%,480,210,27.4%,210,26.4%,360,46.2%,780,110,17.7%,170,26.4%,350,55.9%,630,140,13.2%,320,29.7%,600,57.0%,"1,060"
North West Total,,"16,360",44.8%,"12,670",34.7%,"7,500",20.5%,"36,530","20,840",44.1%,"18,150",38.4%,"8,290",17.5%,"47,280","23,800",30.3%,"23,960",30.5%,"30,890",39.3%,"78,660","21,560",24.1%,"26,690",29.9%,"41,070",46.0%,"89,310","18,040",21.4%,"26,090",31.0%,"40,040",47.6%,"84,180"
Yorkshire and the Humber,Asian/ Asian British,590,41.3%,450,31.5%,390,27.2%,"1,430",580,42.5%,540,39.5%,240,18.0%,"1,360",650,30.6%,630,29.9%,840,39.5%,"2,110",760,30.1%,790,31.0%,990,39.0%,"2,540",400,19.1%,780,36.9%,930,44.0%,"2,110"
,Black/ African/ Caribbean/ Black British,70,15.9%,120,29.2%,230,54.8%,410,100,20.8%,140,30.0%,240,49.2%,480,130,14.8%,180,20.7%,540,64.5%,840,160,12.8%,210,17.0%,860,70.2%,"1,220",80,7.5%,220,20.3%,790,72.2%,"1,090"
,Mixed/ Multiple Ethnic Group,220,50.6%,150,34.6%,60,14.8%,430,260,52.0%,190,36.4%,60,11.6%,510,250,37.6%,230,34.7%,190,27.7%,670,290,34.2%,280,33.1%,280,32.7%,860,240,29.8%,260,32.0%,310,38.3%,810
,Other Ethnic Group,30,26.5%,40,29.9%,50,43.6%,120,20,19.5%,50,42.5%,40,38.1%,110,20,8.5%,70,26.0%,170,65.5%,260,30,12.4%,50,20.6%,150,67.0%,220,20,11.7%,40,17.5%,150,70.9%,210
,Total BAME,900,37.8%,750,31.6%,730,30.6%,"2,380",960,39.2%,910,37.2%,580,23.7%,"2,460","1,050",26.9%,"1,110",28.5%,"1,730",44.6%,"3,890","1,240",25.6%,"1,320",27.4%,"2,270",47.0%,"4,840",750,17.8%,"1,300",30.7%,"2,170",51.5%,"4,220"
,White,"13,810",47.0%,"9,420",32.0%,"6,170",21.0%,"29,400","14,920",44.2%,"13,040",38.6%,"5,820",17.2%,"33,780","15,630",30.4%,"15,660",30.4%,"20,160",39.2%,"51,450","16,680",28.3%,"18,200",30.9%,"24,100",40.9%,"58,990","14,190",25.7%,"17,860",32.3%,"23,250",42.0%,"55,310"
,Not Known/Not Provided,140,35.9%,100,26.3%,150,37.8%,380,50,18.0%,120,41.4%,120,40.7%,300,80,17.6%,110,24.0%,270,58.5%,470,70,17.9%,110,28.3%,200,53.9%,380,40,10.2%,120,32.7%,210,57.1%,370
Yorkshire and the Humber Total,,"14,850",46.2%,"10,270",31.9%,"7,040",21.9%,"32,170","15,930",43.6%,"14,080",38.5%,"6,520",17.8%,"36,530","16,760",30.0%,"16,880",30.2%,"22,170",39.7%,"55,800","17,990",28.0%,"19,630",30.6%,"26,580",41.4%,"64,200","14,980",25.0%,"19,280",32.2%,"25,640",42.8%,"59,900"
East Midlands,Asian/ Asian British,280,37.4%,230,30.3%,250,32.3%,760,250,35.3%,280,39.9%,180,24.9%,710,330,20.6%,330,20.5%,950,58.9%,"1,620",280,18.5%,400,26.0%,850,55.5%,"1,540",240,14.9%,430,27.1%,910,58.0%,"1,570"
