Table 1A: FE and Skills Participation by Age and Ethnicity (2008/09 to 2013/14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Funded Learners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Population
(ages 19-64)",
,2008/09,,,,,,,,,,2009/10,,,,,,,,,,2010/11,,,,,,,,,,2011/12,,,,,,,,,,2012/13,,,,,,,,,,,,,,2013/14,,,,,,2012,2013
,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,,
Ethnicity,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number ,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,,
Asian/ Asian British,"73,630",6.9%,"56,270",7.4%,"243,990",8.1%,"300,260",8.0%,"373,890",7.7%,"74,770",6.8%,"53,480",6.9%,"231,040",8.3%,"284,520",8.0%,"359,290",7.8%,"77,820",7.1%,"52,010",7.0%,"220,150",9.1%,"272,160",8.6%,"349,980",8.2%,"78,950",7.4%,"53,230",7.1%,"214,680",9.0%,"267,920",8.5%,"346,860",8.2%,"76,850",7.4%,"52,500",6.5%,"210,850",8.5%,"263,350",8.0%,"340,210",7.9%,"73,170",7.4%,"47,740",6.4%,"185,990",8.5%,"233,730",8.0%,"306,900",7.8%,7.8%,8.0%
Black/ African/ Caribbean/ Black British,"50,580",4.7%,"41,300",5.4%,"182,490",6.1%,"223,790",5.9%,"274,370",5.7%,"50,560",4.6%,"41,050",5.3%,"174,720",6.3%,"215,770",6.1%,"266,330",5.7%,"52,270",4.7%,"39,900",5.4%,"165,930",6.9%,"205,830",6.5%,"258,100",6.1%,"52,740",4.9%,"41,930",5.6%,"173,130",7.2%,"215,060",6.8%,"267,800",6.4%,"51,010",4.9%,"42,460",5.3%,"179,400",7.2%,"221,860",6.8%,"272,870",6.3%,"47,560",4.8%,"37,730",5.0%,"157,000",7.2%,"194,730",6.6%,"242,300",6.2%,3.3%,3.2%
Mixed/ Multiple Ethnic Group,"31,600",3.0%,"18,720",2.5%,"43,310",1.4%,"62,030",1.6%,"93,630",1.9%,"33,460",3.1%,"20,210",2.6%,"42,310",1.5%,"62,520",1.8%,"95,980",2.1%,"34,600",3.1%,"20,460",2.7%,"40,370",1.7%,"60,830",1.9%,"95,430",2.2%,"35,430",3.3%,"22,190",2.9%,"46,220",1.9%,"68,410",2.2%,"103,840",2.5%,"35,740",3.4%,"24,750",3.1%,"51,220",2.1%,"75,970",2.3%,"111,700",2.6%,"35,410",3.6%,"23,090",3.1%,"48,170",2.2%,"71,250",2.4%,"106,660",2.7%,1.0%,1.2%
Other Ethnic Group,"11,570",1.1%,"13,360",1.7%,"64,710",2.2%,"78,070",2.1%,"89,640",1.9%,"12,800",1.2%,"13,160",1.7%,"64,060",2.3%,"77,210",2.2%,"90,010",1.9%,"12,120",1.1%,"11,350",1.5%,"57,810",2.4%,"69,170",2.2%,"81,280",1.9%,"12,180",1.1%,"11,320",1.5%,"54,730",2.3%,"66,040",2.1%,"78,230",1.9%,"12,550",1.2%,"11,830",1.5%,"55,750",2.3%,"67,580",2.1%,"80,140",1.9%,"12,370",1.3%,"10,330",1.4%,"51,880",2.4%,"62,210",2.1%,"74,580",1.9%,2.0%,2.0%
Total BAME,"167,390",15.7%,"129,650",17.0%,"534,490",17.8%,"664,140",17.6%,"831,530",17.2%,"171,580",15.7%,"127,900",16.6%,"512,120",18.5%,"640,020",18.1%,"811,600",17.5%,"176,800",16.0%,"123,720",16.6%,"484,260",20.0%,"607,980",19.2%,"784,780",18.4%,"179,300",16.8%,"128,670",17.1%,"488,750",20.4%,"617,420",19.6%,"796,730",18.9%,"176,150",16.9%,"131,540",16.4%,"497,220",20.1%,"628,760",19.2%,"804,910",18.6%,"168,520",17.1%,"118,890",15.9%,"443,040",20.3%,"561,930",19.2%,"730,440",18.7%,14.2%,14.5%
White,"882,170",82.8%,"617,980",80.9%,"2,373,770",78.9%,"2,991,750",79.3%,"3,873,920",80.1%,"909,720",83.1%,"627,810",81.5%,"2,179,240",78.7%,"2,807,040",79.3%,"3,716,760",80.2%,"911,560",82.7%,"608,680",81.8%,"1,872,760",77.4%,"2,481,450",78.4%,"3,393,000",79.6%,"876,090",82.1%,"614,720",81.5%,"1,851,240",77.3%,"2,465,960",78.3%,"3,342,040",79.3%,"852,040",82.0%,"658,690",81.9%,"1,909,700",77.1%,"2,568,390",78.3%,"3,420,430",79.2%,"801,080",81.4%,"615,930",82.3%,"1,678,980",77.0%,"2,294,910",78.3%,"3,095,990",79.1%,85.7%,85.4%
Not Known/Not Provided,"16,300",1.5%,"16,520",2.2%,"98,830",3.3%,"115,350",3.1%,"131,650",2.7%,"13,710",1.3%,"14,910",1.9%,"78,520",2.8%,"93,430",2.6%,"107,140",2.3%,"13,300",1.2%,"11,820",1.6%,"61,950",2.6%,"73,770",2.3%,"87,070",2.0%,"11,520",1.1%,"11,230",1.5%,"55,090",2.3%,"66,320",2.1%,"77,840",1.8%,"11,450",1.1%,"13,670",1.7%,"69,810",2.8%,"83,470",2.5%,"94,920",2.2%,"14,290",1.5%,"13,610",1.8%,"59,190",2.7%,"72,800",2.5%,"87,090",2.2%,0.1%,0.1%
Grand Total,"1,065,900",100.0%,"764,200",100.0%,"3,007,100",100.0%,"3,771,200",100.0%,"4,837,100",100.0%,"1,095,000",100.0%,"770,600",100.0%,"2,769,900",100.0%,"3,540,500",100.0%,"4,635,500",100.0%,"1,101,700",100.0%,"744,200",100.0%,"2,419,000",100.0%,"3,163,200",100.0%,"4,264,900",100.0%,"1,066,900",100.0%,"754,600",100.0%,"2,395,100",100.0%,"3,149,700",100.0%,"4,216,600",100.0%,"1,039,600",100.0%,"803,900",100.0%,"2,476,700",100.0%,"3,280,600",100.0%,"4,320,300",100.0%,"983,900",100.0%,"748,400",100.0%,"2,181,200",100.0%,"2,929,600",100.0%,"3,913,500",100.0%,100.0%,100.0%
Table 1B: Apprenticeship Participation by Age and Ethnicity (2008/09 to 2013/14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Funded Learners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Population
(ages 16-64)",
,2008/09,,,,,,,,,,2009/10,,,,,,,,,,2010/11,,,,,,,,,,2011/12,,,,,,,,,,2012/13,,,,,,,,,,2013/14,,,,,,,,,,2012,2013
,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,,
Ethnicity,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number ,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,,
Asian/ Asian British,"4,340",2.5%,"5,460",2.8%,"3,920",5.0%,"9,380",3.5%,"13,720",3.1%,"4,480",2.4%,"5,800",2.7%,"4,160",4.4%,"9,960",3.3%,"14,440",2.9%,"6,240",3.1%,"7,780",3.1%,"10,510",5.0%,"18,300",4.0%,"24,540",3.7%,"6,300",3.3%,"9,010",3.3%,"16,340",4.7%,"25,340",4.1%,"31,640",3.9%,"5,200",2.9%,"9,810",3.3%,"17,770",4.5%,"27,580",4.0%,"32,780",3.8%,"5,750",3.1%,"11,420",3.7%,"16,860",4.7%,"28,270",4.2%,"34,020",4.0%,7.9%,8.0%
Black/ African/ Caribbean/ Black British,"1,790",1.0%,"2,840",1.5%,"3,210",4.1%,"6,050",2.2%,"7,840",1.8%,"2,550",1.4%,"3,510",1.7%,"3,950",4.2%,"7,460",2.4%,"10,010",2.0%,"3,830",1.9%,"4,980",2.0%,"9,140",4.3%,"14,120",3.1%,"17,950",2.7%,"3,850",2.0%,"5,520",2.0%,"16,090",4.7%,"21,610",3.5%,"25,450",3.2%,"3,310",1.8%,"6,030",2.0%,"19,210",4.9%,"25,240",3.7%,"28,540",3.3%,"3,090",1.7%,"6,340",2.1%,"17,970",5.0%,"24,310",3.7%,"27,400",3.2%,3.4%,3.3%
Mixed/ Multiple Ethnic Group,"2,640",1.5%,"2,800",1.5%,990,1.3%,"3,790",1.4%,"6,430",1.4%,"3,330",1.8%,"3,370",1.6%,"1,200",1.3%,"4,570",1.5%,"7,890",1.6%,"4,270",2.1%,"4,510",1.8%,"2,610",1.2%,"7,120",1.5%,"11,380",1.7%,"4,240",2.2%,"5,250",1.9%,"4,790",1.4%,"10,050",1.6%,"14,290",1.8%,"4,000",2.2%,"6,100",2.1%,"6,060",1.5%,"12,160",1.8%,"16,160",1.9%,"4,220",2.3%,"6,620",2.1%,"6,160",1.7%,"12,780",1.9%,"16,990",2.0%,1.1%,1.3%
Other Ethnic Group,430,*,860,*,690,0.9%,"1,550",0.6%,"1,990",*,500,*,950,*,880,0.9%,"1,830",0.6%,"2,330",*,730,*,"1,200",*,"2,210",1.0%,"3,410",0.7%,"4,140",0.6%,770,*,"1,400",0.5%,"3,360",1.0%,"4,760",0.8%,"5,540",0.7%,830,*,"1,520",0.5%,"3,650",0.9%,"5,170",0.8%,"6,000",0.7%,800,*,"1,330",*,"3,420",1.0%,"4,740",0.7%,"5,540",0.7%,2.0%,2.0%
Total BAME,"9,210",5.3%,"11,960",6.2%,"8,810",11.1%,"20,760",7.7%,"29,970",6.7%,"10,860",5.8%,"13,620",6.5%,"10,200",10.9%,"23,820",7.8%,"34,680",7.1%,"15,070",7.4%,"18,480",7.3%,"24,470",11.6%,"42,940",9.3%,"58,020",8.7%,"15,160",8.0%,"21,180",7.8%,"40,580",11.8%,"61,760",10.0%,"76,920",9.5%,"13,330",7.4%,"23,470",8.0%,"46,680",11.9%,"70,150",10.2%,"83,480",9.6%,"13,860",7.5%,"25,700",8.3%,"44,400",12.4%,"70,100",10.5%,"83,960",9.9%,14.4%,14.6%
White,"163,350",93.9%,"178,300",93.0%,"69,310",87.6%,"247,610",91.4%,"410,960",92.4%,"174,450",93.6%,"195,900",92.9%,"82,340",87.7%,"278,240",91.3%,"452,680",92.1%,"186,730",91.9%,"231,800",92.0%,"183,890",87.2%,"415,690",89.8%,"602,420",90.5%,"173,240",91.4%,"249,080",91.5%,"300,440",87.1%,"549,520",89.1%,"722,760",89.6%,"166,580",91.9%,"268,360",91.1%,"341,290",86.9%,"609,650",88.7%,"776,230",89.4%,"170,410",91.7%,"280,010",90.7%,"308,020",86.3%,"588,020",88.3%,"758,430",89.1%,85.5%,85.3%
Not Known/Not Provided,"1,340",0.8%,"1,500",0.8%,990,1.2%,"2,490",0.9%,"3,830",0.9%,"1,130",0.6%,"1,420",0.7%,"1,380",1.5%,"2,790",0.9%,"3,920",0.8%,"1,320",0.7%,"1,620",0.6%,"2,510",1.2%,"4,130",0.9%,"5,460",0.8%,"1,180",0.6%,"1,870",0.7%,"3,750",1.1%,"5,620",0.9%,"6,800",0.8%,"1,400",0.8%,"2,670",0.9%,"4,950",1.3%,"7,630",1.1%,"9,030",1.0%,"1,540",0.8%,"3,150",1.0%,"4,450",1.2%,"7,600",1.1%,"9,140",1.1%,0.1%,0.1%
Grand Total,"173,900",100.0%,"191,800",100.0%,"79,100",100.0%,"270,900",100.0%,"444,800",100.0%,"186,400",100.0%,"210,900",100.0%,"93,900",100.0%,"304,800",100.0%,"491,300",100.0%,"203,100",100.0%,"251,900",100.0%,"210,900",100.0%,"462,800",100.0%,"665,900",100.0%,"189,600",100.0%,"272,100",100.0%,"344,800",100.0%,"616,900",100.0%,"806,500",100.0%,"181,300",100.0%,"294,500",100.0%,"392,900",100.0%,"687,400",100.0%,"868,700",100.0%,"185,800",100.0%,"308,900",100.0%,"356,900",100.0%,"665,700",100.0%,"851,500",100.0%,100.0%,100.0%
Table 1C: Workplace Learning Participation by Age and Ethnicity (2008/09 to 2013/14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Funded Learners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Population
(ages 19-64)",
,2008/09,,,,,,,,,,2009/10,,,,,,,,,,2010/11,,,,,,,,,,2011/12,,,,,,,,,,2012/13,,,,,,,,,,2013/14,,,,,,,,,,2012,2013
,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,Under 19,,19-24,,25+,,Adult (19+),,All Age,,,
Ethnicity,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number ,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,Number,% of Total,,
Asian/ Asian British,280,6.0%,"10,550",6.6%,"69,520",8.0%,"80,070",7.8%,"80,350",7.8%,410,4.8%,"9,340",5.9%,"62,800",7.7%,"72,140",7.4%,"72,550",7.4%,350,4.3%,"8,690",6.5%,"53,500",8.6%,"62,190",8.3%,"62,540",8.2%,580,9.1%,"5,340",7.6%,"36,440",9.5%,"41,770",9.2%,"42,350",9.2%,480,9.3%,"3,110",6.9%,"23,920",10.8%,"27,030",10.1%,"27,510",10.1%,250,7.2%,"1,430",5.3%,"10,710",9.8%,"12,130",8.9%,"12,380",8.8%,7.8%,8.0%
Black/ African/ Caribbean/ Black British,130,2.8%,"6,710",4.2%,"53,230",6.1%,"59,940",5.8%,"60,070",5.8%,240,2.8%,"6,140",3.9%,"46,250",5.7%,"52,390",5.4%,"52,630",5.4%,210,2.6%,"5,520",4.1%,"37,130",6.0%,"42,650",5.7%,"42,860",5.6%,340,5.3%,"2,780",3.9%,"23,090",6.0%,"25,880",5.7%,"26,210",5.7%,230,4.4%,"1,640",3.6%,"12,860",5.8%,"14,500",5.4%,"14,730",5.4%,90,2.5%,710,2.6%,"4,800",4.4%,"5,510",4.0%,"5,590",4.0%,3.3%,3.2%
