DAT,18-May-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JH,Evaluation of Apprenticeships Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TID,Table 97/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,F1C. IF CURRENT - Likelihood to: Complete your Apprenticeship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,Base: All Respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL1,,,Current or completer,Level,,Broad framework area,,,,,,,,,Region,,,,,,,,,Age,,,Current employment status,Recruitment status,,Duration of less than 6 months,,Duration Summary,,Duration: Detail,,,,Employer SME,
COL,,Total,Current,Level 2,Level 3,"Health, Public Services and Care","Agriculture, Horticulture and Animal Care",Engineering and Manufacturing Technologies,"Construction, Planning and the Built Environment",Information and Communication Technology,Retail and Commercial Enterprise,"Leisure, Travel and Tourism","Business, Administration and Law",Other Apprenticeship,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Under 19,19 to 24,25+,Current Apprentice,Already working for employer when Apprenticeship started,Recruited specifically as an Apprentice,Less than 6 months,6 months or more,Less than 1yr,1yr plus,Less than 6 months,6 months to 1 year,1 year to 3 years,3 year plus,SME,Not
UNR,Unweighted row,2500,2500,1499,1001,410,166,339,267,194,364,160,458,142,178,429,283,233,289,239,232,348,269,846,751,903,2500,1489,886,136,2163,1028,1271,136,892,1049,222,1262,1148
PTR,Total,374992,374992,229300,145692,73024,6516,54310,34968,11000,81657,14070,95127,4320,27409,65838,44209,34541,45310,35256,31134,51982,39312,108235,119895,146861,374992,238321,120764,24130,320238,168334,176033,24130,144204,144860,31174,173303,190975
PRC,Very likely,324448,324448,*193091,*131357,62790,5901,*48913,31349,9259,68747,11840,82001,3649,23834,57697,37441,*31590,39490,31145,*23797,45264,34190,93846,*107353,*123248,324448,204622,105868,19688,*279928,*141008,*158608,19688,*121320,*129899,*28708,151581,163423
RTV,,87%,87%,84%,90%,86%,91%,90%,90%,84%,84%,84%,86%,84%,87%,88%,85%,91%,87%,88%,76%,87%,87%,87%,90%,84%,87%,86%,88%,82%,87%,84%,90%,82%,84%,90%,92%,87%,86%
PRC,Quite likely,41545,41545,*29408,*12136,8177,510,4761,3160,1292,9729,1695,11672,549,2916,6837,5687,*2405,4703,3483,*6595,4841,4078,11939,*9854,*19752,41545,27996,11999,2652,34372,*21188,*15836,2652,*18537,13936,*1900,18372,22082
RTV,,11%,11%,13%,8%,11%,8%,9%,9%,12%,12%,12%,12%,13%,11%,10%,13%,7%,10%,10%,21%,9%,10%,11%,8%,13%,11%,12%,10%,11%,11%,13%,9%,11%,13%,10%,6%,11%,12%
PRC,Quite unlikely,3740,3740,2503,1237,720,0,129,163,267,1380,209,833,38,217,433,202,286,176,506,185,*1291,444,869,1176,1694,3740,2624,1116,176,2922,2087,*1012,176,1910,*608,403,1495,2245
RTV,,1%,1%,1%,1%,1%,0%,*%,*%,2%,2%,1%,1%,1%,1%,1%,*%,1%,*%,1%,1%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,*%,1%,1%,1%
PRC,Very unlikely,3014,3014,*2536,*478,*1152,33,129,193,119,803,105,419,60,0,670,606,143,370,123,266,484,352,1000,1234,780,3014,1634,1380,*688,2150,*2571,*267,*688,*1883,*138,129,1131,1883
RTV,,1%,1%,1%,*%,2%,1%,*%,1%,1%,1%,1%,*%,1%,0%,1%,1%,*%,1%,*%,1%,1%,1%,1%,1%,1%,1%,1%,1%,3%,1%,2%,*%,3%,1%,*%,*%,1%,1%
PRC,Don't know,2245,2245,1762,483,186,71,379,102,62,997,222,202,24,442,202,274,117,572,0,291,102,247,582,278,1386,2245,1445,402,*926,*866,1481,*312,*926,554,*278,33,724,1342
RTV,,1%,1%,1%,*%,*%,1%,1%,*%,1%,1%,2%,*%,1%,2%,*%,1%,*%,1%,0%,1%,*%,1%,1%,*%,1%,1%,1%,*%,4%,*%,1%,*%,4%,*%,*%,*%,*%,1%
PRC,Likely,365993,365993,*222500,*143493,70966,6412,53673,34509,10551,*78477,13534,93673,4198,26751,64533,43127,33995,44193,34628,30392,50105,38268,105785,117207,143001,365993,232618,117866,*22340,*314300,*162196,*174443,*22340,139857,*143835,30608,169953,185505
RTV,,98%,98%,97%,98%,97%,98%,99%,99%,96%,96%,96%,98%,97%,98%,98%,98%,98%,98%,98%,98%,96%,97%,98%,98%,97%,98%,98%,98%,93%,98%,96%,99%,93%,97%,99%,98%,98%,97%
PRC,Unlikely,6754,6754,5038,1715,1872,33,*258,357,386,2183,314,1253,98,217,1103,808,429,546,628,451,*1775,797,1869,2411,2474,6754,4258,2496,864,5072,*4657,*1278,864,*3793,*746,532,2626,4128
RTV,,2%,2%,2%,1%,3%,1%,*%,1%,4%,3%,2%,1%,2%,1%,2%,2%,1%,1%,2%,1%,3%,2%,2%,2%,2%,2%,2%,2%,4%,2%,3%,1%,4%,3%,1%,2%,2%,2%
PRC,Don't know,2245,2245,1762,483,186,71,379,102,62,997,222,202,24,442,202,274,117,572,0,291,102,247,582,278,1386,2245,1445,402,*926,*866,1481,*312,*926,554,*278,33,724,1342
RTV,,1%,1%,1%,*%,*%,1%,1%,*%,1%,1%,2%,*%,1%,2%,*%,1%,*%,1%,0%,1%,*%,1%,1%,*%,1%,1%,1%,*%,4%,*%,1%,*%,4%,*%,*%,*%,*%,1%
JF,Page 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
