,,,,,,Back to Contents,,,,,,,,,,,,,
English Business Survey,,,,,,,,,,,,,,,,,,,
QFTINVEST Whether expect to make any new capital investment in the period Nov 11-Jan 12,,,,,,,,,,,,,,,,,,,
Base: All businesses,,,,,,,,,,,,,,,,,,,
,,Total,Region (NUTS1),,,,,,,,,Workplace size,,,,Industry sector summary variable,,,
,,England ,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,1 to 9,10 to 49,50 to 249,250+,Agriculture/ Production (A-E),Construction (F),"Other services (G-N, R-U)","Education, Health and Public administration and defence (OPQ)"
 ,Unweighted Base,3080,260,425,335,305,385,295,270,385,420,935,1300,685,160,370,145,1735,830
,Yes,26%,26%,25%,29%,19%,27%,17%,31%,27%,24%,19%,22%,30%,35%,37%,25%,24%,25%
,No,67%,67%,69%,60%,76%,65%,78%,58%,67%,70%,77%,70%,63%,53%,60%,71%,69%,64%
,Don’t know,7%,7%,6%,10%,5%,8%,5%,12%,6%,5%,4%,7%,7%,12%,3%,*,7%,11%
Reference month - October 2011,,,,,,,,,,,,,,,,,,,
"Data are weighted to be representative of total employment in England (not workplaces), so a result of 10% should be interpreted as workplaces accounting for 10% of employment are....",,,,,,,,,,,,,,,,,,,
"Region, workplace size and industry all relate to the workplace. For workplaces that are part of larger organisations region, workplace size and industry may differ from that of the enterprise.",,,,,,,,,,,,,,,,,,,
Table sub-totals may not sum to total due to rounding. Unweighted totals are rounded to the nearest 5.,,,,,,,,,,,,,,,,,,,
Tables have been assessed for disclosure to protect confidentiality,,,,,,,,,,,,,,,,,,,
* Figures suppressed due to small cell sizes,,,,,,,,,,,,,,,,,,,
- Figures suppressed due to small England  sizes (i.e. column suppression),,,,,,,,,,,,,,,,,,,
... Balance not available due to small sample sizes,,,,,,,,,,,,,,,,,,,
"Subgroup percentages have been tested against the equivalent percentage for England and if shaded, the difference was found to be statistically significant at the 95% level.   Further explanation of how to interpret this can be found in the User Guide.  ",,,,,,,,,,,,,,,,,,,
Please note that differences in the balance scores have not been tested.  The methodology for doing so is currently in development and will be published at a later date.  Further details can be found in the Technical Annex.  ,,,,,,,,,,,,,,,,,,,
