Table 2.01     Stops and searches made under sections 44(1)(2) and subsequently 47A of the Terrorism Act 2000 by police force area1,,,,,,,,,,,,,,,
Number,,,,,,,,,,,,,,,Great Britain
,,Date of search,,,,,,,,,,Total year ending,,,Change2
Police force area1,,Jul-Sep 2009,Oct-Dec 2009,Jan-Mar 2010,Apr-Jun 2010,Jul-Sep 2010,Oct-Dec 2010,Jan-Mar 2011,Apr-Jun 2011,Jul-Sep 2011,,30 Sep 2010,30 Sep 2011,,
Cheshire,,3,8,-,-,-,-,-,-,-,,8,-,,-8 
Cumbria,,7,-,-,-,-,-,-,-,-,,-,-,,-
Essex,,33,-,55,23,6,-,-,-,-,,84,-,,-84 
Greater Manchester,,32,25,45,25,1,-,-,-,-,,96,-,,-96 
Hampshire3,,-,4,-,-,-,-,-,-,-,,4,-,,-4 
"London, City Of",,426,313,328,569,61,17,4,-,-,,"1,271",21,,"-1,250 "
Metropolitan Police,,"22,831","18,367","13,030","7,297",536,13,7,-,-,,"39,230",20,,"-39,210 "
North Yorkshire,,45,40,33,29,-,-,-,-,-,,102,-,,-102 
South Wales,,-,-,23,90,-,-,-,-,-,,113,-,,-113 
Sussex4,,309,303,225,206,26,-,-,-,-,,760,-,,-760 
Thames Valley,,60,23,13,19,-,-,-,-,-,,55,-,,-55 
England and Wales,,"23,746","19,083","13,752","8,258",630,30,11,-,-,,"41,723",41,,"-41,682 "
British Transport Police5,,"6,311","3,002",496,794,4,-,-,-,-,,"4,296",-,,"-4,296 "
Scotland,,26,7,2,17,-,-,-,-,-,,26,-,,-26 
Great Britain,,"30,083","22,092","14,250","9,069",634,30,11,-,-,,"46,045",41,,"-46,004 "
"Source: Home Office, British Transport Police and Scottish police forces",,,,,,,,,,,,,,,
1.  Only police forces in England and Wales that conducted section 44 searches between 1 July 2009 and 30 September 2011 are separately identified in the table.,,,,,,,,,,,,,,,
2.  Difference between the totals for the 12 months ending 30 September 2010 and 30 September 2011.,,,,,,,,,,,,,,,
3.  The four searches conducted in Oct-Dec 2009 were carried out under the authorisation issued to the British Transport Police.,,,,,,,,,,,,,,,
4.  Sussex Police cannot separate 'vehicle only' searches from vehicle and occupant searches; as a consequence data here cover searches of pedestrians only.,,,,,,,,,,,,,,,
"5.  British Transport Police figures cover England, Wales and Scotland.",,,,,,,,,,,,,,,
