"Table S7  Seizures of controlled drugs made by the police by drug type and amount seized, 2008/09, England and Wales ",,,,,,,,,,,
,,,,,,,,,,,Number and quantity of seizures
,,Total,,,,Quantity seizured,,,,,
Drug type,,number ,,,,,,,,,
,,of weighed,Under 1,1 gram,500,1 kilo,10 kilos,100 kilos,,Total,Average
,,seizures,gram,and under,grams,and under,and under,and over,,(kgs),(kgs)
,, ,,500,and under,10 kilos,100 kilos,,,,
,, ,,grams,1 kilo,,,,,,
Class A drugs (weighed),,,,,,,,,,,
,Cocaine,"23,580","11,862","11,597",55,61,5,-,,408,17
,Crack,"6,604","3,892","2,706",2,4,-,-,,29,4
,Heroin,"13,102","8,126","4,908",28,37,2,1,,517,39
Class B drugs (weighed),,,,,,,,,,,
,Amphetamines,"7,673","1,060","6,473",42,80,18,-,,753,98
,Cannabis (herbal),"142,581","28,469","113,674",197,206,29,6,,"4,451",31
,Cannabis resin,"35,122","5,752","29,115",92,120,35,8,,"6,082",173
,,, 1-50,51-100,101-500,501-1000,"1001-10,000","Over 10,000",,Total,Average
,,,doses,doses,doses,doses,doses,doses,,(1000s doses),(doses)
Class A drugs (unweighed)1,,,,,,,,,,,
,LSD,127,104,10,4,3,5,1,,19,149
,Ecstasy-type,"5,185","4,798",194,148,16,25,4,,299,58
,Methadone,"1,059",694,138,181,30,14,2,,204,193
,Morphine,112,95,8,5,1,-,3,,23,207
,,, 1-50,51-100,101-500,501-1000,"1001-10,000","Over 10,000",,Total,Average
,,,plants,plants,plants,plants,plants,plants,,(plants),(plants)
Class B drugs (unweighed),,,,,,,,,,,
,Cannabis plants,"9,372","7,772",442,978,143,35,2,,"643,296",69
"1.  Seizure quantities of LSD, ecstasy-type, methadone and morphine are in thousands of doses. These include dots, tablets and squares. Previous to 2005, quantities of methadone and morphine were presented ",,,,,,,,,,,
      in kg.,,,,,,,,,,,
