Child KSI Accidents,,,,,
"Table 5.4 Distribution of Contributory Factors - Child KSI Accidents, for the Years 2010 to 2012",,,,,
,,,Jan 2010 to Dec 2012,,
,,,Confidence Level,,
Code,Contributory Factor,Very Likely,Possible,Total,%
802,Pedestrian failed to look properly,140,38,178,28.08
808,Pedestrian - Careless/reckless/in a hurry,47,29,76,11.99
801,Crossed road masked by stationary or parked vehicle,58,16,74,11.67
405,Driver/Rider failed to look properly,27,22,49,7.73
803,Failed to judge vehicle's path or speed,20,15,35,5.52
701,Stationary or parked vehicle(s),18,8,26,4.10
805,Pedestrian - Dangerous action in carriageway (eg playing),16,6,22,3.47
410,Loss of control,11,5,16,2.52
406,Driver/Rider failed to judge other person's path or speed,6,9,15,2.37
602,Driver/Rider - Careless/reckless/in a hurry,6,8,14,2.21
804,Pedestrian - Wrong use of pedestrian crossing facility,9,3,12,1.89
999,Other,9,3,12,1.89
403,Poor turn or manoeuvre,4,4,8,1.26
809,Pedestrian wearing dark clothing at night,4,3,7,1.10
307,Travelling too fast for conditions,1,5,6,0.95
306,Exceeding speed limit,2,3,5,0.79
309,Vehicle travelling along pavement,2,3,5,0.79
409,Swerved,2,3,5,0.79
601,Aggressive driving,3,2,5,0.79
605,Learner or inexperienced driver/rider,3,2,5,0.79
203,Defective brakes,2,2,4,0.63
302,Disobeyed Give Way or Stop sign or markings,4,0,4,0.63
305,Illegal turn or direction of travel,4,0,4,0.63
310,Cyclist entering road from pavement,3,1,4,0.63
401,Junction overshoot,2,1,3,0.47
407,"Passing too close to cyclist, horse rider or pedestrian",2,1,3,0.47
408,Sudden braking,1,2,3,0.47
304,Driver/Rider disobeyed pedestrian crossing facility,1,1,2,0.32
501,Driver/Rider impaired by alcohol,1,1,2,0.32
505,"Driver/Rider - Illness or disability, mental or physical",0,2,2,0.32
509,Distraction in vehicle,1,1,2,0.32
603,Nervous/uncertain/panic,2,0,2,0.32
607,Inexperience with type of vehicle,1,1,2,0.32
806,Pedestrian impaired by alcohol,2,0,2,0.32
807,Pedestrian impaired by drugs (illicit or medicinal),2,0,2,0.32
106,"Traffic calming (eg speed cushions, road humps, chicanes)",0,1,1,0.16
107,Temporary road layout (eg contraflow),0,1,1,0.16
108,"Road layout (eg bend, hill, narrow carriageway)",0,1,1,0.16
201,"Tyres illegal, defective or under inflated",0,1,1,0.16
202,Defective lights or indicators,1,0,1,0.16
204,Defective steering or suspension,0,1,1,0.16
301,Driver/Rider disobeyed automatic traffic signal,1,0,1,0.16
308,Following too close,0,1,1,0.16
402,Junction restart,1,0,1,0.16
404,Failed to signal/misleading signal,1,0,1,0.16
503,Fatigue,1,0,1,0.16
506,Not displaying lights at night or in poor visibility,1,0,1,0.16
508,Driver using mobile phone,0,1,1,0.16
702,Vegetation,0,1,1,0.16
704,"Buildings, road signs, street furniture",0,1,1,0.16
706,Dazzling sun,1,0,1,0.16
707,"Rain, sleet, snow, or fog",0,1,1,0.16
810,"Pedestrian - Disability or illness, mental or physical",0,1,1,0.16
,Total,423,211,634,100.00
List of Tables in this Workbook,,,,,
Go to Introduction,,,,,
Go to Summary,,,,,
Go to Contents,,,,,
