National Institute for Health and Care Excellence,,,,,,
Board and Senior Management Team Business Expenses for the Financial Year 2014-15,,,,,,
Bill Mumford - Non Executive Director,,,,,,
"This report shows business expenses incurred by the incumbent in delivery of their duties. NICE holds Board meetings around the country closer to the organisations and people we support. All staff including Directors are required to travel standard class when travelling by rail. Air travel within the UK or Europe, and flights of less than 8 hours in duration will always be in economy class. Long haul (outside Europe or flights of over 8 hours duration) can be booked in business class. Hotel costs are for 1 night unless otherwise stated.",,,,,,
Source,Date of Expense,Location,Purpose,Funded,Type of Expenditure,Value
Redfern Travel,4/15/14,Mercure Manchester,Meetings in Manchester,NICE,Hotels,£77.40
Redfern Travel,4/15/14,London Euston to Manchester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£111.51
Redfern Travel,4/16/14,Manchester Piccadilly to Banbury,Board Strategy Meeting Manchester,NICE,Underground/Train/Bus,£52.92
Interface Event Management,5/20/14,Cheltenham,Board Meeting - Hotel & Dinner,NICE,Hotels,£123.56
Redfern Travel,6/18/14,Banbury to London Zones 1-6,Board Strategy Meeting London,NICE,Underground/Train/Bus,£77.17
Redfern Travel,7/15/14,London Kings Cross to Doncaster,Board Meeting,NICE,Underground/Train/Bus,-£21.52
Redfern Travel,7/15/14,London Kings Cross to Doncaster,Board Meeting,NICE,Underground/Train/Bus,£33.42
Redfern Travel,7/16/14,Doncaster to Banbury,Board Meeting,NICE,Underground/Train/Bus,-£64.35
Redfern Travel,7/16/14,Doncaster to Banbury,Board Meeting,NICE,Underground/Train/Bus,£71.25
Redfern Travel,8/20/14,Milton Keynes Central to London Euston,Board Strategy Meeting London,NICE,Underground/Train/Bus,£38.76
Interface Event Management,9/17/14,Kendal,Board Meeting - Hotel & Dinner,NICE,Hotels,£106.24
Redfern Travel,9/25/14,Milton Keynes Central to Mancester Piccadilly,Meetings in Manchester,NICE,Underground/Train/Bus,£106.32
Redfern Travel,10/15/14,Milton Keynes Central to London Euston,Board Strategy Away Day,NICE,Underground/Train/Bus,£38.76
Redfern Travel,10/29/14,Milton Keynes Central to London Zones 1-6,Audit and Risk Committee,NICE,Underground/Train/Bus,£43.12
Interface Event Management,11/18/14,Coventry,Board Meeting - Hotel and Breakfast,NICE,Hotels,£79.00
Interface Event Management,11/18/14,Coventry,Board Meeting - Dinner,NICE,Subsistence,£28.00
Redfern Travel,11/18/14,London Euston to Coventry,Board Meeting,NICE,Underground/Train/Bus,£48.46
Redfern Travel,11/19/14,Coventry to Penrith,Board Meeting,NICE,Underground/Train/Bus,£75.13
Redfern Travel,12/17/14,Milton Keynes Central to ZONE U1* LONDON,Board Strategy Meeting,NICE,Underground/Train/Bus,£44.58
Redfern Travel,1/14/15,Milton Keynes Central to London Euston,Meetings in London,NICE,Underground/Train/Bus,£39.63
Redfern Travel,1/20/15,Milton Keynes Central to Maidstone East,Board meeting,NICE,Underground/Train/Bus,£56.22
Interface Event Management,1/21/15,Maidstone   ,Board Meeting - Bed and Breakfast,NICE,Hotels,£74.00
Interface Event Management,1/21/15,Maidstone   ,Board Meeting - Dinner,NICE,Subsistence,£25.00
Redfern Travel,2/18/15,Milton Keynes Central to London Zones 1-6,Meetings in London,NICE,Underground/Train/Bus,£43.90
Redfern Travel,3/16/15,Penrith to London Euston,Board meeting,NICE,Underground/Train/Bus,£98.13
Redfern Travel,3/17/15,Milton Keynes to Warrington Bank Quay,Board meeting,NICE,Underground/Train/Bus,£27.41
Interface Event Management,3/18/15,Warrington,Board Meeting - Bed and Breakfast,NICE,Hotels,£86.00
Interface Event Management,3/18/15,Warrington,Board Meeting - Dinner ,NICE,Subsistence,£28.00
